condition,time,rollout_bayes_velocity_mse,state_swd_2d,state_intrinsic_swd,state_off_subspace_rms,true_off_subspace_rms,gate_mean,gate_std
D2_gate_on_D0,0.3,0.0007384911878034472,0.023409496836346723,0.023409496836346723,4.087317506673571e-08,3.972796491780173e-08,0.9289826154708862,0.041971396654844284
D2_gate_on_D0,0.5,0.0011458218796178699,0.020144338728312318,0.020144338728312318,3.9587703781762684e-08,3.732086995000827e-08,0.6986557245254517,0.09859900921583176
D2_gate_on_D0,0.7,0.004530095495283604,0.01854176171427227,0.01854176171427227,4.272222753343158e-08,4.217360682901017e-08,0.20434388518333435,0.12833769619464874
D2_gate_on_D0,0.9,0.11370328813791275,0.020910864713651823,0.020910864713651823,5.2153801277654566e-08,5.2573049913462455e-08,0.000318325764965266,0.0013417138252407312
D2_gate_on_D0,0.97,0.28873157501220703,0.020067388272568567,0.020067388272568567,5.610262121535925e-08,5.5274526289395e-08,0.00025565168471075594,0.0007430398254655302
D2_gate_on_D0,0.99,0.06809940189123154,0.023500475468809155,0.023500475468809155,5.678469250369744e-08,5.650083778618864e-08,0.0006459570722654462,0.0017094057984650135
D4_x_own,0.01,0.0004469504929147661,0.029247598130251,0.029247598130251,5.297628646871999e-08,5.4825669337787986e-08,,
D4_x_own,0.03,0.0004249912453815341,0.031015619080160713,0.031015619080160713,5.218272747242736e-08,5.351238741013731e-08,,
D4_x_own,0.1,0.0003224220417905599,0.02356735152333604,0.02356735152333604,4.9774648402944877e-08,4.8166953092732e-08,,
D4_x_own,0.3,0.0006119177560321987,0.022902394300368778,0.022902394300368778,4.1701852637743286e-08,3.972796491780173e-08,,
D4_x_own,0.5,0.0011699870228767395,0.019610398158348065,0.019610398158348065,3.9041658794758405e-08,3.732086995000827e-08,,
D4_x_own,0.7,0.007893587462604046,0.017660430960753388,0.017660430960753388,4.327973357476367e-08,4.217360682901017e-08,,
D4_x_own,0.9,0.23586821556091309,0.02035996725638239,0.02035996725638239,5.2217011159427784e-08,5.2573049913462455e-08,,
D4_x_own,0.97,0.9766442179679871,0.030657516943282535,0.030657516943282535,5.611873632460629e-08,5.5274526289395e-08,,
D4_x_own,0.99,4.742555141448975,0.042470959251669896,0.042470959251669896,5.789888035678814e-08,5.650083778618864e-08,,
D4_eps_own,0.01,12.545146942138672,0.04429017529972396,0.04429017529972396,5.266744906862186e-08,5.4825669337787986e-08,,
D4_eps_own,0.03,0.5717352628707886,0.060344168601352846,0.060344168601352846,5.3687443823946523e-08,5.351238741013731e-08,,
D4_eps_own,0.1,0.05629534274339676,0.05839005485111591,0.05839005485111591,5.013973591871945e-08,4.8166953092732e-08,,
D4_eps_own,0.3,0.005181344226002693,0.06030081576672632,0.06030081576672632,4.216080640162545e-08,3.972796491780173e-08,,
D4_eps_own,0.5,0.0038694068789482117,0.0603609028727139,0.0603609028727139,3.9714436184112856e-08,3.732086995000827e-08,,
D4_eps_own,0.7,0.005215364508330822,0.046485683361938285,0.046485683361938285,4.373027451265443e-08,4.217360682901017e-08,,
D4_eps_own,0.9,0.12398131191730499,0.05910078507149746,0.05910078507149746,5.284741888544886e-08,5.2573049913462455e-08,,
D4_eps_own,0.97,0.29081836342811584,0.06715150582727991,0.06715150582727991,5.644086797929049e-08,5.5274526289395e-08,,
D4_eps_own,0.99,0.05933438614010811,0.06451233576070523,0.06451233576070523,5.8894308097023895e-08,5.650083778618864e-08,,
