weak,t,model,id,split,squared_residual,squared_gap
depth6,0.15,score_scale,1517,test,1.5018455890940817e-05,1.5500897123399925e-05
depth6,0.15,score_scale,1686,test,1.0808733501348966e-05,1.0642164032856362e-05
depth6,0.15,score_scale,4998,test,1.3332366701758077e-05,1.3681225521937615e-05
depth6,0.15,score_scale,151,test,8.63310474223133e-06,8.395385001129164e-06
depth6,0.15,score_scale,3630,test,2.0770159196257243e-05,1.9998515166620254e-05
depth6,0.15,score_scale,1841,test,1.9481727889964413e-05,1.976851941358102e-05
depth6,0.15,score_scale,3028,test,4.910818826134828e-05,4.986042767324486e-05
depth6,0.15,score_scale,2347,test,1.419069535835084e-05,1.4446228416954073e-05
depth6,0.15,score_scale,4021,test,1.923244864466002e-05,1.8676890937180665e-05
depth6,0.15,radial,713,fit,9.922808884723133e-06,9.837187884100102e-06
depth6,0.15,radial,3623,fit,1.031025907461621e-05,1.0506334384264395e-05
depth6,0.15,radial,3296,fit,2.4939451977152942e-05,2.5112766159472856e-05
depth6,0.15,radial,4345,fit,1.2111030180441152e-05,1.2320176392052988e-05
depth6,0.15,radial,2364,fit,1.687333986709869e-05,1.7149371365192637e-05
depth6,0.15,radial,3510,fit,4.378379313829395e-05,4.355388618787266e-05
depth6,0.15,radial,4640,fit,1.7213135714080357e-05,1.6956444214918526e-05
depth6,0.15,radial,1298,fit,1.2476777471830724e-05,1.2610373741275412e-05
depth6,0.15,radial,708,fit,9.201755407205246e-06,9.177444545461867e-06
depth6,0.15,radial,1505,fit,6.358697752335582e-05,6.383023127249317e-05
depth6,0.15,radial,2304,fit,1.595919079520886e-05,1.5821942867893038e-05
depth6,0.15,radial,307,fit,1.2487146997474764e-05,1.243592437775732e-05
depth6,0.15,radial,4093,fit,1.189032903448137e-05,1.1746172999271554e-05
depth6,0.15,radial,769,fit,2.311587044501412e-05,2.3313809909910458e-05
depth6,0.15,radial,3769,fit,1.0693245543450977e-05,1.0691619203359864e-05
depth6,0.15,radial,1780,fit,2.5477509662509716e-05,2.5296236365774836e-05
depth6,0.15,radial,2797,test,1.8939478478291723e-05,1.8767383751234378e-05
depth6,0.15,radial,2744,test,1.756308160440001e-05,1.7600675850337755e-05
depth6,0.15,radial,2114,test,1.0372128981170113e-05,1.0213275730859249e-05
depth6,0.15,radial,843,test,1.700908201081646e-05,1.712447956761374e-05
depth6,0.15,radial,3732,test,2.1154058106483053e-05,2.1060958008471135e-05
depth6,0.15,radial,3823,test,2.1686540176558677e-05,2.149332308314243e-05
depth6,0.15,radial,2922,test,1.3022923417771984e-05,1.2769713639561402e-05
depth6,0.15,radial,1517,test,1.5229169338888084e-05,1.5500897123399925e-05
depth6,0.15,radial,1686,test,1.0718994620837719e-05,1.0642164032856362e-05
depth6,0.15,radial,4998,test,1.3486862692607725e-05,1.3681225521937615e-05
depth6,0.15,radial,151,test,8.516481968354518e-06,8.395385001129164e-06
depth6,0.15,radial,3630,test,2.046739054969305e-05,1.9998515166620254e-05
depth6,0.15,radial,1841,test,1.960689238474298e-05,1.976851941358102e-05
depth6,0.15,radial,3028,test,4.953088298540706e-05,4.986042767324486e-05
depth6,0.15,radial,2347,test,1.4286167643919426e-05,1.4446228416954073e-05
depth6,0.15,radial,4021,test,1.896047105563605e-05,1.8676890937180665e-05
depth6,0.15,score_scale_radial,713,fit,1.153325504246623e-05,9.837187884100102e-06
depth6,0.15,score_scale_radial,3623,fit,1.1229282259610638e-05,1.0506334384264395e-05
depth6,0.15,score_scale_radial,3296,fit,1.938786654604164e-05,2.5112766159472856e-05
depth6,0.15,score_scale_radial,4345,fit,1.2908302927264593e-05,1.2320176392052988e-05
