weak,t,model,coefficient_score,coefficient_radial,rank,normalized_design_condition,fit_residual_ratio,test_residual_ratio,test_ci_low,test_ci_high,heat_test_residual_ratio
depth10,0.15,score_scale_radial,-0.05647458387610993,-0.0016812218790404538,2,25.64382809481188,0.9082561397411799,0.9119815169980311,0.8382803635604638,1.012246865547339,0.990920305912925
external_v500,0.15,score_scale,-0.00010469813489594166,0.0,1,1.0,0.9996614612132575,0.999614788510816,0.99895847136889,1.0000188346332606,1.0
external_v500,0.15,radial,0.0,3.666670618501652e-06,1,1.0,0.9995570225439119,0.9997712146164744,0.9988360099582008,1.000342712951929,1.0
external_v500,0.15,score_scale_radial,0.002424382036167987,7.766579468025637e-05,2,25.64382809481188,0.9984562258829295,1.003928142376084,0.9955699242836845,1.0097233429873798,1.0
depth4,0.3,score_scale,-0.007212117345017439,0.0,1,1.0,0.9904497659182253,0.9807822563141858,0.9700521111641258,0.9939041845832076,0.9778859853254063
depth4,0.3,radial,0.0,0.00035922025202221884,1,1.0,0.9991626285505034,0.9973304067762851,0.9942761953986943,1.000431531060154,0.9778859853254063
depth4,0.3,score_scale_radial,-0.11301003362622312,-0.01821386241427997,2,9.28343535013986,0.8928109095169826,0.8342786032680334,0.7955363610388781,0.889249886322192,0.9778859853254063
depth6,0.3,score_scale,-0.00960653220794518,0.0,1,1.0,0.981859073873425,0.9804214033369038,0.9615247973273295,1.0042249566117367,0.9794057601677514
depth6,0.3,radial,0.0,0.0008936632084286274,1,1.0,0.9944514181000372,0.9961223122200157,0.9873013089782903,1.0062516916488076,0.9794057601677514
depth6,0.3,score_scale_radial,-0.09735616393147851,-0.015106722091464223,2,9.28343535013986,0.9099478332886756,0.8671743688304487,0.8173001713052671,0.9375045432575337,0.9794057601677514
depth8,0.3,score_scale,-0.011539135992692184,0.0,1,1.0,0.9681571906500795,0.9790007862027426,0.9520346102586276,1.0163876775847471,0.9759098055455439
depth8,0.3,radial,0.0,0.0013477077107680012,1,1.0,0.9846480235837176,0.9969146001538981,0.9801905891341055,1.0181118017034165,0.9759098055455439
depth8,0.3,score_scale_radial,-0.08181684129874438,-0.012098805914414186,2,9.28343535013986,0.9120420641768604,0.8788418816339577,0.8246541356282051,0.9579169224674801,0.9759098055455439
depth10,0.3,score_scale,-0.010461984348594773,0.0,1,1.0,0.9295674403134846,0.9595139597674451,0.925614686160906,0.9947940868974536,0.960123880647936
depth10,0.3,radial,0.0,0.0014972064144590977,1,1.0,0.9490180112009121,0.9843038035025404,0.9522494050789538,1.0126780151614336,0.960123880647936
depth10,0.3,score_scale_radial,-0.03892077814962085,-0.004899383399863168,2,9.28343535013986,0.9048070021527059,0.9007632518213541,0.8597991369646456,0.9565157403179433,0.960123880647936
external_v500,0.3,score_scale,-0.00010850904746734984,0.0,1,1.0,0.9999471960165944,0.9999696132945106,0.999593522073484,1.0003124209447376,1.0
external_v500,0.3,radial,0.0,-1.5687293664310538e-05,1,1.0,0.9999609933267942,0.9999610042417402,0.9997065750849136,1.0002983992092482,1.0
external_v500,0.3,score_scale_radial,-0.0044015532190523985,-0.0007390780331801964,2,9.28343535013986,0.9960203352272468,0.9969316263861998,0.9893633137865797,1.0052776942396606,1.0
depth4,0.5,score_scale,-0.024269262912442916,0.0,1,1.0,0.9858033279766774,0.9656700158895024,0.951140154244862,0.9799838810779297,0.942553649674838
depth4,0.5,radial,0.0,-0.008148180513008892,1,1.0,0.9967002141267802,1.0016341500626302,0.9960024568771111,1.0069117079618697,0.942553649674838
depth4,0.5,score_scale_radial,-0.15149508756204533,-0.10084094322559084,2,3.9338163653229774,0.8705428898235507,0.8115473720448743,0.789188252195935,0.8370858242653331,0.942553649674838
depth6,0.5,score_scale,-0.022429297652877565,0.0,1,1.0,0.9870271290977242,0.9695827115039094,0.9536145724739857,0.9850378231699957,0.9427864314830225
depth6,0.5,radial,0.0,-0.007741806378335194,1,1.0,0.9968130117834592,1.001585313201808,0.9954962997594305,1.0071491263906018,0.9427864314830225
depth6,0.5,score_scale_radial,-0.14117891993144566,-0.09412258832853916,2,3.9338163653229774,0.8795971324683104,0.833484485671315,0.8021248675960981,0.8725489093979013,0.9427864314830225
depth8,0.5,score_scale,-0.010543764182391056,0.0,1,1.0,0.9964919061116055,0.9865363555737381,0.9767465336562393,0.9963011060618483,0.9663179014708774
depth8,0.5,radial,0.0,-0.009982980387631304,1,1.0,0.9935152778165419,1.0008661936466279,0.9917698899219514,1.0100332417671631,0.9663179014708774
depth8,0.5,score_scale_radial,-0.10146082684155287,-0.07206211772728072,2,3.9338163653229774,0.9194322666269179,0.8807234608589735,0.8434193576009719,0.9192282544627955,0.9663179014708774
depth10,0.5,score_scale,-0.005267274677379313,0.0,1,1.0,0.9973309586321709,0.9942447951802261,0.9887246020592249,0.999877427379129,0.9915416304396795
depth10,0.5,radial,0.0,-0.0031308420320507154,1,1.0,0.9980555499886986,0.9979854739286865,0.9943225132605468,1.0018017317041032,0.9915416304396795
depth10,0.5,score_scale_radial,-0.04041676798565564,-0.027859973153015482,2,3.9338163653229774,0.9622171570588117,0.9396090348962273,0.9164109567493713,0.9602856893305346,0.9915416304396795
external_v500,0.5,score_scale,-0.0011086731784357975,0.0,1,1.0,0.9992669258631174,0.9987148922745466,0.9969671458517477,1.0006079316900183,0.9979367607085187
external_v500,0.5,radial,0.0,0.00020711591335958877,1,1.0,0.9999472455801074,0.9999041613497536,0.9994619141005395,1.0003320307125314,0.9979367607085187
external_v500,0.5,score_scale_radial,-0.0037155994241756525,-0.0020662856952507634,2,3.9338163653229774,0.9980694834260062,0.9967207786278096,0.9943901401863153,0.9992874133319045,0.9979367607085187
depth4,0.7,score_scale,-0.22132774687000276,0.0,1,1.0,0.7812307017565443,0.7294971974299024,0.6840327664621412,0.7762062481699932,0.5888906939896235
depth4,0.7,radial,0.0,-0.02471335697562217,1,1.0,0.9992702556655366,1.0003401429651826,0.9981447920961998,1.00242594108347,0.5888906939896235
depth4,0.7,score_scale_radial,-0.37919906691994787,-0.48554833325721614,2,2.0940467143576655,0.610846867906923,0.553737771490394,0.5290749888232524,0.578653213815904,0.5888906939896235
depth6,0.7,score_scale,-0.1970205326105217,0.0,1,1.0,0.8156548793937508,0.7612245360610603,0.7139301994779819,0.8100641656931958,0.6184902395717692
depth6,0.7,radial,0.0,-0.04564452747194531,1,1.0,0.9973528490967296,1.0012686340137065,0.996332388566271,1.0060041744462571,0.6184902395717692
depth6,0.7,score_scale_radial,-0.3502641171512635,-0.4713152904060002,2,2.0940467143576655,0.6449364011010723,0.5989771963387008,0.5704845200506528,0.6282793868641181,0.6184902395717692
depth8,0.7,score_scale,-0.1538481755168673,0.0,1,1.0,0.8554891050225448,0.811211131934926,0.7634472295524363,0.8593041262909306,0.6940187620463124
depth8,0.7,radial,0.0,-0.036595748013998765,1,1.0,0.9978123907743033,1.0007424986537425,0.9966294270629174,1.0048123424266138,0.6940187620463124
depth8,0.7,score_scale_radial,-0.27402442926561477,-0.3696135541676614,2,2.0940467143576655,0.7205118875874736,0.6796607207613317,0.6407955021924538,0.7167391746160905,0.6940187620463124
depth10,0.7,score_scale,-0.06310235406620834,0.0,1,1.0,0.9324854086636838,0.9142317988325699,0.892393481035862,0.9352018249404592,0.883432438891593
depth10,0.7,radial,0.0,-0.012570359840391065,1,1.0,0.9992832057049124,1.0000101584760037,0.9983628356090712,1.0015701364140899,0.883432438891593
depth10,0.7,score_scale_radial,-0.11108236161760755,-0.14756709888078648,2,2.0940467143576655,0.8727358911686754,0.8528142110479615,0.8251424206124575,0.8777467111578199,0.883432438891593
external_v500,0.7,score_scale,-0.0033739477683415514,0.0,1,1.0,0.998315231172015,0.9970500801527478,0.9960715561009559,0.9981433020096631,0.9937914132465866
external_v500,0.7,radial,0.0,-0.000139662022687431,1,1.0,0.999999227652291,0.9999884271117229,0.9999657468545974,1.0000078066340707,0.9937914132465866
external_v500,0.7,score_scale_radial,-0.005653121345567305,-0.007009816167216093,2,2.0940467143576655,0.997138368823046,0.9945537527729792,0.9934794545676133,0.9958602023016359,0.9937914132465866
depth4,0.9,score_scale,-0.6010461916304481,0.0,1,1.0,0.4782904539873742,0.4303740845051326,0.37033716273684114,0.5045417034769125,0.3162048517252138
depth4,0.9,radial,0.0,-0.3263487133245041,1,1.0,0.9939356212375459,0.9964882119584353,0.9919667221853968,1.0002428537423222,0.3162048517252138
depth4,0.9,score_scale_radial,-0.6815198416509621,-1.3538094547298452,2,1.3618099970324578,0.3832819514612744,0.34499900721020715,0.30140605007657084,0.3966843704907014,0.3162048517252138
depth6,0.9,score_scale,-0.5473558304174767,0.0,1,1.0,0.5651258029392476,0.5134209327086722,0.4481699304483807,0.590479523065046,0.40000554687507767
depth6,0.9,radial,0.0,-0.5521004278468387,1,1.0,0.9825550497633315,0.9902465324829055,0.9806978671714914,0.9988201417275855,0.40000554687507767
depth6,0.9,score_scale_radial,-0.6372845314010926,-1.512871922823896,2,1.3618099970324578,0.44587459902052434,0.4126094066656978,0.36975142176170545,0.46178902668653654,0.40000554687507767
depth8,0.9,score_scale,-0.45056858224476354,0.0,1,1.0,0.6514998261101317,0.6070785537250242,0.5383584673582662,0.6864815520317313,0.5000083792621887
depth8,0.9,radial,0.0,-0.5205623010942341,1,1.0,0.9816584497538938,0.988062226556678,0.9778925360504804,0.9972968377148622,0.5000083792621887
depth8,0.9,score_scale_radial,-0.5289106037686545,-1.317949035673866,2,1.3618099970324578,0.5444680517794293,0.5136084509073533,0.46063995373533617,0.5721362528315553,0.5000083792621887
depth10,0.9,score_scale,-0.2129872136097036,0.0,1,1.0,0.8366700840995976,0.7986843632564072,0.7416260316460684,0.860838525187403,0.7302326137707356
depth10,0.9,radial,0.0,-0.22168207109126706,1,1.0,0.9930236342749484,0.9949533700574578,0.9887789474166342,0.999871482620505,0.7302326137707356
depth10,0.9,score_scale_radial,-0.2484274612447406,-0.596211832246325,2,1.3618099970324578,0.7907297489303073,0.7538667904027387,0.6985598238208528,0.8108528817270307,0.7302326137707356
external_v500,0.9,score_scale,-0.004949856442583063,0.0,1,1.0,0.9991298128096917,0.9986484443578801,0.9977085212643295,0.9998272765434609,0.9916650611297453
external_v500,0.9,radial,0.0,-0.03178720144542959,1,1.0,0.9985850487020211,0.9988876230257665,0.9981878267114277,0.999500331610387,0.9916650611297453
external_v500,0.9,score_scale_radial,-0.0075126090483466626,-0.04311322658947222,2,1.3618099970324578,0.9967601702815049,0.9964881261563293,0.9950161889476534,0.9981974413848985,0.9916650611297453
