t,id,class_index,weight
0.15,713,81,2.253762075469759e-18
0.15,713,82,2.100624910033997e-18
0.15,713,83,0.0034911871520795852
0.15,713,84,1.6516815554558038e-18
0.15,713,85,0.03318723592796716
0.15,713,86,0.0
0.15,713,87,0.004101407337511524
0.15,713,88,0.022545331032645343
0.15,713,89,6.547133101148748e-19
0.15,713,90,0.0
0.15,713,91,0.014908616344539001
0.15,713,92,0.019089965788448002
0.15,713,93,1.2531094663476108e-18
0.15,713,94,0.02063434875437253
0.15,713,95,0.0
0.15,713,96,0.0
0.15,713,97,8.565102854935641e-19
0.15,713,98,6.525699845064736e-19
0.15,713,99,0.05033162853980212
0.15,3623,0,0.0
0.15,3623,1,0.045840349908168654
0.15,3623,2,0.0
0.15,3623,3,0.0
0.15,3623,4,1.2878489772302053e-17
0.15,3623,5,0.0006166222491122622
0.15,3623,6,0.022211608804006806
0.15,3623,7,8.417415831940103e-19
0.15,3623,8,0.0
0.15,3623,9,0.0
0.15,3623,10,2.9897089061226493e-18
0.15,3623,11,0.0
0.15,3623,12,0.0
0.15,3623,13,0.11506835324137527
0.15,3623,14,0.0
0.15,3623,15,1.030406081760962e-17
0.15,3623,16,0.0
0.15,3623,17,0.0
0.15,3623,18,0.0
0.15,3623,19,0.0
0.15,3623,20,0.03739420298285806
0.15,3623,21,0.0
0.15,3623,22,0.0
0.15,3623,23,0.027197667418435066
0.15,3623,24,2.6375773625722135e-19
0.15,3623,25,0.027330038031335175
0.15,3623,26,0.0482837227874311
0.15,3623,27,0.0
0.15,3623,28,0.0
0.15,3623,29,0.0010817562959671533
0.15,3623,30,1.0062989718157882e-18
0.15,3623,31,0.0
0.15,3623,32,0.0
0.15,3623,33,0.002644123136990967
0.15,3623,34,0.0018095680216949522
0.15,3623,35,0.006037116365661169
0.15,3623,36,0.038526335968836214
0.15,3623,37,1.0074827134225697e-17
0.15,3623,38,0.0
0.15,3623,39,0.0
0.15,3623,40,0.0
0.15,3623,41,0.03539217609330642
0.15,3623,42,9.766941561741108e-19
0.15,3623,43,1.4874915646689253e-18
0.15,3623,44,0.0037710288930665925
0.15,3623,45,0.014971084779422243
0.15,3623,46,1.357396180295756e-17
0.15,3623,47,0.014481081603341384
0.15,3623,48,5.8034848330604475e-18
0.15,3623,49,0.0
0.15,3623,50,0.0
0.15,3623,51,0.05833912904647001
0.15,3623,52,0.04323591889032359
0.15,3623,53,0.017230183186837753
0.15,3623,54,0.0
0.15,3623,55,0.03573398116800822
0.15,3623,56,0.0
0.15,3623,57,3.812659839017986e-18
0.15,3623,58,3.358338511778145e-18
0.15,3623,59,0.018582518247679727
0.15,3623,60,1.3310164472847751e-19
0.15,3623,61,4.909146522005043e-18
0.15,3623,62,0.030902439637756057
0.15,3623,63,2.8449035621375605e-18
0.15,3623,64,0.0
0.15,3623,65,0.030613399923557386
0.15,3623,66,0.00012360182968474556
0.15,3623,67,0.04178729099977668
0.15,3623,68,0.005761507021329919
0.15,3623,69,0.0
0.15,3623,70,2.8830877024572486e-18
0.15,3623,71,0.010128322613136138
0.15,3623,72,0.005397783504171121
0.15,3623,73,2.4609124000306602e-20
0.15,3623,74,0.021640852387140582
0.15,3623,75,0.02189489172007878
0.15,3623,76,0.0
0.15,3623,77,1.2088547914375305e-18
0.15,3623,78,0.012421102820094055
0.15,3623,79,0.00022479394281619742
0.15,3623,80,0.022120902965242363
0.15,3623,81,0.0
0.15,3623,82,0.002565343992519744
0.15,3623,83,0.0018735402601363965
0.15,3623,84,0.025293153188284054
0.15,3623,85,0.0
0.15,3623,86,3.873347582134591e-18
0.15,3623,87,7.294060012364967e-19
0.15,3623,88,6.744979930775335e-18
0.15,3623,89,0.0
0.15,3623,90,0.0730051289252286
0.15,3623,91,0.023584900136777342
0.15,3623,92,0.039038035451158144
0.15,3623,93,1.1182643921928281e-18
0.15,3623,94,0.0
0.15,3623,95,0.01584444156078292
0.15,3623,96,2.5449403670652726e-18
0.15,3623,97,0.0
0.15,3623,98,0.0
0.15,3623,99,0.0
0.15,2797,0,0.0
0.15,2797,1,0.03176357749620724
0.15,2797,2,0.04796020330974192
0.15,2797,3,4.046957096744375e-18
0.15,2797,4,0.00026165841642427425
0.15,2797,5,0.0
0.15,2797,6,0.02445949620181442
