grid_index,noise_time,heat_variance,heat_step_from_previous,cumulative_log_weight_mean,cumulative_log_weight_std,increment_mean,increment_std,potential_mean,potential_std,potential_q10,potential_median,potential_q90,potential_min,potential_max,k4_ess_mean,k4_ess_min,k4_ess_fraction_mean,k4_ess_fraction_min,k4_entropy_ess_fraction_mean,k4_max_weight_mean,k4_max_weight_max,k4_log_weight_range_mean,k4_log_weight_range_max,k8_ess_mean,k8_ess_min,k8_ess_fraction_mean,k8_ess_fraction_min,k8_entropy_ess_fraction_mean,k8_max_weight_mean,k8_max_weight_max,k8_log_weight_range_mean,k8_log_weight_range_max,k16_ess_mean,k16_ess_min,k16_ess_fraction_mean,k16_ess_fraction_min,k16_entropy_ess_fraction_mean,k16_max_weight_mean,k16_max_weight_max,k16_log_weight_range_mean,k16_log_weight_range_max
26,0.9579287767410278,518.4372048026094,57.5621514677523,9.202146856114283,3.600220849715152,1.244484470096855,0.4568030245520602,0.024234649550635368,0.008766281216263053,0.014735910762101411,0.022578843869268894,0.03582358844578266,0.0103317154571414,0.06491515040397644,1.5478332362792546,1.0003694665879057,0.38695830906981366,0.2500923666469764,0.43866284280258383,0.8082112150483092,0.999815300877285,6.5934612657474565,16.073398758812644,1.7215582077826366,1.0003754287601232,0.21519477597282957,0.1250469285950154,0.25974316861069857,0.7982595361941558,0.9998123214519441,9.156566539127908,19.76191832145197,2.1135738783883493,1.0004422291692008,0.13209836739927183,0.06252763932307505,0.17481932812764164,0.694086589114371,0.9997789412017883,10.958429925279844,19.76191832145197
27,0.9558101296424866,467.8404867578903,50.59671804471907,10.590806789311252,4.067198191734675,1.3886599331969698,0.4934535598783769,0.030656655137136113,0.010755352676078824,0.01882684212177992,0.02889023069292307,0.045161491632461546,0.013434133492410183,0.08207360655069351,1.4665397420082371,1.0000756074953938,0.3666349355020593,0.25001890187384845,0.40947471486231346,0.8390727978322661,0.9999621976823622,7.662500080665058,18.54272188259587,1.6925455863302576,1.000076592722083,0.2115681982912822,0.12500957409026037,0.24829796912171767,0.8133751862821252,0.9999617051251296,10.426371425483305,22.508253175960995,2.0778231776140013,1.0000889964217732,0.12986394860087508,0.06250556227636082,0.16418336355404228,0.7017357494561429,0.9999555040269785,12.28560721266677,22.508253175960995
28,0.9536424279212952,423.18451230917907,44.65597444871122,12.134438226860786,4.570843050594215,1.5436314375495326,0.5330660896804158,0.038477719674119726,0.013135257442622537,0.023820064030587673,0.03669988550245762,0.05557201504707336,0.01712414063513279,0.10182453691959381,1.3990047358845632,1.000012842357978,0.3497511839711408,0.2500032105894945,0.38472295209669294,0.8673841159158133,0.9999935788622538,8.861049999632929,21.341192186417704,1.6373416746662204,1.0000129769374928,0.20466770933327755,0.1250016221171866,0.23786733573541935,0.8273018140980964,0.9999935115737971,11.790837017624984,25.44998027121307,1.961545118754096,1.000014957412686,0.122596569922131,0.06250093483829287,0.15234840168581143,0.7242851423465666,0.9999925213564668,13.768991741586959,25.44998027121307
29,0.9514237642288208,383.61914590182664,39.56536640735243,13.844142007591719,5.11113054095349,1.7097037807309334,0.5729471475519403,0.04794654154102318,0.015848314811669522,0.030430123396217822,0.04560701921582222,0.06715821921825409,0.02168874628841877,0.12290061265230179,1.353176938746938,1.000001941705994,0.3382942346867345,0.2500004854264985,0.36600779096109903,0.8848942283503264,0.9999990291479457,10.157008755830422,24.413292376884034,1.5243535102631318,1.0000019579462633,0.19054418878289148,0.12500024474328292,0.2248348091070167,0.8522074410297797,0.9999990210278347,13.265160880530903,28.51905375719229,1.770534116007023,1.0000022445058234,0.11065838225043893,0.06250014028161396,0.13783941722542678,0.7659440302361937,0.999998877748496,15.403423559907864,28.51905375719229
30,0.9491525292396545,348.44425480461535,35.17489109721129,15.732680627385477,5.68858055490844,1.88853861979376,0.6137223490992251,0.05943338549695909,0.01906911896545163,0.03821218013763428,0.056725723668932915,0.08211918026208877,0.026625515893101692,0.14829784631729126,1.3269680806315587,1.0000002693508925,0.33174202015788967,0.2500000673377231,0.35212085381681646,0.8923736129968223,0.999999865324572,11.536278431688768,27.716474782519338,1.390949334472431,1.0000002711178986,0.17386866680905388,0.12500003388973732,0.2084752909652556,0.8751535192683378,0.9999998644410693,14.803606397696575,31.688794762630515,1.631868460239739,1.0000003099211645,0.10199177876498369,0.06250001937007278,0.1253427197031648,0.7998933828688084,0.9999998450394445,17.12564721076091,31.688794762630515
31,0.9468267560005188,317.0696919998475,31.374562804767834,17.8144857637496,6.305476422211472,2.081805136364122,0.657496479192053,0.07327317359158769,0.022873121269439727,0.046936007961630825,0.07022164016962051,0.10157450065016746,0.03334883227944374,0.17775434255599976,1.3013118279190556,1.0000000336949328,0.3253279569797639,0.2500000084237332,0.3404164368443702,0.9007074596355547,0.9999999831525338,13.016382182970638,31.246431033275655,1.296613224726753,1.0000000338676174,0.16207665309084412,0.12500000423345217,0.19257981449879755,0.8931416350355287,0.9999999830661915,16.397726349040752,34.97678398433404,1.52913930868817,1.0000000387760697,0.09557120679301062,0.06250000242350436,0.11614183080578015,0.8264523557239706,0.9999999806119656,18.94021131094616,34.97678398433404
32,0.9444444179534912,288.999708175872,28.06998382397552,20.104158663309256,6.965052175686392,2.2896728995596565,0.7055377740665836,0.08986713414196856,0.027424878623217443,0.05794186368584633,0.08699217811226845,0.12659860402345657,0.04241855442523956,0.21210312843322754,1.2596126471285958,1.000000003855317,0.31490316178214894,0.25000000096382924,0.3280102838262533,0.9155480629331885,0.9999999980723415,14.61131720146209,35.0068531479145,1.2536095756233427,1.00000000387036,0.15670119695291784,0.125000000483795,0.18105059712848265,0.9026175662094748,0.99999999806482,18.045354631292476,38.40636812320706,1.445952473841448,1.0000000044516284,0.0903720296150905,0.06250000027822677,0.10914876234664114,0.8476723042766285,0.9999999977741858,20.84636554415712,38.40636812320706
33,0.9420035481452942,263.8166659753355,25.183042200536477,22.616407400835406,7.669922613380273,2.512248737526147,0.7558137147463103,0.10965194838354364,0.032632719266537616,0.07091351374983787,0.10550979524850845,0.15543078631162643,0.05240791663527489,0.2515699863433838,1.2111932856286385,1.0000000004069323,0.3027983214071596,0.25000000010173307,0.3151752926039644,0.926975813254606,0.9999999997965339,16.286621432921386,38.98984759643294,1.2461388524389378,1.0000000004081024,0.15576735655486723,0.1250000000510128,0.17390036212281643,0.902055796036166,0.9999999997959488,19.75832309508562,41.999647833926915,1.3862964068442538,1.0000000004732454,0.08664352542776586,0.06250000002957784,0.10395385362986928,0.8637612879351412,0.9999999997633773,22.8452475949286,41.999647833926915
34,0.9395017623901367,241.16248575749017,22.65418021784535,25.366591178706816,8.421640831659806,2.7501837778714093,0.8078750050371912,0.13314507639734074,0.03872533301054462,0.08722950369119645,0.12979217618703842,0.18699560165405274,0.06431625783443451,0.29900890588760376,1.1715316962378197,1.0000000000388045,0.29288292405945493,0.25000000000970113,0.30338938258447645,0.9348979505045135,0.9999999999805977,18.042053577207312,43.20461785819508,1.2471684963419811,1.0000000000388858,0.15589606204274764,0.12500000000486072,0.16930051701767979,0.8915313361238809,0.9999999999805571,21.535352543683885,45.788601333136555,1.3550883585820659,1.000000000045651,0.08469302241137912,0.06250000000285319,0.10069557581066164,0.8731412032150228,0.9999999999771745,24.93436099717084,45.788601333136555
35,0.9369369745254517,220.73497472516254,20.42751103232763,28.37095401536834,9.222497088776,3.0043628366615263,0.8619175449837476,0.16100361669668928,0.04569898479789129,0.10649462118744851,0.1559804007411003,0.22288316041231154,0.07852689921855927,0.35372722148895264,1.1473526362469428,1.0000000000032907,0.2868381590617357,0.2500000000008227,0.2943699016370075,0.9386899469822991,0.9999999999983546,19.87521923938212,47.66189258493091,1.2278344755111383,1.000000000003296,0.1534793094388923,0.125000000000412,0.16556312930939796,0.9048527465272007,0.999999999998352,23.493265950189638,49.79691158157935,1.361373035383148,1.0000000000039257,0.08508581471144674,0.06250000000024536,0.09983784212439042,0.8725128949200294,0.9999999999980371,27.177908729656423,49.79691158157935
