source,time,component,observations,field_rms_mean,field_rms_median,field_rms_q10,field_rms_q90,jvp_rms_mean,jvp_rms_median,jvp_rms_q10,jvp_rms_q90,vjp_rms_mean,vjp_rms_median,vjp_rms_q10,vjp_rms_q90,antisymmetric_rms_mean,antisymmetric_rms_median,antisymmetric_rms_q10,antisymmetric_rms_q90,antisymmetric_over_jvp_rms_mean,antisymmetric_over_jvp_rms_median,antisymmetric_over_jvp_rms_q10,antisymmetric_over_jvp_rms_q90,antisymmetric_energy_fraction_mean,antisymmetric_energy_fraction_median,antisymmetric_energy_fraction_q10,antisymmetric_energy_fraction_q90,jvp_vjp_cosine_mean,jvp_vjp_cosine_median,jvp_vjp_cosine_q10,jvp_vjp_cosine_q90
teacher,0.9,x_common_on_v,32,0.04661555541679263,0.046169133856892586,0.03944535404443741,0.05605492293834687,0.30126042291522026,0.3046281188726425,0.231470462679863,0.35111395120620725,0.3018753454089165,0.30592186748981476,0.23235556334257126,0.3469537258148193,0.35149777960032225,0.35762251913547516,0.271435484290123,0.41382437050342563,1.1663676463067532,1.1662116050720215,1.129037368297577,1.1977096319198608,0.3393303081393242,0.33929184079170227,0.3244710713624954,0.3542669415473938,0.32139816135168076,0.32144448161125183,0.2915265142917633,0.3511314123868942
teacher,0.9,x_unique_to_v,32,0.16500873677432537,0.16634249687194824,0.1346845105290413,0.19097062349319457,1.0293671898543835,1.0104360580444336,0.803639829158783,1.2698728561401367,1.0304795559495687,1.0111111998558044,0.8057583570480347,1.253015148639679,1.168345395475626,1.116525411605835,0.9154428958892822,1.46498863697052,1.1338482424616814,1.1366711854934692,1.0933754086494445,1.1599769949913026,0.3210377227514982,0.3225764334201813,0.3034502774477005,0.33769897520542147,0.3579847067594528,0.3548530042171478,0.3246136695146561,0.393176394701004
v400_rollout,0.1,v_common_on_x,32,0.008710040710866451,0.008017838932573795,0.004262482048943639,0.016529904957860716,0.016477278943057172,0.012591397389769554,0.007579661067575216,0.029922406375408175,0.015824756730580702,0.015081183984875679,0.0066118895076215265,0.02652737442404032,0.020418348096427508,0.017027958296239376,0.00987642416730523,0.03470163829624653,1.3150763548910618,1.2331289649009705,1.0924375534057618,1.7737790822982789,0.4062082339078188,0.4012545943260193,0.32080542743206025,0.4830135136842728,0.19585348801047076,0.2010248526930809,0.03480163402855396,0.370210599899292
v400_rollout,0.1,v_unique_to_x,32,0.021298878302332014,0.01843798439949751,0.01305347066372633,0.033429145067930224,0.033278606890235096,0.03077690489590168,0.020919789373874665,0.05209920145571233,0.03409866918809712,0.030434939078986645,0.02000427693128586,0.054282846674323086,0.040703897713683546,0.03528285399079323,0.025142722763121128,0.06410651877522469,1.2384248692542315,1.2291186451911926,1.096204662322998,1.4595167994499207,0.37187394918873906,0.37514717876911163,0.2869730472564697,0.46550234854221345,0.2602769505465403,0.252444788813591,0.06917568296194077,0.43526775240898136
v400_rollout,0.1,x_common_on_v,32,0.013670047388586681,0.012494985945522785,0.005493843555450439,0.024516907706856734,0.024855914278305136,0.019296576268970966,0.010263095796108245,0.04483266547322273,0.02532160739065148,0.022596128284931183,0.01100203301757574,0.04674976542592049,0.03187259868718684,0.02542529907077551,0.014816054049879313,0.05401119738817215,1.3417307455092669,1.302684247493744,1.0458749651908874,1.5348143219947814,0.4025237485766411,0.376828208565712,0.2820417284965515,0.5557622730731965,0.20348861700040288,0.24901755154132843,-0.11613782607018946,0.44952174723148347
v400_rollout,0.1,x_unique_to_v,32,0.03305420221295208,0.025552001781761646,0.02024065498262644,0.06120790317654612,0.05112851248122752,0.04437984526157379,0.03192163184285164,0.08068899139761926,0.05265873938333243,0.04586576856672764,0.03234269730746746,0.0854018360376358,0.06407473341096193,0.05284797213971615,0.04081860966980457,0.09267929419875146,1.2719983607530594,1.2765758037567139,1.0801125168800354,1.4668819308280945,0.38907498540356755,0.3981626182794571,0.27851170897483823,0.485901290178299,0.22496828654402634,0.20697090029716492,0.028252910636365418,0.44583199918270117
v400_rollout,0.5,v_common_on_x,32,0.018616535991895944,0.017505057156085968,0.012211593892425298,0.027203643880784518,0.07189441216178238,0.06692299991846085,0.04492373652756214,0.09936946481466294,0.07071800762787461,0.06783268228173256,0.04579529576003551,0.10196534842252734,0.08469718170817941,0.07897446677088737,0.05947994850575924,0.11220981627702713,1.1894818097352982,1.1929256916046143,1.0793610572814942,1.29877268075943,0.35640988126397133,0.36272089183330536,0.3075027674436569,0.4159844368696213,0.28932482935488224,0.2754299193620682,0.1687958985567093,0.38643536269664763
v400_rollout,0.5,v_unique_to_x,32,0.06344602326862514,0.06598367542028427,0.04688473679125309,0.07619888037443161,0.23268147045746446,0.23108405619859695,0.17852164059877396,0.3060590744018555,0.23326434008777142,0.2309950292110443,0.1696721389889717,0.2919782638549805,0.27909484412521124,0.2743341326713562,0.20575309842824935,0.3397920161485672,1.196869682520628,1.1833401322364807,1.1059143662452697,1.2756591200828553,0.35775475576519966,0.35157622396945953,0.3215361922979355,0.3935751497745514,0.2853055995074101,0.29801100492477417,0.21304994225502014,0.3589518189430237
v400_rollout,0.5,x_common_on_v,32,0.034114847891032696,0.03285295329988003,0.024697420932352544,0.04654236696660519,0.13461921247653663,0.13092613220214844,0.08979083225131035,0.17987508922815323,0.14306111354380846,0.1287689208984375,0.09200981482863427,0.18002828061580659,0.16720448527485132,0.15669265389442444,0.11328493803739548,0.20234162211418152,1.2514713536947966,1.2167552709579468,1.1003340244293214,1.3181378722190857,0.36012296518310905,0.3608991503715515,0.32833159863948824,0.4068302929401398,0.28697165148332715,0.28396083414554596,0.18714239746332167,0.39325759410858163
v400_rollout,0.5,x_unique_to_v,32,0.11711849085986614,0.12165359780192375,0.09216338321566582,0.14523779153823851,0.41543339751660824,0.4111056327819824,0.3345638483762741,0.5293294787406921,0.423243323341012,0.4069978892803192,0.3418373465538025,0.536274665594101,0.4927560640498996,0.47665849328041077,0.3882821023464203,0.6263474822044373,1.1902881301939487,1.1944217085838318,1.091075074672699,1.3466321229934692,0.34697585832327604,0.3465746343135834,0.303157702088356,0.40810438692569734,0.30661854054778814,0.30757103860378265,0.18450892418622972,0.3952122002840042
