step,model,elapsed_seconds,velocity,total,clean,epsilon,gate,gate_mean,consistency
2500,D1_scaled,184.42447967268527,,1.012034296989441,0.4875776767730713,0.46863889694213867,0.05581774562597275,0.5743613243103027,
2500,D2_velocity,184.42447967268527,,2.4690487384796143,0.48907530307769775,0.47459113597869873,1.5053822994232178,0.525316596031189,
2500,D4_safe,184.42447967268527,,2.4484825134277344,0.4877658486366272,0.4677634537220001,1.4929530620574951,0.5666102170944214,
2500,S0_xv,184.42447967268527,1.5011290311813354,1.9938228130340576,0.49269378185272217,,,,0.006090544164180756
2500,S1_xv,184.42447967268527,1.5025824308395386,1.9956908226013184,0.49252578616142273,,,,0.005826327949762344
3000,B0_v,219.6441034609452,1.549526333808899,1.549526333808899,,,,,
3000,B1_x,219.6441034609452,,0.4881798326969147,0.4881798326969147,,,,
3000,B2_eps,219.6441034609452,,0.4841923713684082,,0.4841923713684082,,,
3000,D0_xeps,219.6441034609452,,0.9703977704048157,0.48710423707962036,0.4832935333251953,,,
3000,D1_scaled,219.6441034609452,,1.0282498598098755,0.48690739274024963,0.4832029938697815,0.05813946574926376,0.5771768689155579,
3000,D2_velocity,219.6441034609452,,2.5105018615722656,0.488381564617157,0.48643481731414795,1.5356855392456055,0.5201364755630493,
3000,D4_safe,219.6441034609452,,2.4944136142730713,0.4870228171348572,0.4812212586402893,1.5261695384979248,0.589059591293335,
