step,time,band,rollout_full_power,target_teacher_power,log_power_mismatch,rollout_state_power,target_teacher_state_power,log_state_power_mismatch,gap_power_derivative,spectral_defect_alignment,gap_power
5,0.9934640526771545,0,0.2410994315141579,0.2429269055064651,-0.007551170405815766,0.08098266441083979,0.0809649481598171,0.00021878990140278276,0.006548688157579363,4.945026021242946e-05,0.005953175814283895
5,0.9934640526771545,1,0.0010946832795184491,0.0012550768779817,-0.1367317490826343,0.29304829047759995,0.2928775502368808,0.0005828049684371006,0.000394503046805994,5.394109160821191e-05,0.0003705337935002717
5,0.9934640526771545,2,0.0004237181625512676,0.0004860335016019,-0.13720903161225717,0.6131242675473914,0.613038404728286,0.00014005126919480748,0.0002472825190409367,3.3929394972246464e-05,0.0003137882568182704
6,0.9920844435691833,0,0.25346215716854203,0.2571642090078967,-0.01450029591119395,0.08077122263784986,0.0807532250328222,0.00022284682426310098,0.007638123347021519,0.00011075504873801118,0.006647309986419714
6,0.9920844435691833,1,0.0013184708914764087,0.0015184323434311,-0.14120580007366268,0.29224168666405603,0.2920680356328375,0.0005943801025534157,0.00046746477103454254,6.600873700018412e-05,0.0004290879092252453
6,0.9920844435691833,2,0.0004888158061930881,0.0005634124587743,-0.14202622468471127,0.6114344007801265,0.6113406990771182,0.00015326073159754872,0.0002767570841228917,3.930676381272335e-05,0.00034574148438082375
7,0.9906790852546692,0,0.26692984509281814,0.27260532775108,-0.021039191865951823,0.08055835703271441,0.080540385126369,0.00022311665726348906,0.00940787858968406,0.00019793416269994318,0.007550789123342838
7,0.9906790852546692,1,0.0016080049410902575,0.0018517050917807,-0.14111264227553466,0.2914215985802002,0.2912452218588441,0.0006054119457510332,0.0005788649658242662,8.168516484819927e-05,0.0005087849079643547
7,0.9906790852546692,2,0.0005685669560193674,0.0006572293694091,-0.1449139909630599,0.609715950791724,0.6096144811599515,0.00016643500292912172,0.00031498521479988995,4.564576457100873e-05,0.00038410532403077013
8,0.9892473220825195,0,0.2813423189218156,0.2889257894021284,-0.026597726348724038,0.08034413082350511,0.0803264882633811,0.00021961152941551987,0.011812383913081703,0.0003141825548462172,0.008641494510811754
8,0.9892473220825195,1,0.0019749672744069358,0.0022703353636472,-0.13937572957548383,0.2905877427547239,0.290408828004729,0.0006158891967864566,0.0007388818815456943,0.00010298220131053737,0.0006144287347353838
8,0.9892473220825195,2,0.0006647706799753905,0.0007698175185026,-0.1467113587618858,0.6079682800918818,0.6078591169789433,0.00017957008288305154,0.0003638631763465128,5.338286100521255e-05,0.0004295615515843565
9,0.9877883195877075,0,0.29651266244763974,0.305671578295005,-0.03042132811013265,0.08012858721485827,0.0801115770082105,0.0002123089026291325,0.014727540782644155,0.00044803135040417767,0.009873561177300871
9,0.9877883195877075,1,0.002435131072729746,0.0027977837681305,-0.13882700866638054,0.28973973845131695,0.2895584724610671,0.0006258123803983828,0.0009606420151548889,0.00013336305736319701,0.0007520070697069059
9,0.9877883195877075,2,0.0007803560656611808,0.0009049303188533,-0.14810763503423097,0.6061905352398753,0.6060737765510567,0.00019262909588957378,0.0004263433197309041,6.314470079798719e-05,0.00048344961163593325
10,0.9863013625144958,0,0.31199933047173545,0.3224267833211343,-0.032875040116110865,0.07991178869269788,0.079895720751665,0.00020109118955558003,0.017838087070060737,0.0005864278280229252,0.011166882597080985
