condition,time,rollout_bayes_velocity_mse,state_swd_2d,state_intrinsic_swd,state_off_subspace_rms,true_off_subspace_rms,gate_mean,gate_std
D1_eps_own,0.9,0.142796590924263,0.04700622860511687,0.04700622860511687,4.607564463299241e-08,4.454185287272594e-08,,
D1_eps_own,0.97,0.3887580931186676,0.04818659170057354,0.04818659170057354,4.941888676057715e-08,4.8104567440532264e-08,,
D1_eps_own,0.99,0.09553152322769165,0.06835441491890995,0.06835441491890995,5.015458270918316e-08,4.8349715342510535e-08,,
D1_gate_on_D0,0.01,0.020978301763534546,0.021896231292896983,0.021896231292896983,4.770814854282435e-08,4.845319523383296e-08,0.93891441822052,0.04073014855384827
D1_gate_on_D0,0.03,0.0035825702361762524,0.02440267290719997,0.02440267290719997,4.75445602887703e-08,4.766827643720717e-08,0.9219976663589478,0.05387916788458824
D1_gate_on_D0,0.1,0.0008284142822958529,0.02324196606730362,0.02324196606730362,4.487574045697329e-08,4.418625465518744e-08,0.9149104356765747,0.051965273916721344
D1_gate_on_D0,0.3,0.0005620960146188736,0.017814217176727768,0.017814217176727768,3.646129087542249e-08,3.6610469322795325e-08,0.8764864802360535,0.05549056828022003
D1_gate_on_D0,0.5,0.0013067057589069009,0.017138499055626255,0.017138499055626255,3.470580978159887e-08,3.314482199812119e-08,0.633959174156189,0.09572835266590118
D1_gate_on_D0,0.7,0.004297037608921528,0.015368196389370217,0.015368196389370217,3.8141440228400825e-08,3.6517590729090443e-08,0.2026636153459549,0.07862739264965057
D1_gate_on_D0,0.9,0.15189121663570404,0.03340608072115486,0.03340608072115486,4.594594571472044e-08,4.454185287272594e-08,0.0146098043769598,0.01420678198337555
D1_gate_on_D0,0.97,0.37765252590179443,0.030823767731932204,0.030823767731932204,4.915066398325507e-08,4.8104567440532264e-08,0.020474525168538094,0.015757402405142784
D1_gate_on_D0,0.99,0.13732658326625824,0.03124725358237075,0.03124725358237075,4.9471573504433763e-08,4.8349715342510535e-08,0.03542404621839523,0.023963777348399162
D2_x_own,0.01,0.003270343178883195,0.021774633092471886,0.021774633092471886,4.785342255786418e-08,4.845319523383296e-08,,
D2_x_own,0.03,0.0026298179291188717,0.025042592070295376,0.025042592070295376,4.685772836410251e-08,4.766827643720717e-08,,
D2_x_own,0.1,0.0016626997385174036,0.024162062792022026,0.024162062792022026,4.400683550898066e-08,4.418625465518744e-08,,
D2_x_own,0.3,0.0018298635259270668,0.021241959355847963,0.021241959355847963,3.6172060902117664e-08,3.6610469322795325e-08,,
D2_x_own,0.5,0.0014946237206459045,0.021307026009768096,0.021307026009768096,3.455505748206633e-08,3.314482199812119e-08,,
D2_x_own,0.7,0.013519197702407837,0.019108406442153447,0.019108406442153447,3.8153135761831436e-08,3.6517590729090443e-08,,
D2_x_own,0.9,0.5401952266693115,0.037789150315984836,0.037789150315984836,4.505108464059049e-08,4.454185287272594e-08,,
D2_x_own,0.97,2.4880359172821045,0.048977604669473325,0.048977604669473325,5.09259692194064e-08,4.8104567440532264e-08,,
D2_x_own,0.99,13.325220108032227,0.06204464947514381,0.06204464947514381,5.4037851526800296e-08,4.8349715342510535e-08,,
D2_eps_own,0.01,22.84256362915039,0.0318745576745452,0.0318745576745452,4.780148898930747e-08,4.845319523383296e-08,,
D2_eps_own,0.03,1.7045856714248657,0.04563190921053359,0.04563190921053359,4.928463326336896e-08,4.766827643720717e-08,,
D2_eps_own,0.1,0.13346749544143677,0.05032516423422888,0.05032516423422888,4.7338254205442354e-08,4.418625465518744e-08,,
D2_eps_own,0.3,0.01179047767072916,0.05405731011180554,0.05405731011180554,3.9892888992199005e-08,3.6610469322795325e-08,,
D2_eps_own,0.5,0.01301717758178711,0.05042306542997599,0.05042306542997599,3.8700690652149206e-08,3.314482199812119e-08,,
D2_eps_own,0.7,0.018422506749629974,0.048586673157156715,0.048586673157156715,4.2265817512543435e-08,3.6517590729090443e-08,,
D2_eps_own,0.9,0.27425599098205566,0.06851031455555681,0.06851031455555681,4.879872150809206e-08,4.454185287272594e-08,,
D2_eps_own,0.97,0.7536526918411255,0.08115699275287609,0.08115699275287609,5.275717285257997e-08,4.8104567440532264e-08,,
D2_eps_own,0.99,0.16698110103607178,0.08494704756418744,0.08494704756418744,5.514058187827686e-08,4.8349715342510535e-08,,
D2_gate_on_D0,0.01,0.0009290465386584401,0.021798855528582576,0.021798855528582576,4.651151996881708e-08,4.845319523383296e-08,0.9992268681526184,0.0009616827010177076
D2_gate_on_D0,0.03,0.00043770670890808105,0.024737556977831567,0.024737556977831567,4.698767952504568e-08,4.766827643720717e-08,0.9980272054672241,0.002270204247906804
D2_gate_on_D0,0.1,0.000459478294942528,0.023711920185598263,0.023711920185598263,4.431364430956819e-08,4.418625465518744e-08,0.9888483285903931,0.01102083083242178
