condition_a,condition_b,comparison,pca_components_mean,pca_components_std,explained_variance_ratio_mean,explained_variance_ratio_std,rbf_bandwidth_mean,rbf_bandwidth_std,swd_mean_mean,swd_mean_std,swd_std_mean,swd_std_std,linear_mmd2_mean_mean,linear_mmd2_mean_std,linear_mmd2_std_mean,linear_mmd2_std_std,feature_frechet_mean_mean,feature_frechet_mean_std,feature_frechet_std_mean,feature_frechet_std_std,c2st_auc_mean_mean,c2st_auc_mean_std,c2st_auc_std_mean,c2st_auc_std_std,swd_mean_excess_over_split_null_mean,swd_mean_excess_over_split_null_std,linear_mmd2_mean_excess_over_split_null_mean,linear_mmd2_mean_excess_over_split_null_std,feature_frechet_mean_excess_over_split_null_mean,feature_frechet_mean_excess_over_split_null_std,c2st_auc_mean_excess_over_split_null_mean,c2st_auc_mean_excess_over_split_null_std,seed_count
baseline,factorized_g2p5_r1p35,cross_condition,128.0,0.0,0.6271432936191559,0.00048135915684292076,10.863249411729859,0.13258106747169573,0.1664381587049683,0.00030808490545239175,0.0054946791431752,0.0003120456362695928,0.0026310945431243502,0.005281732481303069,0.00770088763786525,0.0008067738538500148,15.988013459521314,0.43232923110103183,0.6414034634101503,0.18765922758433196,0.7527555555555556,0.0047559478319806605,0.009518685658980399,0.00885278476477124,0.05173863375214899,0.0026958766005622747,0.0013910681453057501,0.0080515491437323,1.642619122741661,0.09266519634755559,0.22610740740740742,0.002592724864350703,2
baseline,factorized_g3_r1,cross_condition,128.0,0.0,0.6271432936191559,0.00048135915684292076,10.863249411729859,0.13258106747169573,0.116465105140065,0.002502803483683327,0.00485087873201135,0.0010197302627171698,0.0001423835809129704,0.00011309663406216397,0.0068434894948299005,0.002273538847102891,11.301903395266061,0.08563737968463042,0.3934775084936901,0.02458861799557078,0.5945925925925926,0.005133071448613484,0.00344660044125235,0.0008119971406282891,0.0014389861072584484,0.00044601583503184675,-0.0016864005731414796,0.0038093509557586822,-2.968058716665875,0.2308677996145006,0.07077037037037032,8.380524814062735e-05,2
baseline,closed_g3,cross_condition,128.0,0.0,0.6271432936191559,0.00048135915684292076,10.863249411729859,0.13258106747169573,0.13316919262272645,0.002430139693967543,0.004775768285549,0.0015331461175945016,0.00146475262474175,0.0065410922718248206,0.0081333623112264,1.034814951600601e-05,12.852430779097274,0.10869764974111419,0.4848810597966541,0.021065001893441536,0.6411037037037037,0.01463449145655708,0.00681924070350925,0.005996709223290957,0.0184593666108371,0.0011324049649113798,0.00340878260608825,0.007458690775523689,-1.1125156109964447,0.4352206552128555,0.11812222222222224,0.01679771442418708,2
factorized_g1_r1p5,factorized_g1p5_r1p35,cross_condition,128.0,0.0,0.6271432936191559,0.00048135915684292076,10.863249411729859,0.13258106747169573,0.09358895312063575,0.0004781699709319473,0.0039521345130662,0.0012537204163505563,-0.00253406246765575,0.0028880672553309714,0.00495680662395705,0.0014307159524040163,8.346322326309865,0.248949692306879,0.37318360869827055,0.14232367155411557,0.5277777777777778,0.005195925384718895,0.0062226454305375,0.002668641513394243,-0.0218511782626363,0.001387707061469654,-0.002431943554987375,0.004599086864172466,-6.720135372093,0.27003990953762014,0.004955555555555546,0.004766423487998268,2
factorized_g1_r1p5,factorized_g2_r1p35,cross_condition,128.0,0.0,0.6271432936191559,0.00048135915684292076,10.863249411729859,0.13258106747169573,0.0941871833630733,0.0013744722819191732,0.0027323335570996502,0.0003832095627357071,-0.0005391815388945,2.3186047181288053e-05,0.0071112212695321995,0.0025857138395426332,9.003797208360151,0.3223149433139954,0.2744766722722216,0.05752872607917863,0.5036444444444445,0.0034150638617306624,0.0033214658285336002,0.0034779388605716104,-0.021153113306401725,0.00037976288876438106,-0.00160289610864395,0.0006927285436521975,-6.067801627176276,0.03191001797020537,-0.023118518518518538,0.007207251340093952,2
factorized_g1_r1p5,factorized_g2p5_r1p35,cross_condition,128.0,0.0,0.6271432936191559,0.00048135915684292076,10.863249411729859,0.13258106747169573,0.09766311848234466,0.00047056889018500555,0.00219312927359145,0.00020214611529660928,-0.00066952885468525,0.0036514595948243054,0.00628594177770595,0.0009362452311718049,9.477986833477644,0.005465003088409337,0.2437575272953264,0.061995756188937386,0.526837037037037,0.005499719409228739,0.0163561428322621,0.00632833576124419,-0.017420582009312152,0.002562464606800214,-0.00257291718868435,0.007861666922345956,-5.392814248518652,0.49542016771362407,0.0019925925925926014,0.008244341285834343,2
factorized_g1_r1p5,factorized_g3_r1,cross_condition,128.0,0.0,0.6271432936191559,0.00048135915684292076,10.863249411729859,0.13258106747169573,0.12080850394547715,0.0013140097864457196,0.0083840283537065,0.00012126117389005702,0.00163099959155055,0.0011599542306590658,0.0077590379664138,0.0014870353522191684,11.468458243822482,0.4293096024558139,0.6023145494804008,0.09793151437481579,0.6399037037037036,0.011387038091107712,0.0123881138979056,0.013396712352285836,0.005398209373833125,0.00016928792719369707,-0.0008611464986843997,0.004202884024254199,-3.3269106133260973,0.14784368598005304,0.1178851851851852,0.010941822710360653,2
factorized_g1_r1p5,closed_g3,cross_condition,128.0,0.0,0.6271432936191559,0.00048135915684292076,10.863249411729859,0.13258106747169573,0.1103165659712014,0.002682658957109278,0.00309228296477055,0.001236469630972878,0.00363177781766995,0.0006949474239103776,0.00718131576536115,0.004010729361222118,10.992546257354762,0.26165642375635295,0.2301949750789509,0.05368748652418812,0.5778592592592593,0.0015189701225489394,0.018362176219041453,0.0004811486061062017,-0.004777435579525424,3.218008762982298e-05,0.00491244586283595,0.003052936592701665,-3.4978068779555986,0.24722261837424533,0.056681481481481555,0.003959797974644701,2
factorized_g1p5_r1p35,factorized_g2_r1p35,cross_condition,128.0,0.0,0.6271432936191559,0.00048135915684292076,10.863249411729859,0.13258106747169573,0.09409433016036725,0.0020478620526124284,0.00287358216647855,0.0002711729717585091,-0.00168863928316535,0.0036392939265289673,0.005986503787104001,0.0013252994506486979,8.580080570981519,0.3764885744387757,0.3524586384372763,0.03132200675403232,0.5256814814814814,0.0035302960779239564,0.00900023269844465,0.0007337942650454696,-0.020483389350107073,0.0005316568503564449,-0.0004913489000854248,0.0048428764894196345,-6.593320575195642,0.01920246959563368,0.00039999999999995595,0.003425539517748153,2
factorized_g1p5_r1p35,factorized_g2p5_r1p35,cross_condition,128.0,0.0,0.6271432936191559,0.00048135915684292076,10.863249411729859,0.13258106747169573,0.10023409491586574,0.0004506802627488482,0.0042552700300284,0.0013393590167715362,0.00122817371545995,0.0003113405025722277,0.00570472060561575,0.0007573484879288246,9.512766129835253,0.17963201546186205,0.4238639852223174,0.012190320478052253,0.5551999999999999,0.001257078722109371,0.010190766258055501,0.0021129286267927037,-0.014087028416790354,0.00140318548543878,0.001585790334290225,0.0026484227707323006,-5.459837262801776,0.41560926785397195,0.031837037037037,0.0016761049628125468,2
