seed,time,condition_a,condition_b,comparison,paired_rms,baseline_projection_scale,rbf_bandwidth,swd_mean,swd_std,linear_mmd2_mean,linear_mmd2_std,c2st_auc_mean,c2st_auc_std,swd_mean_excess_over_split_null,linear_mmd2_mean_excess_over_split_null,c2st_auc_mean_excess_over_split_null
1,0.8,factorized_g1_r1p5,factorized_g2_r1p35,cross_condition,0.0959039852023124,0.6926252245903015,5.361246799115707,0.060339774825737,0.0019426097702041,-0.0036623052449628,0.0062327024787651,0.5017037037037038,0.0019738204270372,-0.0201912487378502,-0.0011992470166666998,-0.02611851851851843
1,0.8,factorized_g1_r1p5,factorized_g2p5_r1p35,cross_condition,0.1389604359865188,0.6926252245903015,5.361246799115707,0.0626470929429155,0.0032591588998351,-0.0055064382401058,0.0060954788537791,0.5054074074074074,0.0044414063690434,-0.018577347399959462,-0.00418758776022235,-0.029488888888888787
1,0.8,factorized_g1_r1p5,factorized_g3_r1,cross_condition,0.1339168399572372,0.6926252245903015,5.361246799115707,0.0614277872182874,0.0018284168035197,-0.0036354456072485,0.0059237422853368,0.5087111111111111,0.0032242905239317,-0.019148219929555343,-0.0028447342368904684,-0.01859999999999995
1,0.8,factorized_g1_r1p5,closed_g3,cross_condition,0.1769012063741684,0.6926252245903015,5.361246799115707,0.0618200657843788,0.0021440326586157,-0.0011367914297821,0.0090613083327121,0.5042370370370369,0.0028257487445061,-0.017252831372087656,-0.0006461279198759,-0.024570370370370465
1,0.8,factorized_g1p5_r1p35,factorized_g2_r1p35,cross_condition,0.0678870379924774,0.6926252245903015,5.361246799115707,0.0591611285525387,0.002288833602853,-0.000395572666393,0.009311538976879,0.5022074074074074,0.0011601050044712,-0.021993455414268184,0.00220802756941725,-0.021281481481481457
1,0.8,factorized_g1p5_r1p35,factorized_g2p5_r1p35,cross_condition,0.1160108000040054,0.6926252245903015,5.361246799115707,0.0632398500065687,0.0020984137941946,-0.0022227181213439,0.0072272950677243,0.5021777777777777,0.0020078856885469,-0.018608150739525944,-0.0007633256339463,-0.02838518518518518
1,0.8,factorized_g1p5_r1p35,factorized_g3_r1,cross_condition,0.098503403365612,0.6926252245903015,5.361246799115707,0.0596680427950522,0.0020670675043838,0.0072638302250323,0.0097449492050459,0.5023407407407408,0.002044605468699,-0.021531524756010244,0.008195083602904482,-0.02063703703703701
1,0.8,factorized_g1p5_r1p35,closed_g3,cross_condition,0.1580239087343216,0.6926252245903015,5.361246799115707,0.0623554747254577,0.0039329815625236,0.0010760020481757,0.004872029021639,0.5057037037037038,0.0047691049621409,-0.017340982834228455,0.00170720756559605,-0.018770370370370326
1,0.8,factorized_g2_r1p35,factorized_g2p5_r1p35,cross_condition,0.062717005610466,0.6926252245903015,5.361246799115707,0.0618770440930799,0.001082214935074,0.0011149752591065,0.0121994262241547,0.5022222222222222,0.0013820721604859,-0.020189829270164744,0.00338827901060775,-0.02602222222222228
1,0.8,factorized_g2_r1p35,factorized_g3_r1,cross_condition,0.1179824024438858,0.6926252245903015,5.361246799115707,0.0614856208875899,0.0020224579327784,-0.0011795640688828,0.0098772274668057,0.5035407407407407,0.002759256773551,-0.01993281928062255,0.0005656005730930315,-0.017118518518518533
1,0.8,factorized_g2_r1p35,closed_g3,cross_condition,0.164320021867752,0.6926252245903015,5.361246799115707,0.0628354228404619,0.0027656910570262,-0.00499753226984,0.010856401160624,0.5053629629629629,0.0043367697675183,-0.017079907336374253,-0.0035524154883160002,-0.01679259259259258
1,0.8,factorized_g2p5_r1p35,factorized_g3_r1,cross_condition,0.1458803862333297,0.6926252245903015,5.361246799115707,0.0632225951919648,0.0043584212830264,-0.0036893601735147,0.0088831512176761,0.5016592592592594,0.0021851726302213,-0.018889261755535403,-0.0030884032799515185,-0.026074074074074027
1,0.8,factorized_g2p5_r1p35,closed_g3,cross_condition,0.1799775660037994,0.6926252245903015,5.361246799115707,0.0669631858073022,0.0033055355923343,-0.0040931111000091,0.0068101473364486,0.5085777777777778,0.0064287932550402,-0.013645561148821705,-0.00379220206689775,-0.02065185185185181
1,0.8,factorized_g3_r1,closed_g3,cross_condition,0.1480729430913925,0.6926252245903015,5.361246799115707,0.0624153668568052,0.0015681906062733,-0.0011553126327446,0.0072372542667422,0.5026962962962963,0.0011299149609285,-0.01754494690428649,-0.0013825427091586685,-0.018948148148148047
1,0.85,baseline,baseline,within_condition_split,0.0,0.720085620880127,5.566220578962501,0.080050314536763,0.0051691010023987,-0.0026299557441076,0.0095114616625234,,,,,
1,0.85,factorized_g1_r1p5,factorized_g1_r1p5,within_condition_split,0.0,0.720085620880127,5.566220578962501,0.0831865334629547,0.0032916890440523,0.0022113711105016,0.0072060400075448,,,,,
1,0.85,factorized_g1p5_r1p35,factorized_g1p5_r1p35,within_condition_split,0.0,0.720085620880127,5.566220578962501,0.0830305377862721,0.0025621830553653,0.0013575869997481,0.0044394764693744,,,,,
1,0.85,factorized_g2_r1p35,factorized_g2_r1p35,within_condition_split,0.0,0.720085620880127,5.566220578962501,0.0851647217150562,0.002242507753071,0.0042053676582383,0.0053576894712995,,,,,
1,0.85,factorized_g2p5_r1p35,factorized_g2p5_r1p35,within_condition_split,0.0,0.720085620880127,5.566220578962501,0.0864345876614963,0.0028816229132676,-0.0023070000714767,0.0077160543363404,,,,,
1,0.85,factorized_g3_r1,factorized_g3_r1,within_condition_split,0.0,0.720085620880127,5.566220578962501,0.0861437075610871,0.0045575646643352,-0.0023801260179494,0.0036346273231488,,,,,
1,0.85,closed_g3,closed_g3,within_condition_split,0.0,0.720085620880127,5.566220578962501,0.0828436282425776,0.0022908306242215,-0.0042903790233481,0.0052772951784963,,,,,
1,0.85,baseline,factorized_g1_r1p5,cross_condition,0.2615678310394287,0.720085620880127,5.566220578962501,0.0708857477881615,0.0027244214936385,0.0015011718608328,0.0069535130942936,,,-0.010732676211697365,0.0017104641776358,
1,0.85,baseline,factorized_g1p5_r1p35,cross_condition,0.2506872713565826,0.720085620880127,5.566220578962501,0.0693481151559453,0.0016435076959997,0.0006808681562886,0.004927020313441,,,-0.012192311005572248,0.0013170525284683498,
1,0.85,baseline,factorized_g2_r1p35,cross_condition,0.2921568751335144,0.720085620880127,5.566220578962501,0.0755601022442666,0.0030644232200599,0.0006337665130204,0.0057114762810371,,,-0.00704741588164301,-0.00015393944404494975,
