state_id,t,horizon,alpha,gap_norm,gap_transport_error,exact_carrier_endpoint_error,linear_write_endpoint_error
4,0.0,0.7,0.5,0.6091915229667463,1.3877787807814457e-17,2.4956214016148136e-14,0.004083775262529954
4,0.0,0.7,1.0,0.6091915229667463,1.3877787807814457e-17,1.9963977979933005e-14,0.016335101050040046
4,0.0,0.7,2.0,0.6091915229667463,1.3877787807814457e-17,1.7819079545233762e-14,0.06534040420009832
4,0.3,0.2,0.25,0.4892705398309165,6.938893903907228e-17,1.2657029411283115e-14,9.491263634031633e-05
4,0.3,0.2,0.5,0.4892705398309165,6.938893903907228e-17,1.2546011417772583e-14,0.0003796505453235177
4,0.3,0.2,1.0,0.4892705398309165,6.938893903907228e-17,1.0889244914870514e-14,0.00151860218125488
4,0.3,0.2,2.0,0.4892705398309165,6.938893903907228e-17,7.441807625627247e-15,0.006074408724983382
4,0.3,0.7,0.25,0.4892705398309165,6.938893903907228e-18,2.4730467080580532e-14,0.0006708078872918466
4,0.3,0.7,0.5,0.4892705398309165,6.938893903907228e-18,2.4708698718685162e-14,0.002683231549093029
4,0.3,0.7,1.0,0.4892705398309165,6.938893903907228e-18,2.302650796950055e-14,0.010732926196296316
4,0.3,0.7,2.0,0.4892705398309165,6.938893903907228e-18,1.918424347053305e-14,0.04293170478511245
5,0.0,0.2,0.25,0.7432623149512947,5.551115123125783e-17,1.511137524006686e-14,0.00014445338364832416
5,0.0,0.2,0.5,0.7432623149512947,5.551115123125783e-17,1.0548433389798027e-14,0.0005778135345435587
5,0.0,0.2,1.0,0.7432623149512947,5.551115123125783e-17,9.77138183282905e-15,0.002311254138141705
5,0.0,0.2,2.0,0.7432623149512947,5.551115123125783e-17,8.659739592076221e-15,0.0092450165525364
5,0.0,0.7,0.25,0.7432623149512947,0.0,2.9710240239476015e-14,0.001020943815655928
5,0.0,0.7,0.5,0.7432623149512947,0.0,2.465671679913715e-14,0.004083775262529732
5,0.0,0.7,1.0,0.7432623149512947,0.0,3.247819321093931e-14,0.01633510105005259
5,0.0,0.7,2.0,0.7432623149512947,0.0,3.1646225226420966e-14,0.06534040420011211
5,0.3,0.2,0.25,0.5841165744750789,5.551115123125783e-17,7.473417450352271e-15,9.49126363352093e-05
5,0.3,0.2,0.5,0.5841165744750789,5.551115123125783e-17,1.121998331678273e-14,0.0003796505453222965
5,0.3,0.2,1.0,0.5841165744750789,5.551115123125783e-17,1.0105469280107123e-14,0.0015186021812539918
5,0.3,0.2,2.0,0.5841165744750789,5.551115123125783e-17,8.992849332040182e-15,0.006074408724984992
5,0.3,0.7,0.25,0.5841165744750789,0.0,4.856845069924551e-14,0.0006708078873149947
5,0.3,0.7,0.5,0.5841165744750789,0.0,2.722603040879482e-14,0.002683231549095555
5,0.3,0.7,1.0,0.5841165744750789,0.0,2.6151281997001714e-14,0.010732926196299397
5,0.3,0.7,2.0,0.5841165744750789,0.0,3.097567005438137e-14,0.0429317047851242
6,0.0,0.2,0.25,0.6020559314071129,0.0,4.718447854656915e-15,0.0001444533836286177
6,0.0,0.2,0.5,0.6020559314071129,0.0,4.6922522443102824e-15,0.0005778135345284041
6,0.0,0.2,1.0,0.6020559314071129,0.0,6.6650378637527805e-15,0.0023112541381385965
6,0.0,0.2,2.0,0.6020559314071129,0.0,7.49729424425293e-15,0.009245016552535457
6,0.0,0.7,0.25,0.6020559314071129,1.3877787807814457e-17,7.950313203316809e-14,0.0010209438155468487
6,0.0,0.7,0.5,0.6020559314071129,1.3877787807814457e-17,7.313463032397693e-14,0.004083775262432254
6,0.0,0.7,1.0,0.6020559314071129,1.3877787807814457e-17,1.591496089640704e-14,0.016335101050035994
6,0.0,0.7,2.0,0.6020559314071129,1.3877787807814457e-17,2.004075572074463e-14,0.06534040420010062
6,0.3,0.2,0.25,0.4864199243300815,7.376145397762941e-17,3.67045843825776e-15,9.491263632410707e-05
6,0.3,0.2,0.5,0.4864199243300815,7.376145397762941e-17,8.116785788574106e-15,0.0003796505453029786
6,0.3,0.2,1.0,0.4864199243300815,7.376145397762941e-17,1.2262814116578437e-14,0.0015186021812562123
6,0.3,0.2,2.0,0.4864199243300815,7.376145397762941e-17,7.608268555230076e-15,0.006074408724983604
6,0.3,0.7,0.25,0.4864199243300815,3.469446951953614e-18,7.125391997605518e-14,0.0006708078871959788
6,0.3,0.7,0.5,0.4864199243300815,3.469446951953614e-18,5.299126014401462e-14,0.0026832315490153413
6,0.3,0.7,1.0,0.4864199243300815,3.469446951953614e-18,9.508120391003794e-14,0.010732926196366344
6,0.3,0.7,2.0,0.4864199243300815,3.469446951953614e-18,1.8330787429055492e-14,0.042931704785111546
7,0.0,0.2,0.25,1.0180444092181657,0.0,2.0650148258027912e-14,0.00014445338365409732
7,0.0,0.2,0.5,1.0180444092181657,0.0,2.3762922730979778e-14,0.0005778135345566593
7,0.0,0.2,1.0,1.0180444092181657,0.0,2.4202861936828413e-14,0.002311254138156249
7,0.0,0.2,2.0,1.0180444092181657,0.0,2.3315740848414614e-14,0.009245016552551055
7,0.0,0.7,0.25,1.0180444092181657,0.0,4.01955935583216e-14,0.0010209438156667527
7,0.0,0.7,0.5,1.0180444092181657,0.0,4.919089900686859e-14,0.004083775262554545
7,0.0,0.7,1.0,1.0180444092181657,0.0,6.751068940338983e-14,0.01633510105008762
7,0.0,0.7,2.0,1.0180444092181657,0.0,6.883955747162327e-14,0.06534040420014953
7,0.3,0.2,0.25,0.7995170438672328,5.551115123125783e-17,1.843103977834127e-14,9.491263634608949e-05
7,0.3,0.2,0.5,0.7995170438672328,5.551115123125783e-17,2.2649638130145463e-14,0.00037965054533417586
7,0.3,0.2,1.0,0.7995170438672328,5.551115123125783e-17,2.442591581455988e-14,0.0015186021812687578
7,0.3,0.2,2.0,0.7995170438672328,5.551115123125783e-17,2.3315740848414614e-14,0.00607440872499887
7,0.3,0.7,0.25,0.7995170438672328,5.551115123125783e-17,3.755771433604981e-14,0.0006708078873045586
7,0.3,0.7,0.5,0.7995170438672328,5.551115123125783e-17,4.641582096618738e-14,0.002683231549114762
7,0.3,0.7,1.0,0.7995170438672328,5.551115123125783e-17,5.973371311016744e-14,0.010732926196333148
7,0.3,0.7,2.0,0.7995170438672328,5.551115123125783e-17,6.861259133189594e-14,0.04293170478516206
