time,condition,paired_velocity_mse,bayes_velocity_mse,irreducible_velocity_mse,gate_mean,gate_std,x_amplification_mean,epsilon_amplification_mean
0.9,D2_gate_on_D0,0.6813061237335205,0.02529548667371273,0.6525723338127136,0.000365052284905687,0.0016180549282580614,0.003650522790849209,1.1107056140899658
0.9,D4_x_own,0.8014668226242065,0.1440948247909546,0.6525723338127136,,,,
0.9,D4_eps_own,0.6784000396728516,0.022738855332136154,0.6525723338127136,,,,
0.9,D4_gate_on_D0,0.6805500388145447,0.024936478585004807,0.6525723338127136,0.039991892874240875,0.029572024941444397,0.39991894364356995,1.0666756629943848
0.97,D1_x_own,2.4631507396698,1.6318778991699219,0.8278717994689941,,,,
0.97,D1_eps_own,0.8613860011100769,0.03502263128757477,0.8278717994689941,,,,
0.97,D1_gate_on_D0,0.8566918969154358,0.03362838923931122,0.8278717994689941,0.018645359203219414,0.01870151236653328,0.6215119361877441,1.011705756187439
0.97,D2_x_own,2.7890119552612305,1.9501265287399292,0.8278717994689941,,,,
0.97,D2_eps_own,0.8868985176086426,0.06274646520614624,0.8278717994689941,,,,
0.97,D2_gate_on_D0,0.861050546169281,0.03652575612068176,0.8278717994689941,0.00029276165878400207,0.0008503549033775926,0.009758721105754375,1.0306259393692017
0.97,D4_x_own,2.2064929008483887,1.3704397678375244,0.8278717994689941,,,,
0.97,D4_eps_own,0.8594454526901245,0.0330556184053421,0.8278717994689941,,,,
0.97,D4_gate_on_D0,0.8590269684791565,0.0340755321085453,0.8278717994689941,0.014220668002963066,0.010780424810945988,0.4740222692489624,1.0162672996520996
0.99,D1_x_own,14.226327896118164,13.070575714111328,0.9733789563179016,,,,
0.99,D1_eps_own,0.9832601547241211,0.009006586857140064,0.9733789563179016,,,,
0.99,D1_gate_on_D0,1.0094729661941528,0.03144774213433266,0.9733789563179016,0.02823101356625557,0.024242378771305084,2.823101282119751,0.9815847873687744
0.99,D2_x_own,19.399517059326172,18.285621643066406,0.9733789563179016,,,,
0.99,D2_eps_own,0.9880785942077637,0.016278058290481567,0.9733789563179016,,,,
0.99,D2_gate_on_D0,0.9858459234237671,0.010727526620030403,0.9733789563179016,0.0006570903351530433,0.0018586255609989166,0.06570902466773987,1.0094373226165771
0.99,D4_x_own,13.630685806274414,12.560824394226074,0.9733789563179016,,,,
0.99,D4_eps_own,0.9844505190849304,0.010205298662185669,0.9733789563179016,,,,
0.99,D4_gate_on_D0,0.9878837466239929,0.012011978775262833,0.9733789563179016,0.0044747451320290565,0.002857939573004842,0.44747447967529297,1.005581021308899
