arm,idea_id,family,key,role,solver,strength,theta,external_semantics,fid,sfid,inception_score,independent_top1,independent_target_probability,full_calls_per_image,prefix_calls_per_image,auxiliary_decoder_images_per_output,auxiliary_classifier_images_per_output,sum_batch_gpu_seconds,complete
cfg_apg_11,,cfg_apg,cfg_apg_momentum,control,heun64,2.5,-0.25,False,47.11877244320783,209.93293225264597,67.40300750732422,0.8949999809265137,0.8435412049293518,224.0,0.0,0.0,0.0,170.15303145442158,True
cfg_apg_12,,cfg_apg,cfg_apg_momentum,control,heun64,3.0,-0.75,False,45.86106400452775,210.1884018220719,66.30130767822266,0.8899999856948853,0.8250953555107117,224.0,0.0,0.0,0.0,170.10055410536006,True
cfg_apg_13,,cfg_apg,cfg_apg_momentum,control,heun64,3.0,-0.5,False,47.20549358761116,209.88358619304904,67.37398529052734,0.8999999761581421,0.845162034034729,224.0,0.0,0.0,0.0,170.51776463259012,True
cfg_apg_14,,cfg_apg,cfg_apg_momentum,control,heun64,3.0,-0.25,False,49.72000202509696,209.72506680200502,69.06343078613281,0.9169999957084656,0.8649417757987976,224.0,0.0,0.0,0.0,172.18622269295156,True
cfg_sde_native_00,,cfg_sde_native,native_sde,native,sde_tail64,0.75,0.0,False,52.985473697019586,221.7137474158128,50.591209411621094,0.7639999985694885,0.6535370945930481,128.0,0.0,0.0,0.0,106.19815078470856,True
full_root_control_00,,full_root_control,full_root,control,heun64,0.75,0.5,False,48.7122049502874,210.6466993702178,52.083438873291016,0.7839999794960022,0.6756296157836914,740.0,0.0,0.0,0.0,504.87970534013584,True
full_root_control_01,,full_root_control,full_root,control,heun64,0.75,1.0,False,48.67310470413406,210.68648497576487,51.94437026977539,0.7900000214576721,0.6776648759841919,740.0,0.0,0.0,0.0,503.5784247764386,True
fsg_operator_control_00,,fsg_operator_control,fsg_operator_control,control,heun64,0.75,0.0625,False,47.205387680226636,207.38675746593628,64.72412872314453,0.8949999809265137,0.8170406222343445,260.0,0.0,0.0,0.0,193.38873631460592,True
fsg_operator_control_01,,fsg_operator_control,fsg_operator_control,control,heun64,0.75,0.125,False,47.31149685059859,207.71398141631767,63.24087142944336,0.8809999823570251,0.7977200746536255,260.0,0.0,0.0,0.0,193.35779793281108,True
semantic_contract_control_00,,semantic_contract_control,semantic_contract,control,heun64,0.75,0.5,True,47.94719448985711,210.26525007150929,53.24263000488281,0.8040000200271606,0.6923033595085144,484.0,0.0,8.0,8.0,454.9890622496605,True
