time,future_time,metric,samples,samples_per_class,total_energy,class_constant_energy,state_varying_energy,class_constant_fraction,recomposition_error,unbiased_class_constant_energy,unbiased_state_varying_energy,unbiased_class_constant_fraction,unbiased_recomposition_error
0.05,0.08125,degree1_unique,12800,128,0.00031192176612217275,3.488087429927907e-05,0.0002770408918228937,0.11182571429022051,0.0,3.269944995421692e-05,0.00027922231616795583,0.10483221597754508,0.0
0.05,0.08125,degree2_defect,12800,128,0.013123428457534354,0.006027059224475334,0.00709636923305902,0.45925950249800085,0.0,0.005971182301380382,0.007152246156153972,0.4550017033050718,0.0
0.05,0.08125,degree2_common,12800,128,0.0004740556300929842,0.0001856938714193327,0.0002883617586736515,0.3917132497359214,0.0,0.00018342330639040631,0.00029063232370257796,0.38692359028502316,5.421010862427522e-20
0.05,0.08125,degree2_unique,12800,128,0.005241489099575616,0.00047552801962392165,0.0047659610799516946,0.09072384022746958,0.0,0.0004380007670258768,0.004803488332549739,0.08356418542611108,0.0
0.1,0.13125,raw_revision,12800,128,0.00214130462846004,0.00040481631867340733,0.0017364883097866332,0.1890512509490715,2.168404344971009e-19,0.00039114318237587476,0.0017501614460841658,0.182665827728198,4.336808689942018e-19
0.1,0.13125,degree1_defect,12800,128,0.0028052014123660907,0.000576143987918296,0.002229057424447795,0.2053841786113812,4.336808689942018e-19,0.0005585923546549275,0.0022466090577111636,0.19912736112013224,4.336808689942018e-19
0.1,0.13125,degree1_common,12800,128,0.0016943689703484044,0.00035040193182765906,0.0013439670385207456,0.20680379419106554,2.168404344971009e-19,0.00033981951420151144,0.0013545494561468933,0.20055815477524716,4.336808689942018e-19
0.1,0.13125,degree1_unique,12800,128,0.00044693565810709885,2.8712807776793817e-05,0.000418222850330305,0.06424371664234808,0.0,2.541971446710637e-05,0.0004215159436399925,0.05687555693087049,0.0
0.1,0.13125,degree2_defect,12800,128,0.008064986906945756,0.0021389438580200412,0.005926043048925715,0.26521355616559433,0.0,0.0020922821017292873,0.005972704805216469,0.25942783613540216,0.0
0.1,0.13125,degree2_common,12800,128,0.00028995381295864487,6.842384153207946e-05,0.00022152997142656537,0.23598186495253476,5.421010862427522e-20,6.66795110484057e-05,0.00022327430191023914,0.22996597412538933,2.710505431213761e-20
0.1,0.13125,degree2_unique,12800,128,0.0018513508166176679,0.00018859386972015476,0.0016627569468975131,0.10186825102370765,0.0,0.00017550129533513493,0.0016758495212825329,0.09479634748846125,0.0
0.2,0.23125,raw_revision,12800,128,0.001394307981034955,0.0001948387782277589,0.0011994692028071963,0.13973869538000896,0.0,0.00018539413883557622,0.0012089138421993789,0.132964984320009,0.0
0.2,0.23125,degree1_defect,12800,128,0.00258088249565653,0.00020021046046186,0.0023806720351946704,0.0775744191371758,4.336808689942018e-19,0.00018146501136583897,0.002399417484290691,0.07031122558707482,4.336808689942018e-19
0.2,0.23125,degree1_common,12800,128,0.0004442578418372018,3.553547746268428e-05,0.00040872236437451746,0.07998840789332932,5.421010862427522e-20,3.2317191129026664e-05,0.00041194065070817513,0.07274422212870986,0.0
0.2,0.23125,degree1_unique,12800,128,0.0009500501386927871,9.33922845291799e-05,0.0008566578541636073,0.09830247975931267,1.0842021724855044e-19,8.664694709482077e-05,0.0008634031915979664,0.09120249928497652,1.0842021724855044e-19
0.2,0.23125,degree2_defect,12800,128,0.002971002946873207,0.0004857180008194693,0.002485284946053738,0.1634862063434359,0.0,0.0004661488280158965,0.00250485411885731,0.15689948355873856,0.0
