sample_index,run_index,global_seed,class_slot,class_id,pred_xstart_cond_uncond_disagreement_rms_channel4__q1_centered_cusum_range,cfg_variance_raw_gap_tile4x4_concentration_guided3__q2_max_positive_jump,fixed_two_phase_predicted_clean_score_label_free_reference,learned_range_cond_minus_uncond_logstd_gap_tile4x4_concentration_guided3__q2_max_positive_jump,weak_conditional_cfg1_full_running_max_log_e_from_E0__full_maximum,weak_conditional_cfg1_tile4x4_uniform_mixture_running_max_log_e_from_E0__full_maximum,weak_unconditional_full_running_max_log_e_from_E0__full_maximum,weak_unconditional_tile4x4_uniform_mixture_running_max_log_e_from_E0__full_maximum,z_A_low_is_bad,z_B_high_is_bad,S_AND
64,8,18,0,207,1.529265891570629,0.0695297095644913,-0.2347014946368587,0.0694160874436443,0.2546436039718108,0.5270466647064457,0.4647783511301344,0.7968867587268961,-1.0830534545238406,-1.4719635042036499,-1.4719635042036499
69,8,18,5,602,2.50860753830186,0.0703331204736731,0.9531757885271438,0.0703985711570339,0.1089422551688059,0.297657837675501,0.1218241453518948,0.0696459715382662,0.6978602094376422,-0.7205822081650894,-0.7205822081650894
70,8,18,6,795,3.5871598159030973,0.0333556228316966,-0.6450817145552742,0.0334285196641763,0.1537642393032387,0.1801056789314552,0.1502240682175279,0.1453729138066401,0.6997924323119947,0.28481694211310354,0.28481694211310354
72,9,19,0,207,2.428644775164632,0.0534761963795694,-1.1392163411984515,0.053486357138994,0.1279751374829231,0.9238671545011412,0.1783979719188356,1.2473503791913298,-0.30935417495278716,-0.34227378689637145,-0.34227378689637145
77,9,19,5,602,2.760741138137908,0.0875396929972215,0.4261952261323681,0.0875326666731894,0.0,1.4614132404343547,0.0134919229638493,1.932328000131735,0.1403138479978645,-0.3142482888359578,-0.3142482888359578
78,9,19,6,795,2.587481891666183,0.0757362301239775,-0.5082788915532016,0.0757726704779134,0.7145268997632158,0.0791026081727333,0.7835538996980006,0.0811730602888863,-1.157211506673242,-0.6937744332608752,-1.157211506673242
80,10,20,0,207,2.168348706864624,0.042394295908078,-0.4019473243305541,0.0422308378633082,1.802153395036687,0.2392593291324032,1.494906515925157,0.6797978532848341,0.23732094058598655,-0.6692258614647281,-0.6692258614647281
85,10,20,5,602,2.7106913219718347,0.1161530694803223,0.0765219797042049,0.1161305878956862,0.507094739412418,0.0396740694029631,0.6433194011950104,0.0466290033859433,-0.7902673377618674,-0.394907661397518,-0.7902673377618674
86,10,20,6,795,3.0821741189092653,0.0433882577153738,-0.3064931979542409,0.0434112402027944,0.0,2.130534726934132,0.0522544278232967,0.1232512099849207,0.26199993899816876,-0.20951691860768853,-0.20951691860768853
88,11,21,0,207,4.419422830899823,0.0821141395976651,-0.4651266140370446,0.0821308493657741,0.1758061225744116,0.8230884405373983,0.150350797689412,0.9912359698590282,-1.7006032780884928,2.1582980410944734,-1.7006032780884928
93,11,21,5,602,3.0010681092635787,0.0753065816716961,0.8659134007727469,0.0753013298399379,0.7600766554521305,0.0661075172448809,0.9862711177693712,0.0940331686812374,0.538323613993021,0.07305828260669173,0.07305828260669173
94,11,21,6,795,5.710445667589764,0.071788015982523,-0.9097567708398092,0.0718074033669045,0.4335964154574798,0.2456337683331618,0.0,0.2826020982718502,-0.9833146046746003,2.363315598067958,-0.9833146046746003
96,12,22,0,207,3.244514995144068,0.0306597965378885,0.6062837896036584,0.0306557249820586,0.3453059247560796,0.1218512030582834,0.1778189213779773,0.1798839719139377,0.7995185626362513,0.6825225642085994,0.6825225642085994
101,12,22,5,602,3.3456618680204357,0.0382868976358,0.9595375482908644,0.0383135662267939,0.0,0.3500143298180369,0.0,0.4325308799035754,1.7419116878927186,0.6283993107881011,0.6283993107881011
102,12,22,6,795,7.018923092088653,0.0207223299697791,1.3522359895469231,0.0209103358289721,0.0310596767780078,3.0626111335849915,0.0,3.0511998568328647,1.2487777406529534,3.6441928600757074,1.2487777406529534
104,13,23,0,207,1.695452537379781,0.1122541361735482,-0.0212391406977737,0.112294212559028,0.1718919840122587,0.4490990252762165,0.111188054042567,0.4493489906764258,-3.1656232078513833,-1.2632201721674765,-3.1656232078513833
109,13,23,5,602,2.57339651256873,0.0756002752713252,-0.1433078828702546,0.0755768434837095,3.297389223807912,1.577356710331964,1.2946984205073122,0.5688658781122666,0.5293583535001616,-0.6161694767390115,-0.6161694767390115
110,13,23,6,795,5.997579000394809,0.0487594113308277,-0.0501454932140073,0.0487508836095608,3.417843565989995,0.2911613375364292,3.4371042481837826,0.3812502477075521,0.02782972543646645,2.6443923291360054,0.02782972543646645
112,14,24,0,207,2.5356001635856025,0.0302174646559774,-0.4051971234820453,0.030224394457157,0.6944534391169996,0.5541454936495231,0.8634626272433787,0.9760606103111286,0.8204680771597929,-0.20792951362753198,-0.20792951362753198
117,14,24,5,602,2.3107153792001496,0.0994153306474107,0.4274058086593438,0.0994059835879149,0.3271373818022967,0.4991456978273445,0.3947763884883356,0.5047773448266158,-0.24604588939152588,-1.0395016090882092,-1.0395016090882092
118,14,24,6,795,2.2898531983448702,0.0489526517053875,0.2683872922334627,0.0488758148036319,1.844210730217405,0.5447992710818848,2.7144773025303404,0.501488452839701,0.02235086436513047,-0.9851251426109783,-0.9851251426109783
120,15,25,0,207,3.04158775828532,0.0644733786240184,-0.1721565011291229,0.0643543338042066,2.611607111783607,0.7047563735514748,2.6603310763389323,0.8727908628557453,-0.8372065337472947,0.42763019679518816,-0.8372065337472947
125,15,25,5,602,3.118083988008498,0.0816735703682428,0.9635468368387246,0.0817010269533704,0.384095601685043,0.1973183826655025,0.4121686118995975,0.3168801615986243,0.33007638923892724,0.2616389424833748,0.2616389424833748
126,15,25,6,795,2.8464310676544127,0.0655805596668624,-0.0823104471057831,0.0655413098701272,0.3314447727926306,0.2605373118273832,0.375449868821912,0.1809956810353072,-0.7085148960501385,-0.44028736093634374,-0.7085148960501385
