seed,ambient_dim,hidden_dim,time,condition,paired_velocity_mse,bayes_velocity_mse,irreducible_velocity_mse,gate_mean,gate_std,x_amplification_mean,epsilon_amplification_mean
20260831,2,128,0.5,D4_eps_own,1.942082166671753,0.0046002343297004,1.9374258518218996,,,,
20260831,2,128,0.5,D4_gate_on_D0,1.938514232635498,0.0013089457061141,1.9374258518218996,0.6844429969787598,0.0604859702289104,1.3688859939575195,0.6311140060424805
20260831,2,128,0.7,D1_x_own,1.5546083450317385,0.0089883180335164,1.5407081842422483,,,,
20260831,2,128,0.7,D1_eps_own,1.54645037651062,0.0048736613243818,1.5407081842422483,,,,
20260831,2,128,0.7,D1_gate_on_D0,1.5456435680389404,0.0040312819182872,1.5407081842422483,0.2287797927856445,0.0738569721579551,0.7625992894172668,1.101743221282959
20260831,2,128,0.7,D2_x_own,1.5641295909881592,0.0167339891195297,1.5407081842422483,,,,
20260831,2,128,0.7,D2_eps_own,1.552698850631714,0.010280012153089,1.5407081842422483,,,,
20260831,2,128,0.7,D2_gate_on_D0,1.5471690893173218,0.0045191310346126,1.5407081842422483,0.2109459042549133,0.1313050985336303,0.7031530141830444,1.1272201538085938
20260831,2,128,0.7,D4_x_own,1.5516115427017212,0.0077204587869346,1.5407081842422483,,,,
20260831,2,128,0.7,D4_eps_own,1.5474810600280762,0.0051752794533967,1.5407081842422483,,,,
20260831,2,128,0.7,D4_gate_on_D0,1.546156883239746,0.0039532822556793,1.5407081842422483,0.2943776249885559,0.0460376292467117,0.9812586903572084,1.008031964302063
20260831,2,128,0.9,D1_x_own,0.789838433265686,0.1318051517009735,0.6525723338127136,,,,
20260831,2,128,0.9,D1_eps_own,0.6796585321426392,0.025982990860939,0.6525723338127136,,,,
20260831,2,128,0.9,D1_gate_on_D0,0.6813551187515259,0.0251780897378921,0.6525723338127136,0.0152027532458305,0.0173892267048358,0.1520275473594665,1.094219207763672
20260831,2,128,0.9,D2_x_own,0.9112465977668762,0.2386480271816253,0.6525723338127136,,,,
20260831,2,128,0.9,D2_eps_own,0.7062143087387085,0.0500112697482109,0.6525723338127136,,,,
20260831,2,128,0.9,D2_gate_on_D0,0.6813061237335205,0.0252954866737127,0.6525723338127136,0.0003650522849056,0.001618054928258,0.0036505227908492,1.1107056140899658
20260831,2,128,0.9,D4_x_own,0.8014668226242065,0.1440948247909546,0.6525723338127136,,,,
20260831,2,128,0.9,D4_eps_own,0.6784000396728516,0.0227388553321361,0.6525723338127136,,,,
20260831,2,128,0.9,D4_gate_on_D0,0.6805500388145447,0.0249364785850048,0.6525723338127136,0.0399918928742408,0.0295720249414443,0.3999189436435699,1.0666756629943848
20260831,2,128,0.97,D1_x_own,2.4631507396698,1.631877899169922,0.8278717994689941,,,,
