index,noise_time,correction_active,future_time,current_gap_rms,future_gap_rms,pullback_rms,pullback_gain,pullback_raw_cosine,pullback_current_cosine,future_current_cosine,pullback_fallback,future_fallback,selected_direction_rms,selected_current_cosine,selected_current_norm_ratio,zero_current_gap
11,0.9847856163978577,True,0.9535356163978577,0.13336521428078413,0.20021516494452954,0.3426722029298544,1.6895562955141068,0.8130875887572765,0.4312091783593642,0.4670274637490511,0.0,0.0,0.13336521399021148,0.43120917840499895,1.0000000047683715,0.0
12,0.9832402467727661,True,0.9519902467727661,0.14279456602036952,0.2026397523880005,0.3374861207455397,1.6456287479400635,0.8233020353019238,0.46564583015278915,0.4969852642863989,0.0,0.0,0.142794566296041,0.46564582929597237,1.0000000085234642,0.0
13,0.9816642999649048,True,0.9504142999649048,0.15192850015312434,0.2048819782435894,0.3315176437944174,1.6021300110816956,0.8327543923854828,0.4980897688565601,0.5252221959382296,0.0,0.0,0.15192850001901387,0.4980897718140623,1.0000000048875808,0.0
14,0.9800570011138916,True,0.9488070011138916,0.16076289856433867,0.2070875148922205,0.3263972739428282,1.5639939068555833,0.8416241005659103,0.5278271017707884,0.553729817867279,0.0,0.0,0.1607628984823823,0.5278271011635661,1.00000000500679,0.0
15,0.9784172773361206,True,0.9471672773361206,0.16878786645829677,0.20920542109012605,0.3216931971460581,1.527112956404686,0.8513830841183663,0.556522820815444,0.5809422856569291,0.0,0.0,0.16878786662220954,0.5565228204280138,1.0000000071525574,0.0
16,0.9767442345619202,True,0.9454942345619202,0.17653022288531064,0.21106601770222186,0.31485279722511766,1.4827265315055846,0.8621623460650444,0.5860100913047791,0.6082992606163025,0.0,0.0,0.1765302229821682,0.5860100970268249,1.000000006377697,0.0
17,0.9750366806983948,True,0.9437866806983948,0.18348644313961268,0.21278507770597935,0.3082827644944191,1.4418512626886368,0.872929938852787,0.6122478397637605,0.6333591812252999,0.0,0.0,0.1834864429086447,0.6122478413134813,1.0000000053048135,0.0
18,0.9732937812805176,True,0.9420437812805176,0.1898025614991784,0.2144382722824812,0.30359852440655233,1.4098226412534713,0.8823745455145836,0.6362447178810835,0.6575227149426938,0.0,0.0,0.18980256156623362,0.6362447170466184,1.0000000070929527,0.0
19,0.9715142250061035,True,0.9402642250061035,0.19550114519149064,0.21593632888793945,0.29785724034905436,1.3749345769882202,0.8916140203475952,0.6584452925622464,0.680035264045,0.0,0.0,0.19550114527344703,0.6584452913403511,1.0000000067949295,0.0
20,0.9696969985961914,False,,0.20048910779505968,,,,,,,,,0.20048910779505968,0.999999981701374,1.0,0.0
21,0.9678407311439514,False,,0.20381009204685688,,,,,,,,,0.20381009204685688,0.9999999808073043,1.0,0.0
22,0.9659442901611328,False,,0.2064177484959364,,,,,,,,,0.2064177484959364,0.9999999823570251,1.0,0.0
23,0.964006245136261,False,,0.20855207772552967,,,,,,,,,0.20855207772552967,0.9999999808073043,1.0,0.0
24,0.9620253443717957,False,,0.21038816005736588,,,,,,,,,0.21038816005736588,0.999999981880188,1.0,0.0
