time,metric,strong_mean,weak_mean,weak_minus_strong,weak_over_strong,paired_ci95_low,paired_ci95_high
0.2,high_fraction,0.009973457226709065,0.0086134371002844,-0.0013600201264246659,0.863636039588909,-0.0032282882541837896,8.968029443319676e-05
0.2,spectral_centroid_cpp,0.011587214976240509,0.011097852552860287,-0.0004893624233802221,0.9577670368260488,-0.001317422187502016,0.00013473164475936113
0.2,high_to_low_ratio,0.010858280381308753,0.009026244696865835,-0.0018320356844429195,0.8312775485521122,-0.004325836885762686,6.132153896656684e-05
0.2,rms_contrast,0.2674203009228222,0.2505572300287895,-0.016863070894032717,0.9369416950177637,-0.023093360698840115,-0.01095375250442885
0.2,gradient_rms,0.029530950167099945,0.02788888796203537,-0.0016420622050645761,0.9443952126236027,-0.0024536589418858055,-0.0008720064741282846
0.2,laplacian_rms,0.09244306560140103,0.08691250035190023,-0.005530565249500796,0.9401732816461575,-0.00747234589762229,-0.0035985843536764156
0.4,low_fraction,0.9817183270685133,0.9855618681474523,0.0038435410789390894,1.0039151159481927,0.0024815053870565376,0.005207072283490784
0.4,mid_fraction,0.004980525357509081,0.0029564818238051902,-0.0020240435337038902,0.5936084271406703,-0.002714190768584471,-0.0014105581865364817
0.4,high_fraction,0.013301147573974176,0.011481650028739597,-0.0018194975452345786,0.8632074762635731,-0.0028681718711622887,-0.0008553262070239383
0.4,spectral_centroid_cpp,0.01715223077648228,0.014926799000563706,-0.0022254317759185763,0.8702540908573886,-0.002805438677135251,-0.0016599093335903105
0.4,high_to_low_ratio,0.014598373023596449,0.012526531010275906,-0.002071842013320543,0.858077197371812,-0.0032190503502396326,-0.0009440102224711153
0.4,rms_contrast,0.33472408214583993,0.3108100965619087,-0.023913985583931208,0.9285561247023995,-0.028596565472253133,-0.019420636152790403
0.4,gradient_rms,0.04814650047046598,0.038075940901762806,-0.010070559568703175,0.790835066509545,-0.011761413566637203,-0.008387809623309296
0.4,laplacian_rms,0.13187998371722642,0.10588855952664744,-0.025991424190578982,0.8029160797721274,-0.030479929281864316,-0.021838720417144943
0.6,low_fraction,0.9550556983671602,0.9684830781942166,0.013427379827056473,1.0140592636115495,0.010669669977657429,0.016346309233642175
0.6,mid_fraction,0.02021841349983102,0.012497716895623831,-0.007720696604207189,0.6181353890960971,-0.009338582157730514,-0.0062872214220723675
0.6,high_fraction,0.024725888133002374,0.019019204910153683,-0.0057066832228486915,0.7692020932816641,-0.007466395765232438,-0.0041356000854122586
0.6,spectral_centroid_cpp,0.027875942832721087,0.02342167926259065,-0.004454263570130435,0.8402111958379405,-0.005378524711437098,-0.0035859562697722882
0.6,high_to_low_ratio,0.02773557002500622,0.021100851088520122,-0.006634718936486103,0.7607866385834409,-0.008649885327388918,-0.004664810410717486
0.6,rms_contrast,0.38730216649128124,0.38287795236101374,-0.004424214130267501,0.9885768412545993,-0.007732303944067098,-0.0013256293692393254
0.6,gradient_rms,0.08015598318888806,0.06836010421102401,-0.01179587897786405,0.8528384468809148,-0.013970374785276362,-0.009694303517608208
0.6,laplacian_rms,0.20011756240273826,0.1749579994357191,-0.025159562967019156,0.8742760871912615,-0.031111663053161466,-0.01915051289324765
0.8,low_fraction,0.9298897707224449,0.9390224309874754,0.009132660265030387,1.0098212288731117,0.007681430661786382,0.010697070674164576
0.8,mid_fraction,0.0408945174037961,0.03445400409737959,-0.0064405133064165156,0.8425091255431062,-0.007626211924265211,-0.005251958661549587
0.8,high_fraction,0.02921571187375157,0.026523564915137215,-0.0026921469586143523,0.9078527687345838,-0.0036753763740113047,-0.0017825413729155015
0.8,spectral_centroid_cpp,0.035695290815349015,0.033443290746385065,-0.0022520000689639492,0.9369104434359844,-0.002662823359833493,-0.0018345202146690424
0.8,high_to_low_ratio,0.03353698982999331,0.03006627613284695,-0.0034707136971463648,0.8965108760583402,-0.0047408743988531996,-0.0023499345206754716
