noisy_state,conditional_mean,null_mean,linear_guidance,probability_guidance
-1.729999999999999982e+00,-9.940905330021118091e-01,-9.980262898089581336e-01,-9.891708369935541256e-01,-9.768696058912286206e-01
-1.725000000000000089e+00,-9.939715136877032009e-01,-9.979864583598287986e-01,-9.889528328475463148e-01,-9.764078528266941781e-01
-1.719999999999999973e+00,-9.938501046637568948e-01,-9.979458238985770002e-01,-9.887304556202316519e-01,-9.759369939696452834e-01
-1.714999999999999858e+00,-9.937262582496282359e-01,-9.979043702699659235e-01,-9.885036182242061820e-01,-9.754568542752799498e-01
-1.709999999999999964e+00,-9.935999258255584499e-01,-9.978620809951159742e-01,-9.882722318636116832e-01,-9.749672555160003862e-01
-1.705000000000000071e+00,-9.934710578146751514e-01,-9.978189392650779199e-01,-9.880362060016714132e-01,-9.744680162309264926e-01
-1.699999999999999956e+00,-9.933396036646704452e-01,-9.977749279342794653e-01,-9.877954483276591979e-01,-9.739589516749221909e-01
-1.695000000000000062e+00,-9.932055118291478468e-01,-9.977300295138439301e-01,-9.875498647232776595e-01,-9.734398737671318136e-01
-1.689999999999999947e+00,-9.930687297486353593e-01,-9.976842261647806964e-01,-9.872993592284537989e-01,-9.729105910390494216e-01
-1.685000000000000053e+00,-9.929292038312584889e-01,-9.976374996910416515e-01,-9.870438340065292859e-01,-9.723709085821229392e-01
-1.679999999999999938e+00,-9.927868794330694246e-01,-9.975898315324420729e-01,-9.867831893088534478e-01,-9.718206279949093140e-01
-1.675000000000000044e+00,-9.926417008380247209e-01,-9.975412027574451779e-01,-9.865173234387489831e-01,-9.712595473297942483e-01
-1.669999999999999929e+00,-9.924936112376097075e-01,-9.974915940558062299e-01,-9.862461327148639434e-01,-9.706874610392876024e-01
-1.665000000000000036e+00,-9.923425527101004118e-01,-9.974409857310740923e-01,-9.859695114338833388e-01,-9.701041599219111244e-01
-1.659999999999999920e+00,-9.921884661994619936e-01,-9.973893576929463434e-01,-9.856873518326065842e-01,-9.695094310676971583e-01
-1.655000000000000027e+00,-9.920312914938756998e-01,-9.973366894494790635e-01,-9.853995440493714675e-01,-9.689030578033107632e-01
-1.649999999999999911e+00,-9.918709672038886760e-01,-9.972829600991421906e-01,-9.851059760848217550e-01,-9.682848196368187832e-01
-1.645000000000000018e+00,-9.917074307401833044e-01,-9.972281483227239951e-01,-9.848065337620075521e-01,-9.676544922021200756e-01
-1.640000000000000124e+00,-9.915406182909598520e-01,-9.971722323750786821e-01,-9.845011006858115366e-01,-9.670118472030642121e-01
-1.635000000000000009e+00,-9.913704647989262098e-01,-9.971151900767150078e-01,-9.841895582016899624e-01,-9.663566523572767464e-01
-1.629999999999999893e+00,-9.911969039378912827e-01,-9.970569988052209176e-01,-9.838717853537293223e-01,-9.656886713397141442e-01
-1.625000000000000000e+00,-9.910198680889541478e-01,-9.969976354865259793e-01,-9.835476588419895805e-01,-9.650076637259783485e-01
-1.620000000000000107e+00,-9.908392883162852049e-01,-9.969370765859933980e-01,-9.832170529791499636e-01,-9.643133849354126319e-01
-1.614999999999999991e+00,-9.906550943424957678e-01,-9.968752980993420554e-01,-9.828798396464379916e-01,-9.636055861740087103e-01
-1.609999999999999876e+00,-9.904672145235847713e-01,-9.968122755433939108e-01,-9.825358882488233192e-01,-9.628840143771564275e-01
-1.604999999999999982e+00,-9.902755758234649264e-01,-9.967479839466444336e-01,-9.821850656694903758e-01,-9.621484121522647648e-01
-1.600000000000000089e+00,-9.900801037880565536e-01,-9.966823978396510686e-01,-9.818272362235636042e-01,-9.613985177212899247e-01
-1.594999999999999973e+00,-9.898807225189480974e-01,-9.966154912452405146e-01,-9.814622616110824094e-01,-9.606340648632025747e-01
-1.589999999999999858e+00,-9.896773546466145488e-01,-9.965472376685255984e-01,-9.810900008692255980e-01,-9.598547828564338857e-01
-1.584999999999999964e+00,-9.894699213031905582e-01,-9.964776100867343001e-01,-9.807103103237606589e-01,-9.590603964213373356e-01
-1.580000000000000071e+00,-9.892583420947943518e-01,-9.964065809388431560e-01,-9.803230435397332077e-01,-9.582506256627068009e-01
-1.574999999999999956e+00,-9.890425350733931253e-01,-9.963341221150143756e-01,-9.799280512713666180e-01,-9.574251860123945690e-01
-1.570000000000000062e+00,-9.888224167082080296e-01,-9.962602049458318954e-01,-9.795251814111782807e-01,-9.565837881720730129e-01
-1.564999999999999947e+00,-9.885979018566518617e-01,-9.961848001913323758e-01,-9.791142789383009415e-01,-9.557261380561882236e-01
-1.560000000000000053e+00,-9.883689037347975770e-01,-9.961078780298288082e-01,-9.786951858660086767e-01,-9.548519367351514520e-01
-1.554999999999999938e+00,-9.881353338873659631e-01,-9.960294080465228461e-01,-9.782677411884197483e-01,-9.539608803788248714e-01
-1.550000000000000044e+00,-9.878971021572358069e-01,-9.959493592219001989e-01,-9.778317808264054278e-01,-9.530526602003502878e-01
-1.544999999999999929e+00,-9.876541166544646755e-01,-9.958676999199090885e-01,-9.773871375726590482e-01,-9.521269624003794174e-01
-1.540000000000000036e+00,-9.874062837248201996e-01,-9.957843978759134407e-01,-9.769336410359537037e-01,-9.511834681117663504e-01
