condition,extrapolation_space,fid,fid_peak_memory_mib,gamma,global_seed,inception_score,label_fingerprint,mode,noise_fingerprint,num_samples,sample_sha256,sampling_peak_memory_mib,sfid,source_step,total_nfe,weights
final,hidden,86.90568466664968,6450,0.0,0,29.24993324279785,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,final,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,9d1caa72fe8ad1776c978131ea42d44ecaf839ce1da4cdb1374bb2febcd44a3c,1824,220.1693048254058,800000,6714,ema
hidden_gamma_1,hidden,285.0116500902898,6450,1.0,0,2.600083112716675,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,extrapolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,40e1ef4bece7110719ffabeb416ee9e255475707e45bf3a93667900c5682c70b,1824,292.4202337623477,800000,5514,ema
hidden_gamma_1p5,hidden,315.2926422219663,6450,1.5,0,2.1515843868255615,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,extrapolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,0de49843c1fca3a1d2a9b182f743516783edce07378e0fc20963112642c15cbb,1824,316.45005295198985,800000,5586,ema
hidden_gamma_2,hidden,333.84045490527546,6450,2.0,0,1.9852261543273926,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,extrapolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,c31480b4c83ebd020f1a9f77df90a19d0c3e568d769d2efab6a6400631a2d541,1824,331.54243029218685,800000,5622,ema
hidden_gamma_3,hidden,355.4866907192768,6450,3.0,0,1.8414703607559204,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,extrapolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,0e9770dcdd1e1e2d29c4eaf13c3d87ef7909bd454c9f9a3165e27f72f77c0d44,1824,348.0497760569949,800000,5658,ema
output_gamma_0p001,output,86.9447120209748,6450,0.001,0,29.24359893798828,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,extrapolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,25ff12824b7f550e29b2961aae0400936cab9dd5a48914acea919c2fb93d0185,1824,220.72326193069398,800000,6702,ema
output_gamma_0p003,output,87.04710236599351,6450,0.003,0,29.215553283691406,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,extrapolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,7faeca59ddc4194748685b33629745e5c40cac99fab69ec11c14987708d07747,1824,221.83213309102416,800000,6750,ema
output_gamma_0p005,output,87.05617103364443,6450,0.005,0,29.09299659729004,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,extrapolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,9536d5bade822d03c7f3fc46641f32329f351ac04a79f99fb792d5a2b8105fb3,1824,222.96317545006104,800000,6690,ema
output_gamma_0p01,output,87.8445027355051,6450,0.01,0,28.823301315307617,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,extrapolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,22193c8291e1ac94089752169b6c1e26d568b7ba2c0d1cc2d3f5a67c9a0e7b83,1824,226.03127267954892,800000,6696,ema
output_gamma_0p02,output,90.81380369692965,6450,0.02,0,26.70414161682129,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,extrapolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,8a892f04322905d3908312979a68ba0db8a4598f235e76f71a153a22d89c6392,1824,232.86724054700517,800000,6480,ema
output_gamma_0p03,output,96.5929788618335,6450,0.03,0,23.328556060791016,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,extrapolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,bd1e59dcf0057a1943f11f2ffb03c150ddaac53fbba53a59022ec9deb6734b5c,1824,240.5360275259684,800000,6312,ema
output_gamma_0p1,output,211.8760161581095,6450,0.1,0,6.870859622955322,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,extrapolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,c588268dfd89aed5ad9d371d8abd5c92d4b17100b5c1f3fc34312b1792ab1fea,1824,257.49808615061806,800000,5940,ema
output_gamma_0p2,output,316.2673520392679,6450,0.2,0,2.5933446884155273,fd39c75ded5fc162a1adfc6ac7aef5a7b80ca410a434ce7f58c2b1c2bf921f50;a3d74a12abb191d99482826df514d21de2882639cc71d69fccc276dae0f70be2,extrapolation,4576b82857330cbb96a4880acd969027d0ca2b38e4ea802ba298109199a04c92;10657deb9bc103e87446edcd8cadaaf31da29e24d5c5c124d990b57f7f9b0cde,1000,d42eb72318ef98d393251d48ee2199dd1aad8a6bfba8c3ccd0e4a003b6bbcd51,1824,301.1122801052607,800000,6276,ema
