scale,solver_index_in_ig_interval,time,delta_t,paired_nmse,paired_nrmse
0.85,68,0.790123462677002,0.007789071932079228,0.2202545981965442,0.46931290009602783
0.85,69,0.7823343873023987,0.008140836470947432,0.21494276829693795,0.463619206134666
0.85,70,0.774193525314331,0.008516980730331025,0.2096936535689418,0.45792319614640814
0.85,71,0.7656765580177307,0.008919810900008929,0.20453010727309678,0.45225004950038067
0.85,72,0.7567567825317383,0.009351912466099344,0.19941813491236715,0.4465625767038335
0.85,73,0.7474048733711243,0.009816191808387997,0.19435496045662334,0.44085707486284414
0.85,74,0.73758864402771,0.010315925209542165,0.1893388949581121,0.43513089405156247
0.85,75,0.7272727489471436,0.01085481682496603,0.18436580752618434,0.4293783966691668
0.85,76,0.7164179086685181,0.011437067535883916,0.17942929190773682,0.423590948802895
0.85,77,0.7049808502197266,0.012067457085105704,0.17453148760648998,0.4177696585518029
0.85,78,0.6929134130477905,0.012751442506933497,0.16965971979172678,0.4118977054946128
0.85,79,0.6801619529724121,0.013495276653171517,0.16478549329597755,0.40593779486021936
0.85,80,0.6666666865348816,0.014306151645207432,0.15991368490894683,0.3998920915808999
0.85,81,0.6523604989051819,0.015192373428538852,0.15502149822998842,0.3937276955333323
0.85,82,0.6371681690216064,0.016163575382874718,0.1501048222592609,0.3874336359420293
0.85,83,0.621004581451416,0.017230981304385273,0.14514555014880764,0.38097972406521535
0.85,84,0.6037735939025879,0.018407731247123693,0.14013116186811103,0.3743409700635385
0.85,85,0.5853658318519592,0.019709288001970915,0.13502144334067517,0.3674526409493816
0.85,86,0.5656565427780151,0.021153947855518607,0.12980110892413962,0.36027920967513466
0.85,87,0.5445026159286499,0.022763487366264545,0.12443263032233877,0.35275009613370595
0.85,88,0.52173912525177,0.02456398919184477,0.11886487243372541,0.34476785295866175
0.85,89,0.4971751272678375,0.026586905948820183,0.11304261717893303,0.33621810953447023
0.85,90,0.47058823704719543,0.028870443883074692,0.10690085453942531,0.3269569612952526
0.85,91,0.44171780347824097,0.031461381154632706,0.10032183424726386,0.31673622187439165
0.85,92,0.41025641560554504,0.034417484081913585,0.09318594300165978,0.305263726966798
0.85,93,0.3758389353752136,0.037810757160412156,0.08530911255274208,0.29207723730674745
0.85,94,0.3380281627178192,0.04173187271778822,0.07645736613694754,0.2765092514491107
0.85,95,0.29629629850387573,0.04629629629629628,0.0663104396665457,0.25750813514634
0.85,96,0.25,0.051652892561983466,0.05449632502316191,0.23344447953027697
0.85,97,0.19834710657596588,0.057996230245034086,0.040732040597566514,0.20182180406875397
0.85,98,0.14035087823867798,0.06558452205279554,0.025511608988896813,0.15972353924483645
0.92,0,1.0,0.0012610340479192184,0.8120022824084914,0.9011116925267874
0.92,1,0.9987389445304871,0.0012834952141672629,0.8077175542190681,0.8987310800339933
0.92,2,0.9974554777145386,0.0013065618804039003,0.8032844808243297,0.8962613909035297
0.92,3,0.9961488842964172,0.0013302560077687042,0.7977276136631521,0.893155985068203
0.92,4,0.9948186278343201,0.0013546005621591917,0.7896303041736331,0.8886114472443134
0.92,5,0.9934640526771545,0.001379619569903734,0.7793017787579186,0.8827807081931042
0.92,6,0.9920844435691833,0.0014053381770655626,0.7669803983445704,0.8757741708594576
0.92,7,0.9906790852546692,0.0014317827126554272,0.7528423809188416,0.8676649012832325
0.92,8,0.9892473220825195,0.0014589807560437817,0.7386153559875648,0.8594273418896823
0.92,9,0.9877883195877075,0.0014869612088994622,0.7249497966835564,0.8514398373834504
0.92,10,0.9863013625144958,0.00151575437200413,0.711615656685703,0.8435731483906438
0.92,11,0.9847856163978577,0.001545392027322512,0.6975042092206004,0.8351671744151589
0.92,12,0.9832402467727661,0.0015759075257463229,0.6827836608680675,0.8263072436255582
0.92,13,0.9816642999649048,0.0016073358809607363,0.6689478803372507,0.8178923403096833
0.92,14,0.9800570011138916,0.001639713869929782,0.6556407472548211,0.809716461024982
0.92,15,0.9784172773361206,0.0016730801405386853,0.6422938219699689,0.8014323564531001
0.92,16,0.9767441749572754,0.0017074753269814558,0.6288776832863535,0.7930180850941254
0.92,17,0.9750367403030396,0.0017429421735359885,0.6156004397422017,0.7846020900699932
0.92,18,0.9732937812805176,0.0017795256674334459,0.6026799330894927,0.7763246312526048
0.92,19,0.9715142250061035,0.0018172731815909726,0.5899228074231408,0.7680643250556173
0.92,20,0.9696969985961914,0.001856234628056952,0.5767871785559788,0.7594650607868534
0.92,21,0.9678407311439514,0.0018964626230922876,0.5640775846770638,0.751050986735963
0.92,22,0.9659442901611328,0.0019380126649128915,0.5516481284220415,0.7427301854792503
0.92,23,0.964006245136261,0.0019809433252113706,0.5397827510892427,0.7346990888038739
0.92,24,0.9620253443717957,0.0020253164556962577,0.5288746795417817,0.7272377049780778
0.92,25,0.9599999785423279,0.002071197411003145,0.5186996358514183,0.7202080503933695
0.92,26,0.9579287767410278,0.0021186552894877364,0.5091317517419225,0.7135346885344275
0.92,27,0.9558101296424866,0.002167763193548833,0.49968769152021864,0.7068859112475072
0.92,28,0.9536423683166504,0.0022185985113204465,0.49014053039293587,0.7001003716560475
0.92,29,0.9514237642288208,0.0022712432217584233,0.4808919634406138,0.6934637434218273
0.92,30,0.9491525292396545,0.0023257842253685546,0.47203055497543905,0.6870447983759422
0.92,31,0.9468267560005188,0.002382313703068406,0.4634701263062794,0.6807864028506146
0.92,32,0.9444444179534912,0.002440929505955869,0.4551557225868209,0.6746522975480191
0.92,33,0.9420034885406494,0.002501735579057973,0.4470517567204148,0.6686192913163774
0.92,34,0.9395017623901367,0.0025648424224935518,0.43915667024526744,0.6626889694609889
