weak,t,id,split,fit_type,delta,tau,squared_residual,squared_gap
depth6,0.15,708,fit,finite_nonnegative,0.001,0.03211111111111112,9.207629205382082e-06,9.177444545461867e-06
depth6,0.15,1505,fit,finite_nonnegative,0.001,0.03211111111111112,6.319176176801459e-05,6.383023127249317e-05
depth6,0.15,2304,fit,finite_nonnegative,0.001,0.03211111111111112,1.596451901177326e-05,1.5821942867893038e-05
depth6,0.15,307,fit,finite_nonnegative,0.001,0.03211111111111112,1.2539159321004435e-05,1.243592437775732e-05
depth6,0.15,4093,fit,finite_nonnegative,0.001,0.03211111111111112,1.19270082094944e-05,1.1746172999271554e-05
depth6,0.15,769,fit,finite_nonnegative,0.001,0.03211111111111112,2.3026157808770615e-05,2.3313809909910458e-05
depth6,0.15,3769,fit,finite_nonnegative,0.001,0.03211111111111112,1.0678996025090954e-05,1.0691619203359864e-05
depth6,0.15,1780,fit,finite_nonnegative,0.001,0.03211111111111112,2.5339650123697202e-05,2.5296236365774836e-05
depth6,0.15,2797,test,finite_nonnegative,0.001,0.03211111111111112,1.892301533594494e-05,1.8767383751234378e-05
depth6,0.15,2744,test,finite_nonnegative,0.001,0.03211111111111112,1.7501292688835625e-05,1.7600675850337755e-05
depth6,0.15,2114,test,finite_nonnegative,0.001,0.03211111111111112,1.043917528277913e-05,1.0213275730859249e-05
depth6,0.15,843,test,finite_nonnegative,0.001,0.03211111111111112,1.6956491932450844e-05,1.712447956761374e-05
depth6,0.15,3732,test,finite_nonnegative,0.001,0.03211111111111112,2.1164033620908272e-05,2.1060958008471135e-05
depth6,0.15,3823,test,finite_nonnegative,0.001,0.03211111111111112,2.1681494953375345e-05,2.149332308314243e-05
depth6,0.15,2922,test,finite_nonnegative,0.001,0.03211111111111112,1.3099410128911943e-05,1.2769713639561402e-05
depth6,0.15,1517,test,finite_nonnegative,0.001,0.03211111111111112,1.514576806790657e-05,1.5500897123399925e-05
depth6,0.15,1686,test,finite_nonnegative,0.001,0.03211111111111112,1.0779605066638047e-05,1.0642164032856362e-05
depth6,0.15,4998,test,finite_nonnegative,0.001,0.03211111111111112,1.3421467739202336e-05,1.3681225521937615e-05
depth6,0.15,151,test,finite_nonnegative,0.001,0.03211111111111112,8.559133042614405e-06,8.395385001129164e-06
depth6,0.15,3630,test,finite_nonnegative,0.001,0.03211111111111112,2.0522522188354553e-05,1.9998515166620254e-05
depth6,0.15,1841,test,finite_nonnegative,0.001,0.03211111111111112,1.955412783128213e-05,1.976851941358102e-05
depth6,0.15,3028,test,finite_nonnegative,0.001,0.03211111111111112,4.921836267273511e-05,4.986042767324486e-05
depth6,0.15,2347,test,finite_nonnegative,0.001,0.03211111111111112,1.4255914045016737e-05,1.4446228416954073e-05
depth6,0.15,4021,test,finite_nonnegative,0.001,0.03211111111111112,1.9068773931274313e-05,1.8676890937180665e-05
depth6,0.15,713,fit,finite_signed,0.001,0.03211111111111112,9.963906880064926e-06,9.837187884100102e-06
depth6,0.15,3623,fit,finite_signed,0.001,0.03211111111111112,1.028207065214189e-05,1.0506334384264395e-05
depth6,0.15,3296,fit,finite_signed,0.001,0.03211111111111112,2.482855819575081e-05,2.5112766159472856e-05
depth6,0.15,4345,fit,finite_signed,0.001,0.03211111111111112,1.206843345753306e-05,1.2320176392052988e-05
depth6,0.15,2364,fit,finite_signed,0.001,0.03211111111111112,1.6760828939143576e-05,1.7149371365192637e-05
depth6,0.15,3510,fit,finite_signed,0.001,0.03211111111111112,4.37881449245913e-05,4.355388618787266e-05
depth6,0.15,4640,fit,finite_signed,0.001,0.03211111111111112,1.728528248095144e-05,1.6956444214918526e-05
depth6,0.15,1298,fit,finite_signed,0.001,0.03211111111111112,1.2460324844586746e-05,1.2610373741275412e-05
