weak,t,q,delta,tau,fit_ratio,test_ratio
depth8,0.15,32.111111111111114,-0.03,-0.9633333333333334,2.8663041041648794,3.0561963540088124
depth8,0.15,32.111111111111114,-0.01,-0.3211111111111111,1.2463139051456047,1.2472613486974526
depth8,0.15,32.111111111111114,0.0,0.0,1.0,1.0
depth8,0.15,32.111111111111114,0.01,0.3211111111111111,1.1012568082486813,1.1581084500737502
depth8,0.15,32.111111111111114,0.03,0.9633333333333334,2.268819548271088,2.6001956368029817
depth8,0.15,32.111111111111114,0.1,3.2111111111111117,14.738264328492562,17.43351049247836
depth8,0.15,32.111111111111114,0.25,8.027777777777779,69.49996357978551,81.99389217804892
depth8,0.15,32.111111111111114,0.5,16.055555555555557,193.881166135693,228.33715700392798
depth8,0.15,32.111111111111114,1.0,32.111111111111114,439.4474526212682,517.0630081301283
depth8,0.15,32.111111111111114,2.0,64.22222222222223,786.3257132949394,924.7725558616986
depth8,0.15,32.111111111111114,4.0,128.44444444444446,1137.4375351164526,1337.4378973425244
depth10,0.15,32.111111111111114,-0.75,-24.083333333333336,29348.96914172036,30465.96342309039
depth10,0.15,32.111111111111114,-0.5,-16.055555555555557,3807.8340850342593,3920.735231767076
depth10,0.15,32.111111111111114,-0.25,-8.027777777777779,458.43643346154823,471.52645151936736
depth10,0.15,32.111111111111114,-0.1,-3.2111111111111117,53.75497047650587,55.23766270352635
depth10,0.15,32.111111111111114,-0.03,-0.9633333333333334,5.447111911337289,5.523463931312115
depth10,0.15,32.111111111111114,-0.01,-0.3211111111111111,1.578829600839247,1.5741705812702615
depth10,0.15,32.111111111111114,0.0,0.0,1.0,1.0
depth10,0.15,32.111111111111114,0.01,0.3211111111111111,1.2568402171143402,1.2896869867493266
depth10,0.15,32.111111111111114,0.03,0.9633333333333334,4.0907168493608586,4.268431850447677
depth10,0.15,32.111111111111114,0.1,3.2111111111111117,34.16128694477911,35.5516479984544
depth10,0.15,32.111111111111114,0.25,8.027777777777779,165.98356945125735,172.46117010729506
depth10,0.15,32.111111111111114,0.5,16.055555555555557,465.2148901354501,483.3224096249342
depth10,0.15,32.111111111111114,1.0,32.111111111111114,1055.8179555417419,1097.032831022055
depth10,0.15,32.111111111111114,2.0,64.22222222222223,1889.9391964460208,1963.9606615863606
depth10,0.15,32.111111111111114,4.0,128.44444444444446,2734.1885201270265,2841.5930894728194
external_v500,0.15,32.111111111111114,-0.75,-24.083333333333336,209957.01112131952,193153.57346739393
external_v500,0.15,32.111111111111114,-0.5,-16.055555555555557,27179.952140918038,24812.171864398093
external_v500,0.15,32.111111111111114,-0.25,-8.027777777777779,3244.8377091919583,2962.599073736948
external_v500,0.15,32.111111111111114,-0.1,-3.2111111111111117,367.60652792964163,336.67093212153196
external_v500,0.15,32.111111111111114,-0.03,-0.9633333333333334,29.686674629928653,27.301882373312072
external_v500,0.15,32.111111111111114,-0.01,-0.3211111111111111,4.109591397318976,3.856135531813788
external_v500,0.15,32.111111111111114,0.0,0.0,1.0,1.0
external_v500,0.15,32.111111111111114,0.01,0.3211111111111111,3.857364185585324,3.6124434561835255
external_v500,0.15,32.111111111111114,0.03,0.9633333333333334,26.13626802050154,24.024312034946448
external_v500,0.15,32.111111111111114,0.1,3.2111111111111117,247.91027380128384,227.44166541156054
external_v500,0.15,32.111111111111114,0.25,8.027777777777779,1203.2769665717115,1105.0345616971501
external_v500,0.15,32.111111111111114,0.5,16.055555555555557,3359.938030945937,3088.5000917374523
external_v500,0.15,32.111111111111114,1.0,32.111111111111114,7606.3841375359725,6996.0924891725645
external_v500,0.15,32.111111111111114,2.0,64.22222222222223,13596.090134076907,12510.05512294941
external_v500,0.15,32.111111111111114,4.0,128.44444444444446,19654.816645637136,18088.932859528704
depth4,0.3,5.4444444444444455,-0.75,-4.083333333333334,663.767526727337,599.6979221249394
depth4,0.3,5.4444444444444455,-0.5,-2.7222222222222228,97.79979551567222,88.92938609067903
depth4,0.3,5.4444444444444455,-0.25,-1.3611111111111114,15.26030940493462,13.764515249247227
depth4,0.3,5.4444444444444455,-0.1,-0.5444444444444446,3.033741340571094,2.9014704594633636
depth4,0.3,5.4444444444444455,-0.03,-0.16333333333333336,1.2271733829672113,1.231344240362398
depth4,0.3,5.4444444444444455,-0.01,-0.054444444444444455,1.043821877809807,1.0488330874700085
depth4,0.3,5.4444444444444455,0.0,0.0,1.0,1.0
depth4,0.3,5.4444444444444455,0.01,0.054444444444444455,0.9861822651007522,0.9778859853254063
