q,eps_strong,eps_weak,gamma_exact,correction_score_at_y1,score_identity_error
0.002511886431509582,0.002511886431509582,0.005023772863019164,1.0050111853345716,-0.0024930680596219343,4.440892098500626e-16
0.002818382931264455,0.002818382931264455,0.00563676586252891,1.0056209239464204,-0.002794708853747686,0.0
0.0031622776601683794,0.0031622776601683794,0.006324555320336759,1.0063046183665205,-0.0031324975293452024,2.220446049250313e-16
0.0035481338923357567,0.0035481338923357567,0.007096267784671513,1.007071178297296,-0.0035106764484643805,1.1102230246251565e-16
0.003981071705534973,0.003981071705534973,0.007962143411069947,1.0079305712383044,-0.003933962842823703,2.220446049250313e-16
0.004466835921509635,0.004466835921509635,0.00893367184301927,1.008893944054234,-0.00440759601074034,1.1102230246251565e-16
0.005011872336272725,0.005011872336272725,0.01002374467254545,1.009973757473376,-0.004937387623797742,1.1102230246251565e-16
0.005623413251903491,0.005623413251903491,0.011246826503806982,1.0111839346176696,-0.005529774890041386,0.0
0.006309573444801936,0.006309573444801936,0.012619146889603873,1.0125400246828677,-0.006191876146815009,0.0
0.00707945784384138,0.00707945784384138,0.01415891568768276,1.0140593828792783,-0.0069315482326283455,0.0
0.00794328234724282,0.00794328234724282,0.01588656469448564,1.0157613677006607,-0.007757444703189272,2.220446049250313e-16
0.008912509381337459,0.008912509381337459,0.017825018762674918,1.0176675564996267,-0.008679073600049938,2.220446049250313e-16
0.01,0.01,0.02,1.0198019801980198,-0.009706853038244945,1.1102230246251565e-16
0.01122018454301963,0.01122018454301963,0.02244036908603926,1.0221913777326155,-0.010852162338060158,2.220446049250313e-16
0.012589254117941687,0.012589254117941687,0.025178508235883374,1.0248654705088847,-0.012127385771904716,1.1102230246251565e-16
0.014125375446227554,0.014125375446227554,0.028250750892455108,1.0278572566829072,-0.013545945217510954,1.1102230246251565e-16
0.01584893192461114,0.01584893192461114,0.03169786384922228,1.0312033244836591,-0.01512231709351453,1.1102230246251565e-16
0.01778279410038923,0.01778279410038923,0.03556558820077846,1.0349441829896668,-0.01687202789848385,0.0
0.01995262314968879,0.01995262314968879,0.03990524629937758,1.039124607745159,-0.018811621483971155,2.220446049250313e-16
0.022387211385683423,0.022387211385683423,0.04477442277136685,1.043793997296467,-0.020958589884072357,2.220446049250313e-16
0.025118864315095822,0.025118864315095822,0.050237728630191644,1.049006735100672,-0.023331258135522517,2.220446049250313e-16
0.02818382931264455,0.02818382931264455,0.0563676586252891,1.0548225492546128,-0.025948612117658254,1.1102230246251565e-16
0.03162277660168379,0.03162277660168379,0.06324555320336758,1.061306860063431,-0.028830057120259853,2.220446049250313e-16
0.03548133892335753,0.03548133892335753,0.07096267784671506,1.06853110256965,-0.03199509375407891,1.1102230246251565e-16
0.039810717055349776,0.039810717055349776,0.07962143411069955,1.0765730077645095,-0.03546289715319694,1.1102230246251565e-16
0.04466835921509635,0.04466835921509635,0.0893367184301927,1.0855168222930722,-0.039251785442570915,1.1102230246251565e-16
0.05011872336272725,0.05011872336272725,0.1002374467254545,1.095453442068408,-0.04337856448737423,2.220446049250313e-16
0.056234132519034905,0.056234132519034905,0.11246826503806981,1.1064804304040448,-0.047857738395980495,2.220446049250313e-16
0.06309573444801943,0.06309573444801943,0.12619146889603886,1.1187018862055353,-0.05270057955681992,1.1102230246251565e-16
0.07079457843841387,0.07079457843841387,0.14158915687682774,1.1322281226743913,-0.057914058607626565,1.1102230246251565e-16
0.07943282347242822,0.07943282347242822,0.15886564694485644,1.147175112235147,-0.06349964408003125,0.0
0.08912509381337459,0.08912509381337459,0.17825018762674918,1.163663649510304,-0.06945199382482523,1.1102230246251565e-16
0.1,0.1,0.2,1.1818181818181817,-0.07575757575757575,1.1102230246251565e-16
0.11220184543019653,0.11220184543019653,0.22440369086039305,1.201765256713447,-0.08239327364803413,1.1102230246251565e-16
0.12589254117941687,0.12589254117941687,0.25178508235883373,1.2236315395562343,-0.08932505376035785,3.3306690738754696e-16
0.14125375446227553,0.14125375446227553,0.28250750892455107,1.2475413621378708,-0.0965067886212404,3.3306690738754696e-16
0.1584893192461114,0.1584893192461114,0.3169786384922228,1.27361377720642,-0.1038793527887718,0.0
0.1778279410038923,0.1778279410038923,0.3556558820077846,1.3019591144226468,-0.11137011922798296,0.0
0.19952623149688828,0.19952623149688828,0.39905246299377656,1.3326750616331244,-0.11889299023184825,2.220446049250313e-16
0.22387211385683423,0.22387211385683423,0.44774422771366845,1.3658423316000519,-0.12634909005225448,1.1102230246251565e-16
0.25118864315095824,0.25118864315095824,0.5023772863019165,1.401520017826204,-0.13362822424403814,0.0
0.2818382931264455,0.2818382931264455,0.563676586252891,1.439740792013683,-0.14061117109499424,1.1102230246251565e-16
0.31622776601683794,0.31622776601683794,0.6324555320336759,1.4805061467040843,-0.14717281337075083,2.220446049250313e-16
0.354813389233576,0.354813389233576,0.709626778467152,1.5237819349191635,-0.15318604666124416,0.0
0.39810717055349776,0.39810717055349776,0.7962143411069955,1.5694944979016032,-0.15852631973493403,1.1102230246251565e-16
0.4466835921509635,0.4466835921509635,0.893367184301927,1.6175276951704742,-0.16307658131250252,0.0
0.5011872336272725,0.5011872336272725,1.002374467254545,1.6677211508337557,-0.16673233747064012,0.0
0.5623413251903491,0.5623413251903491,1.1246826503806981,1.7198700003942295,-0.1694064758954105,2.220446049250313e-16
0.6309573444801942,0.6309573444801942,1.2619146889603885,1.7737263596937145,-0.17103349729987638,1.1102230246251565e-16
0.7079457843841388,0.7079457843841388,1.4158915687682776,1.8290026426563817,-0.17157281671359162,1.1102230246251565e-16
0.7943282347242822,0.7943282347242822,1.5886564694485643,1.885376732475415,-0.1710108589001032,1.1102230246251565e-16
0.8912509381337459,0.8912509381337459,1.7825018762674918,1.942498872215463,-0.16936176759739538,1.1102230246251565e-16
1.0,1.0,2.0,2.0,-0.16666666666666663,5.551115123125783e-17
1.1220184543019653,1.1220184543019653,2.2440369086039307,2.0575011277845383,-0.16299153763938415,5.551115123125783e-17
1.2589254117941688,1.2589254117941688,2.5178508235883377,2.1146232675245855,-0.15842389621110034,1.1102230246251565e-16
1.4125375446227555,1.4125375446227555,2.825075089245511,2.17099735734362,-0.1530685450641176,1.1102230246251565e-16
1.584893192461114,1.584893192461114,3.169786384922228,2.2262736403062866,-0.1470427411749965,1.1102230246251565e-16
1.7782794100389228,1.7782794100389228,3.5565588200778455,2.28012999960577,-0.14047113733779257,0.0
1.9952623149688828,1.9952623149688828,3.9905246299377657,2.332278849166245,-0.13348084098954333,0.0
2.2387211385683425,2.2387211385683425,4.477442277136685,2.3824723048295264,-0.12619688486723857,5.551115123125783e-17
2.5118864315095824,2.5118864315095824,5.023772863019165,2.430505502098398,-0.11873833348535459,0.0
2.818382931264455,2.818382931264455,5.63676586252891,2.4762180650808374,-0.11121516832585161,5.551115123125783e-17
3.1622776601683795,3.1622776601683795,6.324555320336759,2.519493853295915,-0.10372601385622778,0.0
3.5481338923357604,3.5481338923357604,7.096267784671521,2.560259207986317,-0.09635669480574241,8.326672684688674e-17
3.9810717055349776,3.9810717055349776,7.962143411069955,2.5984799821737967,-0.08917955832972772,5.551115123125783e-17
4.4668359215096345,4.4668359215096345,8.933671843019269,2.634157668399949,-0.08225345543039696,2.7755575615628914e-17
5.011872336272725,5.011872336272725,10.02374467254545,2.6673249383668765,-0.07562425418466631,2.7755575615628914e-17
5.62341325190349,5.62341325190349,11.24682650380698,2.698040885577354,-0.069325750840412,0.0
6.309573444801943,6.309573444801943,12.619146889603886,2.7263862227935807,-0.06338085038613578,2.7755575615628914e-17
7.0794578438413875,7.0794578438413875,14.158915687682775,2.752458637862129,-0.05780290206660597,2.7755575615628914e-17
7.943282347242821,7.943282347242821,15.886564694485642,2.7763684604437664,-0.052597093979210724,1.3877787807814457e-17
8.91250938133746,8.91250938133746,17.82501876267492,2.7982347432865535,-0.04776183136805107,0.0
10.0,10.0,20.0,2.8181818181818183,-0.04329004329004329,0.0
