x,target,strong,weak,guided_power,density_ratio,guidance,moment_matched_weak,moment_matched_guided_power
-3.358,3.1109403753762822e-27,1.372564517557192e-10,0.015945942166225226,6.4061477730646415e-19,8.607610031750863e-09,16.674460332579365,0.00251105160530224,4.302101615033129e-18
-3.356,3.449751656993485e-27,1.4250583321973577e-10,0.016013009354903972,6.876602613316276e-19,8.899378627796356e-09,16.660297466854946,0.0025260743324143223,4.609883227777261e-18
-3.354,3.825127188635023e-27,1.4795126570287105e-10,0.01608030199771041,7.3811625683984545e-19,9.200776560287064e-09,16.6461345440068,0.002541177904651378,4.9393871331323105e-18
-3.352,4.240976176461105e-27,1.5359988724211355e-10,0.016147820569018825,7.922267099352158e-19,9.51211258420904e-09,16.631971563833638,0.0025563626977253306,5.29212494253358e-18
-3.35,4.701621776986031e-27,1.594590887318548e-10,0.01621556554283423,8.502527741285287e-19,9.833705047821845e-09,16.617808526133505,0.00257162908872534,5.66971192378685e-18
-3.348,5.2118445005117875e-27,1.6553652261826912e-10,0.0162835373927845,9.12474006632015e-19,1.016588218058939e-08,16.60364543070373,0.0025869774561206953,6.073874001086681e-18
-3.346,5.7769301195871295e-27,1.7184011188302457e-10,0.016351736592112212,9.791896465744125e-19,1.050898238942508e-08,16.58948227734094,0.0026024081797636216,6.506455220242481e-18
-3.344,6.402722545242158e-27,1.7837805932566908e-10,0.01642016361366687,1.0507199806586773e-18,1.0863354563483228e-08,16.575319065841057,0.002617921640892159,6.969425709517797e-18
-3.342,7.095682180763206e-27,1.8515885715420608e-10,0.016488818929896676,1.1274078021496871e-18,1.1229358387730595e-08,16.561155795999284,0.0026335182221329527,7.464890168433687e-18
-3.34,7.862950314533223e-27,1.9219129689379006e-10,0.016557703012840645,1.2096199694703838e-18,1.1607364665542296e-08,16.546992467610107,0.002649198307504114,7.995096918970325e-18
-3.338,8.712420170399361e-27,1.9948447962365075e-10,0.016626816334120362,1.2977490710988722e-18,1.1997755650568134e-08,16.5328290804673,0.0026649622824180055,8.562447555797485e-18
