weak,t,q,fit_type,delta,tau,fit_ratio,test_ratio,test_ratio_ci_low,test_ratio_ci_high,gap_rms
depth4,0.3,5.4444444444444455,finite_nonnegative,0.01,0.054444444444444455,0.9861822651007522,0.9778859853254063,0.9659688427035401,0.993389222966047,0.03210217373518288
depth4,0.3,5.4444444444444455,finite_signed,0.01,0.054444444444444455,0.9861822651007522,0.9778859853254063,0.9659688427035401,0.993389222966047,0.03210217373518288
depth4,0.3,5.4444444444444455,derivative_nonnegative,0.009528943115077827,0.05187980140431262,0.986378184559101,0.9785397148453685,0.9670762963839649,0.9933936659222892,0.03210217373518288
depth4,0.3,5.4444444444444455,derivative_signed,0.009528943115077827,0.05187980140431262,0.986378184559101,0.9785397148453685,0.9670762963839649,0.9933936659222892,0.03210217373518288
depth6,0.3,5.4444444444444455,finite_nonnegative,0.01,0.054444444444444455,0.9777303542667236,0.9794057601677514,0.9630473234106961,1.0000874107312479,0.030213919092935655
depth6,0.3,5.4444444444444455,finite_signed,0.01,0.054444444444444455,0.9777303542667236,0.9794057601677514,0.9630473234106961,1.0000874107312479,0.030213919092935655
depth6,0.3,5.4444444444444455,derivative_nonnegative,0.011884598832525933,0.06470503808819676,0.9773142941333816,0.9791906093637479,0.9592407757502208,1.0046481301290147,0.030213919092935655
depth6,0.3,5.4444444444444455,derivative_signed,0.011884598832525933,0.06470503808819676,0.9773142941333816,0.9791906093637479,0.9592407757502208,1.0046481301290147,0.030213919092935655
depth8,0.3,5.4444444444444455,finite_nonnegative,0.01,0.054444444444444455,0.9662941786127239,0.9759098055455439,0.9562035366791873,1.0019695176966255,0.026805366163828295
depth8,0.3,5.4444444444444455,finite_signed,0.01,0.054444444444444455,0.9662941786127239,0.9759098055455439,0.9562035366791873,1.0019695176966255,0.026805366163828295
depth8,0.3,5.4444444444444455,derivative_nonnegative,0.013613343508281407,0.07411709243397656,0.9637880864352186,0.9769251621808053,0.9494186590335897,1.0143042526939006,0.026805366163828295
depth8,0.3,5.4444444444444455,derivative_signed,0.013613343508281407,0.07411709243397656,0.9637880864352186,0.9769251621808053,0.9494186590335897,1.0143042526939006,0.026805366163828295
depth10,0.3,5.4444444444444455,finite_nonnegative,0.01,0.054444444444444455,0.9327182880735039,0.960123880647936,0.9317741751299526,0.988742135105608,0.01735496358114076
depth10,0.3,5.4444444444444455,finite_signed,0.01,0.054444444444444455,0.9327182880735039,0.960123880647936,0.9317741751299526,0.988742135105608,0.01735496358114076
depth10,0.3,5.4444444444444455,derivative_nonnegative,0.011386238890297868,0.061991745069399515,0.931834755325632,0.9622897171774782,0.9312293235830065,0.9952660696780948,0.01735496358114076
depth10,0.3,5.4444444444444455,derivative_signed,0.011386238890297868,0.061991745069399515,0.931834755325632,0.9622897171774782,0.9312293235830065,0.9952660696780948,0.01735496358114076
external_v500,0.3,5.4444444444444455,finite_nonnegative,0.0,0.0,1.0,1.0,1.0,1.0,0.007632642829674622
external_v500,0.3,5.4444444444444455,finite_signed,0.0,0.0,1.0,1.0,1.0,1.0,0.007632642829674622
external_v500,0.3,5.4444444444444455,derivative_nonnegative,0.00040590999865414113,0.002209954437116991,0.9993962580439147,0.999683133802975,0.9985720319476598,1.000518670693047,0.007632642829674622
external_v500,0.3,5.4444444444444455,derivative_signed,0.00040590999865414113,0.002209954437116991,0.9993962580439147,0.999683133802975,0.9985720319476598,1.000518670693047,0.007632642829674622
depth4,0.5,1.0,finite_nonnegative,0.03,0.03,0.970055974525286,0.960349414526487,0.9493576689597963,0.9703665254476392,0.20455897999990408
depth4,0.5,1.0,finite_signed,0.03,0.03,0.970055974525286,0.960349414526487,0.9493576689597963,0.9703665254476392,0.20455897999990408
depth4,0.5,1.0,derivative_nonnegative,0.053929008367282004,0.053929008367282004,0.9637916124768943,0.9436840812861537,0.923891645337747,0.9616444572858491,0.20455897999990408
depth4,0.5,1.0,derivative_signed,0.053929008367282004,0.053929008367282004,0.9637916124768943,0.9436840812861537,0.923891645337747,0.9616444572858491,0.20455897999990408
depth6,0.5,1.0,finite_nonnegative,0.03,0.03,0.9707602572238213,0.9595502054628721,0.9467736681419717,0.9716777271662388,0.18995082189114273
depth6,0.5,1.0,finite_signed,0.03,0.03,0.9707602572238213,0.9595502054628721,0.9467736681419717,0.9716777271662388,0.18995082189114273
depth6,0.5,1.0,derivative_nonnegative,0.050680757165825464,0.050680757165825464,0.9657877311807489,0.9457398694354704,0.9240675374259664,0.9662850492458955,0.18995082189114273
depth6,0.5,1.0,derivative_signed,0.050680757165825464,0.050680757165825464,0.9657877311807489,0.9457398694354704,0.9240675374259664,0.9662850492458955,0.18995082189114273
depth8,0.5,1.0,finite_nonnegative,0.03,0.03,0.9818828831046866,0.9663179014708774,0.9490988807225572,0.9825931481435033,0.1671344223776292
depth8,0.5,1.0,finite_signed,0.03,0.03,0.9818828831046866,0.9663179014708774,0.9490988807225572,0.9825931481435033,0.1671344223776292
depth8,0.5,1.0,derivative_nonnegative,0.032807634421362634,0.032807634421362634,0.9824563234080188,0.9658043432621969,0.9469624312713314,0.9837001259132371,0.1671344223776292
depth8,0.5,1.0,derivative_signed,0.032807634421362634,0.032807634421362634,0.9824563234080188,0.9658043432621969,0.9469624312713314,0.9837001259132371,0.1671344223776292
depth10,0.5,1.0,finite_nonnegative,0.01,0.01,0.9935255402679993,0.9915416304396795,0.9848230540633389,0.9980276737906674,0.10109038234622914
depth10,0.5,1.0,finite_signed,0.01,0.01,0.9935255402679993,0.9915416304396795,0.9848230540633389,0.9980276737906674,0.10109038234622914
depth10,0.5,1.0,derivative_nonnegative,0.01140025166821412,0.01140025166821412,0.9935419234480989,0.9912448949177889,0.9836016661740109,0.9986128164978046,0.10109038234622914
depth10,0.5,1.0,derivative_signed,0.01140025166821412,0.01140025166821412,0.9935419234480989,0.9912448949177889,0.9836016661740109,0.9986128164978046,0.10109038234622914
external_v500,0.5,1.0,finite_nonnegative,0.0,0.0,1.0,1.0,1.0,1.0,0.04064263098538952
external_v500,0.5,1.0,finite_signed,0.0,0.0,1.0,1.0,1.0,1.0,0.04064263098538952
external_v500,0.5,1.0,derivative_nonnegative,0.0023186686250994378,0.0023186686250994378,0.9983438139369758,0.9980451123189111,0.9962744835024265,1.0000046336317505,0.04064263098538952
external_v500,0.5,1.0,derivative_signed,0.0023186686250994378,0.0023186686250994378,0.9983438139369758,0.9980451123189111,0.9962744835024265,1.0000046336317505,0.04064263098538952
depth4,0.7,0.18367346938775517,finite_nonnegative,1.0,0.18367346938775517,0.6483198586297771,0.5962148336707062,0.5514110654287798,0.6427775660090991,0.8835009465297232
depth4,0.7,0.18367346938775517,finite_signed,1.0,0.18367346938775517,0.6483198586297771,0.5962148336707062,0.5514110654287798,0.6427775660090991,0.8835009465297232
depth4,0.7,0.18367346938775517,derivative_nonnegative,0.42564528596359585,0.07817974640147682,0.712677529380264,0.7074024538473965,0.6703452326271487,0.7474302652107055,0.8835009465297232
depth4,0.7,0.18367346938775517,derivative_signed,0.42564528596359585,0.07817974640147682,0.712677529380264,0.7074024538473965,0.6703452326271487,0.7474302652107055,0.8835009465297232
depth6,0.7,0.18367346938775517,finite_nonnegative,0.5,0.09183673469387758,0.6782808172820508,0.6403115177445512,0.6020142575999982,0.6787630381053851,0.8418679692204457
depth6,0.7,0.18367346938775517,finite_signed,0.5,0.09183673469387758,0.6782808172820508,0.6403115177445512,0.6020142575999982,0.6787630381053851,0.8418679692204457
depth6,0.7,0.18367346938775517,derivative_nonnegative,0.3955979744797601,0.07266085245546616,0.7360777067024934,0.7211021412455993,0.686748655525551,0.7571574283386474,0.8418679692204457
depth6,0.7,0.18367346938775517,derivative_signed,0.3955979744797601,0.07266085245546616,0.7360777067024934,0.7211021412455993,0.686748655525551,0.7571574283386474,0.8418679692204457
depth8,0.7,0.18367346938775517,finite_nonnegative,0.5,0.09183673469387758,0.7362461872533412,0.6940187620463124,0.6537538373573297,0.7337220212795714,0.7319304673377672
depth8,0.7,0.18367346938775517,finite_signed,0.5,0.09183673469387758,0.7362461872533412,0.6940187620463124,0.6537538373573297,0.7337220212795714,0.7319304673377672
depth8,0.7,0.18367346938775517,derivative_nonnegative,0.31931664417353506,0.0586499958686085,0.7789358639167918,0.7639397951799208,0.7343788686460703,0.7939913227650629,0.7319304673377672
depth8,0.7,0.18367346938775517,derivative_signed,0.31931664417353506,0.0586499958686085,0.7789358639167918,0.7639397951799208,0.7343788686460703,0.7939913227650629,0.7319304673377672
depth10,0.7,0.18367346938775517,finite_nonnegative,0.1,0.01836734693877552,0.9020009593450892,0.898190551402628,0.8833769917188335,0.9123140723721814,0.4455729303754763
depth10,0.7,0.18367346938775517,finite_signed,0.1,0.01836734693877552,0.9020009593450892,0.898190551402628,0.8833769917188335,0.9123140723721814,0.4455729303754763
depth10,0.7,0.18367346938775517,derivative_nonnegative,0.12860144932452106,0.023620674365728365,0.9004233444834083,0.9005241182109928,0.8856118038278613,0.9137649333999199,0.4455729303754763
depth10,0.7,0.18367346938775517,derivative_signed,0.12860144932452106,0.023620674365728365,0.9004233444834083,0.9005241182109928,0.8856118038278613,0.9137649333999199,0.4455729303754763
external_v500,0.7,0.18367346938775517,finite_nonnegative,0.01,0.0018367346938775518,0.9959332408568926,0.9937914132465866,0.9925275224940785,0.995141212979804,0.15113576835912723
external_v500,0.7,0.18367346938775517,finite_signed,0.01,0.0018367346938775518,0.9959332408568926,0.9937914132465866,0.9925275224940785,0.995141212979804,0.15113576835912723
external_v500,0.7,0.18367346938775517,derivative_nonnegative,0.008836000541964872,0.001622938875054773,0.9958966896611124,0.9940802476442561,0.9929529868872286,0.9952486091976503,0.15113576835912723
external_v500,0.7,0.18367346938775517,derivative_signed,0.008836000541964872,0.001622938875054773,0.9958966896611124,0.9940802476442561,0.9929529868872286,0.9952486091976503,0.15113576835912723
depth4,0.9,0.012345679012345671,finite_nonnegative,4.0,0.049382716049382686,0.3875824092475994,0.3584306534376272,0.31280745581559877,0.41050523383555293,3.546023985674815
depth4,0.9,0.012345679012345671,finite_signed,4.0,0.049382716049382686,0.3875824092475994,0.3584306534376272,0.31280745581559877,0.41050523383555293,3.546023985674815
depth4,0.9,0.012345679012345671,derivative_nonnegative,1.397177997325094,0.01724911107808757,0.5948209032508247,0.5889662077479361,0.5608345898075686,0.620987102927238,3.546023985674815
depth4,0.9,0.012345679012345671,derivative_signed,1.397177997325094,0.01724911107808757,0.5948209032508247,0.5889662077479361,0.5608345898075686,0.620987102927238,3.546023985674815
depth6,0.9,0.012345679012345671,finite_nonnegative,4.0,0.049382716049382686,0.4547218590086989,0.41961329785691126,0.37323190843432763,0.47322472495422024,3.49941817821656
depth6,0.9,0.012345679012345671,finite_signed,4.0,0.049382716049382686,0.4547218590086989,0.41961329785691126,0.37323190843432763,0.47322472495422024,3.49941817821656
depth6,0.9,0.012345679012345671,derivative_nonnegative,1.3146096131076666,0.016229748309971183,0.6394643431250546,0.6309957787905773,0.6009964636061391,0.6641920576082784,3.49941817821656
depth6,0.9,0.012345679012345671,derivative_signed,1.3146096131076666,0.016229748309971183,0.6394643431250546,0.6309957787905773,0.6009964636061391,0.6641920576082784,3.49941817821656
depth8,0.9,0.012345679012345671,finite_nonnegative,4.0,0.049382716049382686,0.5312919264158141,0.5000083792621887,0.4510818798410773,0.5568921669133835,3.1977756371033363
depth8,0.9,0.012345679012345671,finite_signed,4.0,0.049382716049382686,0.5312919264158141,0.5000083792621887,0.4510818798410773,0.5568921669133835,3.1977756371033363
depth8,0.9,0.012345679012345671,derivative_nonnegative,1.1488950823314206,0.014183889905326172,0.6743340136914525,0.6674409176570738,0.6342233429594027,0.7036791330535735,3.1977756371033363
depth8,0.9,0.012345679012345671,derivative_signed,1.1488950823314206,0.014183889905326172,0.6743340136914525,0.6674409176570738,0.6342233429594027,0.7036791330535735,3.1977756371033363
depth10,0.9,0.012345679012345671,finite_nonnegative,1.0,0.012345679012345671,0.7522868379504437,0.7302326137707356,0.6895765535593054,0.7733108500617591,2.2115282769314013
depth10,0.9,0.012345679012345671,finite_signed,1.0,0.012345679012345671,0.7522868379504437,0.7302326137707356,0.6895765535593054,0.7733108500617591,2.2115282769314013
depth10,0.9,0.012345679012345671,derivative_nonnegative,0.632571967971771,0.007809530468787291,0.7929338865439756,0.7854884810359122,0.7586211136643144,0.8157486408321538,2.2115282769314013
depth10,0.9,0.012345679012345671,derivative_signed,0.632571967971771,0.007809530468787291,0.7929338865439756,0.7854884810359122,0.7586211136643144,0.8157486408321538,2.2115282769314013
external_v500,0.9,0.012345679012345671,finite_nonnegative,0.03,0.00037037037037037014,0.9929627706928014,0.9916650611297453,0.9902815016419316,0.99308344943368,0.7073712109544879
external_v500,0.9,0.012345679012345671,finite_signed,0.03,0.00037037037037037014,0.9929627706928014,0.9916650611297453,0.9902815016419316,0.99308344943368,0.7073712109544879
external_v500,0.9,0.012345679012345671,derivative_nonnegative,0.03792619353193195,0.00046822461150533237,0.9926576266335868,0.9910226028079009,0.9892974540725904,0.9928431459968277,0.7073712109544879
external_v500,0.9,0.012345679012345671,derivative_signed,0.03792619353193195,0.00046822461150533237,0.9926576266335868,0.9910226028079009,0.9892974540725904,0.9928431459968277,0.7073712109544879
