weak,t,q,fit_type,delta,tau,fit_ratio,test_ratio,test_ratio_ci_low,test_ratio_ci_high,gap_rms
depth6,0.3,5.4444444444444455,finite_signed,0.01,0.054444444444444455,0.9777303542667236,0.9794057601677514,0.9630473234106961,1.0000874107312479,0.030213919092935655
depth8,0.3,5.4444444444444455,finite_nonnegative,0.01,0.054444444444444455,0.9662941786127239,0.9759098055455439,0.9562035366791873,1.0019695176966255,0.026805366163828295
depth8,0.3,5.4444444444444455,finite_signed,0.01,0.054444444444444455,0.9662941786127239,0.9759098055455439,0.9562035366791873,1.0019695176966255,0.026805366163828295
depth10,0.3,5.4444444444444455,finite_nonnegative,0.01,0.054444444444444455,0.9327182880735039,0.960123880647936,0.9317741751299526,0.988742135105608,0.01735496358114076
depth10,0.3,5.4444444444444455,finite_signed,0.01,0.054444444444444455,0.9327182880735039,0.960123880647936,0.9317741751299526,0.988742135105608,0.01735496358114076
external_v500,0.3,5.4444444444444455,finite_nonnegative,0.0,0.0,1.0,1.0,1.0,1.0,0.007632642829674622
external_v500,0.3,5.4444444444444455,finite_signed,0.0,0.0,1.0,1.0,1.0,1.0,0.007632642829674622
depth4,0.5,1.0,finite_nonnegative,0.05,0.05,0.9611026682900413,0.942553649674838,0.9243336355035984,0.9592334457297685,0.20455897999990408
depth4,0.5,1.0,finite_signed,0.05,0.05,0.9611026682900413,0.942553649674838,0.9243336355035984,0.9592334457297685,0.20455897999990408
depth6,0.5,1.0,finite_nonnegative,0.05,0.05,0.9632808390306912,0.9427864314830225,0.9215990391596268,0.962568957024575,0.18995082189114273
depth6,0.5,1.0,finite_signed,0.05,0.05,0.9632808390306912,0.9427864314830225,0.9215990391596268,0.962568957024575,0.18995082189114273
depth8,0.5,1.0,finite_nonnegative,0.03,0.03,0.9818828831046866,0.9663179014708774,0.9490988807225572,0.9825931481435033,0.1671344223776292
depth8,0.5,1.0,finite_signed,0.03,0.03,0.9818828831046866,0.9663179014708774,0.9490988807225572,0.9825931481435033,0.1671344223776292
depth10,0.5,1.0,finite_nonnegative,0.01,0.01,0.9935255402679993,0.9915416304396795,0.9848230540633389,0.9980276737906674,0.10109038234622914
depth10,0.5,1.0,finite_signed,0.01,0.01,0.9935255402679993,0.9915416304396795,0.9848230540633389,0.9980276737906674,0.10109038234622914
external_v500,0.5,1.0,finite_nonnegative,0.003,0.003,0.9984564123028625,0.9979367607085187,0.9956387766131928,1.0004889701768993,0.04064263098538952
external_v500,0.5,1.0,finite_signed,0.003,0.003,0.9984564123028625,0.9979367607085187,0.9956387766131928,1.0004889701768993,0.04064263098538952
depth4,0.7,0.18367346938775517,finite_nonnegative,0.75,0.13775510204081637,0.6261842213236378,0.5888906939896235,0.5463966707153708,0.63100884645898,0.8835009465297232
depth4,0.7,0.18367346938775517,finite_signed,0.75,0.13775510204081637,0.6261842213236378,0.5888906939896235,0.5463966707153708,0.63100884645898,0.8835009465297232
