grid_index,noise_time,heat_variance,heat_step_from_previous,cumulative_log_weight_mean,cumulative_log_weight_std,increment_mean,increment_std,potential_mean,potential_std,potential_q10,potential_median,potential_q90,potential_min,potential_max,k4_ess_mean,k4_ess_min,k4_ess_fraction_mean,k4_ess_fraction_min,k4_entropy_ess_fraction_mean,k4_max_weight_mean,k4_max_weight_max,k4_log_weight_range_mean,k4_log_weight_range_max,k8_ess_mean,k8_ess_min,k8_ess_fraction_mean,k8_ess_fraction_min,k8_entropy_ess_fraction_mean,k8_max_weight_mean,k8_max_weight_max,k8_log_weight_range_mean,k8_log_weight_range_max
12,0.9832402467727661,3441.7875144597633,747.8328274087221,0.6371579116714055,0.27283436364423685,0.15065373751463446,0.06856222795927178,0.0002500439604773419,0.00011215750949881214,0.00013743568561039866,0.0002084417938021943,0.0004096133459825069,0.00011593029194045812,0.0005660582683049142,3.7074695481135205,3.352888055547727,0.9268673870283801,0.8382220138869317,0.9629195752134535,0.3556044816033208,0.43541329550722835,0.596670035485853,0.97293172860542,7.367266334209015,6.791987552052796,0.9209082917761269,0.8489984440065995,0.9614715542202288,0.19655223650388545,0.25869860002556905,0.7336759507245025,1.1337723128263097
13,0.9816642999649048,2866.3617765912845,575.4257378684788,0.823318622554077,0.35117796550471636,0.18616071088267144,0.08115924727568324,0.00039699248100077966,0.0001704843496113309,0.00023364256921922787,0.000334187105181627,0.0006658119673375042,0.00018894419190473855,0.0009273571195080876,3.548134981485524,3.0278851543326786,0.887033745371381,0.7569712885831696,0.9401961782945356,0.3862020328142727,0.4878933005644686,0.7668408869370571,1.2569615360593036,6.97739840742433,5.97955493787851,0.8721748009280412,0.7474443672348138,0.9354521906283242,0.2191911664389114,0.30948315593044357,0.9347897079805225,1.4639014164479847
14,0.9800570011138916,2415.0256117634017,451.33616482788284,1.051557651995663,0.4430327280249025,0.22823902944158603,0.09575609358794387,0.0006144001226857654,0.0002551011186703355,0.00037561725184787065,0.0005324151134118438,0.000966589985182509,0.0003059313166886568,0.0015124214114621282,3.351137255940239,2.614424297358501,0.8377843139850597,0.6536060743396253,0.9086071814626417,0.42151781516376297,0.5562962074038442,0.9616174525163604,1.6184590737943547,6.469878808830323,4.849237178119486,0.8087348511037904,0.6061546472649357,0.8969711837449452,0.2477014662660459,0.3825213069598831,1.168681003529017,1.8886646979739086
15,0.9784172773361206,2055.1132811810517,359.91233058235,1.3300432337259123,0.5522059853813684,0.2784855817302493,0.11588573427037001,0.0009331188593932893,0.000391707310370381,0.0006021050328854471,0.0008382391242776066,0.001379901880864054,0.00048274185974150896,0.0024968599900603294,3.1252555131966355,2.129695617131467,0.7813138782991589,0.5324239042828668,0.8663685956352637,0.4630119823499833,0.6481625648197556,1.1903166948575667,2.094453260234806,5.884186450650871,3.517238136597292,0.7355233063313589,0.4396547670746615,0.8426244236906031,0.28990335889274765,0.4902497253536166,1.474413961692561,2.4537054030293666
16,0.9767442345619202,1764.0075352429594,291.10574593809224,1.6678902378623774,0.6850243305426755,0.3378470041364652,0.14432041244809485,0.0013880102069379063,0.0006030268489342711,0.0009659391245804728,0.0012864014715887606,0.0019604052766226234,0.0007395989377982914,0.004014059901237488,2.8935354914813045,1.6568664004619043,0.7233838728703261,0.41421660011547606,0.8148970954036638,0.5097861383563338,0.7606441756710322,1.4761010838476447,2.7806237615458027,5.30393038299023,2.322204382095954,0.6629912978737788,0.29027554776199427,0.7740273449264069,0.3450924795560586,0.637164972633681,1.8542652631602472,3.2082661802554777
17,0.9750366806983948,1525.5879321755924,238.419603067367,2.072860234191772,0.8436091805956878,0.4049699963293947,0.17387643678847156,0.0020091097539989278,0.0008577869810133489,0.0013763412483967842,0.0019320948049426079,0.002678946242667735,0.0011462452821433544,0.005855225492268801,2.6866894428799717,1.3213119228592725,0.6716723607199929,0.3303279807148181,0.7633979917979978,0.5542937399858074,0.8649240488236811,1.8162835671055344,3.6749626113846636,4.788090705587777,1.5823665334013248,0.5985113381984721,0.1977958166751656,0.7051957530840192,0.4037586054010437,0.7890193506733263,2.295012394999993,4.148222583126801
18,0.9732937812805176,1328.1988322891398,197.38909988645264,2.550782789930042,1.0228094779347774,0.4779225557382702,0.19569129645787034,0.0028333314548945054,0.001127414901610755,0.0018806174281053244,0.002750765299424529,0.0036416817922145135,0.0017120756674557924,0.00785957369953394,2.508166394007013,1.1430100402644352,0.6270415985017532,0.2857525100661088,0.7190829166805386,0.5925299388411109,0.934132169139118,2.206341080247958,4.71069369329491,4.303063074322789,1.2385214195857375,0.5378828842903486,0.15481517744821718,0.6455831757746879,0.45386255484349947,0.8971372620832468,2.781699308936429,5.215862235151958
19,0.9715142250061035,1163.1674726895076,165.0313595996322,3.1076232782473787,1.216162000849183,0.5568404883173363,0.2100428119193442,0.003914967652235646,0.001421522689914671,0.002743912860751152,0.003756946884095669,0.004998077312484384,0.002431211294606328,0.010105611756443977,2.343458715503968,1.0617233872024854,0.585864678875992,0.26543084680062135,0.6800783225829108,0.6279247524905391,0.9702344082491029,2.6472854907988737,5.838801307554762,3.821973443262439,1.0968389520293071,0.4777466804078049,0.1371048690036634,0.5904482661341373,0.4932036928076785,0.9545348944484843,3.3023476095754605,6.356385585501474
20,0.9696969985961914,1024.0020141630675,139.16545852644003,3.7503020504572775,1.4200760260293732,0.642678772209899,0.22130809322470757,0.005321214644936845,0.0017636937173613496,0.003754130634479225,0.005127472570165992,0.00712127177976072,0.0031732104253023863,0.012747073546051979,2.1848577968799168,1.0265288479695096,0.5462144492199792,0.2566322119923774,0.6426340688609236,0.6617414354534621,0.9869395151314582,3.1320629236426756,7.038042289529696,3.3701581408295826,1.039791045144604,0.42126976760369783,0.1299738806430755,0.5354805407337166,0.5341779151509742,0.9806184366703612,3.8846231126594573,7.541173079597283
21,0.9678407311439514,905.7231275802745,118.278886582793,4.4865560388284464,1.6343501809527197,0.7362539883711687,0.2332234386374137,0.007128242898033932,0.002185098131341188,0.004974250495433807,0.006772950291633606,0.009079314954578878,0.004050453193485737,0.015942230820655823,2.0345876344821643,1.0114301753745583,0.5086469086205411,0.25285754384363957,0.6052585236546069,0.6947153783092949,0.99432239324086,3.6594741816020977,8.30750833325478,2.977090758657512,1.0165980957062866,0.372136344832189,0.12707476196328582,0.4817214673993592,0.5810485522286631,0.9917906876868243,4.532775241444109,8.759091415105914
22,0.9659442901611328,804.4967342529717,101.22639332730284,5.324852992750241,1.8610280425535866,0.8382969539217945,0.24771546972196898,0.009434570936718956,0.002714574346959456,0.00662240288220346,0.009116081055253744,0.011471907794475556,0.00510961702093482,0.019825169816613197,1.9004049466088966,1.0049472533872292,0.47510123665222415,0.2512368133468073,0.568164615052801,0.7259752164120232,0.9975332720298478,4.229770288849778,9.654190380641165,2.65390254293866,1.0070261266096454,0.3317378178673325,0.12587826582620568,0.43262397661330243,0.6241423539706481,0.9965029008829209,5.216328394949002,10.005293800295123
