k,objective,iteration,variant,shift_rms,state_rms,agreement_rms,write_rms,local_gap_rms,agreement_ratio,write_ratio,local_gap_ratio,conditional_drift_rms,guided_drift_rms,u_resnet_p,u_resnet_top1,u_resnet_prediction,u_convnext_p,u_convnext_top1,u_convnext_prediction,c_resnet_p,c_resnet_top1,c_resnet_prediction,c_convnext_p,c_convnext_top1,c_convnext_prediction,g_resnet_p,g_resnet_top1,g_resnet_prediction,g_convnext_p,g_convnext_top1,g_convnext_prediction,initial_agreement_rms,initial_local_gap_rms,initial_state_rms,conditional_drift_over_initial_gap,guided_drift_over_initial_gap,shift_over_initial_state_rms,reference_radius_rms,shift_over_reference_radius,coarse_relative_mse,coarse_objective_rms_ratio,fine_objective_rms_ratio,n
8,write,32,optimized,0.03196418227162212,0.8820370174944401,0.18901118636131287,0.04491775331553072,0.12758143618702888,0.7946404367685318,0.17868496337905526,1.0671265497803688,0.18439129693433642,0.1336703891865909,0.31990574641139347,0.4375,466.0625,0.25400944741249987,0.4375,463.8125,0.5688608379248308,0.8125,467.3125,0.5123890708000545,0.6875,457.0,0.8028915234153828,0.875,417.0,0.6630467555660289,0.9375,487.5625,0.24532684218138456,0.11758562223985791,0.8817509859800339,0.77785943704235,0.5882495381785257,0.036184468976771654,0.0091863767374889,3.7630710438326656,0.02470013569109142,0.1464656834062524,0.17868496337905526,16
8,write,64,cfg_equal,0.03960509737953544,0.8833463750779629,0.21730555407702923,0.27098154183477163,0.1121703430544585,0.9238003827631474,1.1760185398161411,0.9468696042895317,0.27986773382872343,0.25773241370916367,0.11722753077866344,0.125,330.75,0.11318195854005353,0.125,426.0,0.5868510535000269,0.8125,442.875,0.48034847156850446,0.6875,396.5625,0.8401770349009894,0.875,460.0,0.6564583918079734,0.875,460.0,0.24532684218138456,0.11758562223985791,0.8817509859800339,1.2217162665578287,1.1588777241167147,0.04483022584496044,0.0091863767374889,4.680418345425635,,,1.1760185398161411,16
8,write,64,optimized,0.03960509807802737,0.8822549544274807,0.19439601991325617,0.027808775659650564,0.13024616008624434,0.8168985694646835,0.11429551220498979,1.08506366237998,0.19253496173769236,0.14258009241893888,0.35174315254008093,0.5,450.8125,0.2703230978472675,0.375,445.6875,0.6076278504505694,0.8125,467.3125,0.5488542189550571,0.75,481.6875,0.8082838319987786,0.875,417.0,0.6846789052942768,0.9375,487.6875,0.24532684218138456,0.11758562223985791,0.8817509859800339,0.8104710288836591,0.6276502102441825,0.044830226631892275,0.0091863767374889,4.68041844504392,0.0056857761373976246,0.07010499992884993,0.11429551220498979,16
8,write,64,radius4_projected,0.03315129061229527,0.8822687566280365,0.2021543812006712,0.059578933170996606,0.12930811336264014,0.8536428958177567,0.2641067006625235,1.0759571492671967,0.17228676239028573,0.12555519468151033,0.25528189490344744,0.3125,438.125,0.19643711923890805,0.375,441.0,0.5733091712293685,0.8125,493.6875,0.5350694092112462,0.75,481.6875,0.8065323545615684,0.875,417.0,0.6739422133978223,0.9375,487.6875,0.24532684218138456,0.11758562223985791,0.8817509859800339,0.7087319294414766,0.5417950244510357,0.03753915968930711,0.0091863767374889,3.7259698278485223,,,0.2641067006625235,16
8,write,64,radius_projected,0.009186376526486129,0.8817891255021095,0.2440553936176002,0.2037412547506392,0.12074843607842922,0.9916113950312138,0.82573227211833,1.0188394412398338,0.0660012720618397,0.0437055726069957,0.02410446142175715,0.0625,389.625,0.006918471139442772,0.0,465.5,0.4225912780251804,0.5625,471.9375,0.3909782568061928,0.625,445.3125,0.8005755135036452,0.875,404.8125,0.6237818277440965,0.875,520.5,0.24532684218138456,0.11758562223985791,0.8817509859800339,0.26338863261206413,0.18462452050621833,0.010400031586850815,0.0091863767374889,0.9999999966222182,,,0.82573227211833,16
24,agreement,0,optimized,0.0,0.7044146284461021,0.08149197814054787,0.08149197814054787,0.10740266554057598,1.0,1.0,1.0,0.0,0.0,0.32425109519206785,0.375,453.875,0.2864882164849405,0.4375,388.8125,0.5878438397562604,0.8125,463.875,0.48853483889615745,0.6875,481.0625,0.7508947748419814,0.8125,432.9375,0.6161261786837713,0.8125,519.4375,0.08149197814054787,0.10740266554057598,0.7044146284461021,0.0,0.0,0.0,0.008390833245357499,0.0,1.0,1.0,1.0,16
24,agreement,1,optimized,0.0012453587100935692,0.7044374197721481,0.07600723230279982,0.08052780339494348,0.10663480032235384,0.9346328563988209,0.9942176975309849,0.9929055497050285,0.01410168607981177,0.011363922780219582,0.33025253021349954,0.4375,450.1875,0.28801519706394174,0.4375,388.8125,0.5835140882006158,0.8125,490.25,0.483619440219627,0.6875,492.375,0.7417301998539187,0.8125,432.9375,0.6128568639978766,0.875,494.0,0.08149197814054787,0.10740266554057598,0.7044146284461021,0.18186787868870607,0.14804122423224722,0.001776944271292336,0.008390833245357499,0.16307260852403124,0.8788273744285107,0.9365126598086333,0.9346328563988209,16
24,agreement,4,optimized,0.018448996474035084,0.7047207243740559,0.05266218655742705,0.09946541558019817,0.0964387352578342,0.6595474351197481,1.2743780985474586,0.9014209173619747,0.07862247322918847,0.10010206559672952,0.3607900586898154,0.4375,475.5,0.3137690403900706,0.4375,430.375,0.5360299334859064,0.6875,467.25,0.4777465406650663,0.6875,419.5625,0.6693619589947275,0.75,428.0,0.5294553888343216,0.75,497.5625,0.08149197814054787,0.10740266554057598,0.7044146284461021,1.01448975461601,1.295188098603317,0.02623586335900233,0.008390833245357499,2.381010354634155,0.45162171497941017,0.6623101012168775,0.6595474351197481,16
24,agreement,16,optimized,0.130307137966156,0.7076760493218899,0.02306800684891641,0.23531898111104965,0.0653721634298563,0.2917255023494363,3.0931879058480263,0.6173984240740538,0.23336654342710972,0.25765786599367857,0.3729339459050607,0.5,479.1875,0.435784951045207,0.625,423.75,0.4057760465426554,0.5,479.1875,0.46612163312966004,0.625,423.75,0.435273833550923,0.625,477.0,0.4877586337534012,0.75,451.25,0.08149197814054787,0.10740266554057598,0.7044146284461021,3.0697895209745503,3.371051968924481,0.18475597000224053,0.008390833245357499,16.40285217162126,0.08721791440621018,0.2928330364961604,0.2917255023494363,16
24,agreement,32,optimized,0.20969324884936213,0.7005944550037384,0.013992620457429439,0.295754830352962,0.058084442745894194,0.17625041771680117,3.929302453994751,0.5491426922380924,0.2948661670088768,0.31495883129537106,0.46455769538818004,0.5625,465.5,0.44694542491197353,0.6875,465.125,0.48571772849538775,0.6875,460.75,0.46842841016405146,0.6875,465.125,0.49017234962695966,0.6875,460.75,0.4799175408370502,0.6875,465.125,0.08149197814054787,0.10740266554057598,0.7044146284461021,3.918619824425347,4.166151660816716,0.2970172064722638,0.008390833245357499,26.487256015893166,0.031711127841845155,0.17689163334608962,0.17625041771680117,16
