sample_index,run_index,global_seed,class_slot,class_id,cohort_role,A_posterior_logstd_concentration_jump,B_withheld_channel_predx0_cusum,z_A_low_is_bad,z_B_high_is_bad,S_INTERSECTION,S_UNION
32,10,40,2,795,label_free_calibration,0.1515221635193592,11.555352385949522,-4.479207679718825,8.084933697035552,-4.479207679718825,8.084933697035552
33,11,41,0,207,label_free_calibration,0.06246358755885,2.1561265975901853,-0.7453739050770511,-0.6845777797974829,-0.7453739050770511,-0.6845777797974829
34,11,41,1,602,label_free_calibration,0.1153340274723676,2.427834311920901,-0.7643471270761348,-0.8507548693002034,-0.8507548693002034,-0.7643471270761348
35,11,41,2,795,label_free_calibration,0.0935165507132531,2.4276189976132105,-1.93536987935735,-0.8502652845337778,-1.93536987935735,-0.8502652845337778
36,12,42,0,207,label_free_calibration,0.0418462743571787,2.537317673658646,0.2559990036762861,-0.2057721876058941,-0.2057721876058941,0.2559990036762861
37,12,42,1,602,label_free_calibration,0.050137991863828,7.194069555735567,1.3571428809354178,6.830423078911363,1.3571428809354178,6.830423078911363
38,12,42,2,795,label_free_calibration,0.0538297274982354,4.2122925598819005,-0.1949031178373706,0.896763547004368,-0.1949031178373706,0.896763547004368
39,13,43,0,207,label_free_calibration,0.0377559300770028,2.273087898155915,0.4546650427269168,-0.5376653038852326,-0.5376653038852326,0.4546650427269168
40,13,43,1,602,label_free_calibration,0.1025390767034608,2.514074560795033,-0.347997268440251,-0.7117716542438508,-0.7117716542438508,-0.347997268440251
41,13,43,2,795,label_free_calibration,0.0540352782934813,2.4355590575639776,-0.2039175538125362,-0.8424927069871604,-0.8424927069871604,-0.2039175538125362
42,14,44,0,207,label_free_calibration,0.0509880921271899,3.0929576028181445,-0.1880146542676105,0.4921547105535097,-0.1880146542676105,0.4921547105535097
43,14,44,1,602,label_free_calibration,0.0666379009014031,2.5881669990208063,0.8202330546003622,-0.592365629673913,-0.592365629673913,0.8202330546003622
44,14,44,2,795,label_free_calibration,0.0481519149366543,4.199449614823851,0.0540975136324995,0.8841915025853591,0.0540975136324995,0.8841915025853591
45,15,45,0,207,label_free_calibration,0.0463688189904328,6.73927265922827,0.0363412029691922,5.072209568889184,0.0363412029691922,5.072209568889184
46,15,45,1,602,label_free_calibration,0.0316467610425408,3.661949267151957,1.9588506543764412,1.1381223251229555,1.1381223251229555,1.9588506543764412
47,15,45,2,795,label_free_calibration,0.0467371928446634,6.848315519922656,0.116140191237555,3.477183971865457,0.116140191237555,3.477183971865457
48,16,46,0,207,label_free_calibration,0.0378747559806311,3.128753783093124,0.4488937261839897,0.5371174926614523,0.4488937261839897,0.5371174926614523
49,16,46,1,602,label_free_calibration,0.0676784328003605,2.8466299652522715,0.7863739708991708,-0.1758314186899115,-0.1758314186899115,0.7863739708991708
50,16,46,2,795,label_free_calibration,0.0427080853754008,2.603641803270514,0.2928368139642099,-0.6779553882070638,-0.6779553882070638,0.2928368139642099
51,17,47,0,207,label_free_calibration,0.0984382824239555,2.4566519696064137,-2.492647397321628,-0.3070945758334294,-2.492647397321628,-0.3070945758334294
52,17,47,1,602,label_free_calibration,0.099384516020545,1.9865648737751729,-0.2453473311241948,-1.5618966623754242,-1.5618966623754242,-0.2453473311241948
53,17,47,2,795,label_free_calibration,0.0334902340148229,4.165689783830572,0.6970859477080935,0.8511437792705486,0.6970859477080935,0.8511437792705486
54,18,48,0,207,label_free_calibration,0.0555417395169874,9.42093283505025,-0.4091831007841487,8.440582988812693,-0.4091831007841487,8.440582988812693
55,18,48,1,602,label_free_calibration,0.0753886575047267,6.7148813878477895,0.5354819570342324,6.05817215130553,0.5354819570342324,6.05817215130553
56,18,48,2,795,label_free_calibration,0.0598067896978648,2.93110565201119,-0.4570273507000293,-0.3573988465899159,-0.4570273507000293,-0.3573988465899159
57,19,49,0,207,label_free_calibration,0.0468269578504443,2.0862248815618303,0.0140896206036748,-0.7723797632105307,-0.7723797632105307,0.0140896206036748
58,19,49,1,602,label_free_calibration,0.1818546070642687,2.9178010706650266,-2.9289380199750075,-0.0611333608977072,-2.9289380199750075,-0.0611333608977072
59,19,49,2,795,label_free_calibration,0.0308527157772485,5.913499220364378,0.8127543850765934,2.562086072704538,0.8127543850765934,2.562086072704538
