family,gamma,response,actual_rms_mean,actual_rms_std,actual_rms_q05,actual_rms_median,actual_rms_q95,actual_rms_min,actual_rms_max,linear_rms_mean,linear_rms_std,linear_rms_q05,linear_rms_median,linear_rms_q95,linear_rms_min,linear_rms_max,residual_rms_mean,residual_rms_std,residual_rms_q05,residual_rms_median,residual_rms_q95,residual_rms_min,residual_rms_max,relative_residual_mean,relative_residual_std,relative_residual_q05,relative_residual_median,relative_residual_q95,relative_residual_min,relative_residual_max,cosine_mean,cosine_std,cosine_q05,cosine_median,cosine_q95,cosine_min,cosine_max,magnitude_ratio_mean,magnitude_ratio_std,magnitude_ratio_q05,magnitude_ratio_median,magnitude_ratio_q95,magnitude_ratio_min,magnitude_ratio_max
v500,0.009999999776482582,frozen,0.0013872532563254936,0.0007118753145860607,0.0007223259482998401,0.001195596531033516,0.0029065213748253873,0.0005698003224097192,0.004461976233869791,0.0013812631286782562,0.0006867366349423695,0.0007234354969114065,0.0011964150471612811,0.0029324878472834826,0.0005688232486136258,0.004393402021378279,3.873841972801273e-05,8.700636719017566e-05,3.656928981854435e-06,1.6352426428056788e-05,9.81278008111985e-05,1.2955582633367158e-06,0.0008175044786185026,0.020660745172790485,0.022479369346528492,0.004341372498311103,0.013411061838269234,0.053673202730715255,0.0015822206623852253,0.18546335399150848,0.9996238886378706,0.0012314683061953526,0.9989132583141327,0.999914675951004,0.9999909043312073,0.9872541427612305,0.9999988079071045,1.001339967828244,0.015396557518842969,0.9892854928970337,0.9996477663516998,1.0122285068035126,0.9690612554550171,1.1210371255874634
v500,0.009999999776482582,closed,0.0013889428496440814,0.0007137224922003619,0.0007221821550047025,0.0011964529985561967,0.002916630858089774,0.0005706680822186172,0.004483116790652275,0.0013812631286782562,0.0006867366349423695,0.0007234354969114065,0.0011964150471612811,0.0029324878472834826,0.0005688232486136258,0.004393402021378279,4.04671559373071e-05,8.543881203101894e-05,4.584123894346704e-06,1.8865281163016334e-05,0.00010588776058284555,2.342850621062098e-06,0.0007820703322067857,0.021807616720252554,0.022221389196055763,0.005251981201581657,0.014028876554220915,0.0543071374297142,0.002860825276002288,0.17869336903095245,0.9996089027263224,0.0011794847887792966,0.9987928479909897,0.9999050199985504,0.9999866664409638,0.9879725575447083,0.9999960064888,1.0022562192752957,0.015424583730015203,0.9903246760368347,1.0002606511116028,1.0164243817329406,0.9700719118118286,1.1130772829055786
v500,0.019999999552965164,frozen,0.002809352358781325,0.001593640352996181,0.0014432116935495288,0.0023894462501630187,0.005773958330973979,0.0011401850497350097,0.012317442335188389,0.0027625262573565124,0.001373473269884739,0.001446870993822813,0.0023928300943225622,0.005864975694566965,0.0011376464972272515,0.008786804042756557,0.00016461139535550728,0.0005893594603048301,1.2071513674527525e-05,5.2016803238075227e-05,0.00038431718567153426,4.963822448189603e-06,0.006271359045058489,0.03571001941418217,0.052924672904168565,0.006890085712075234,0.02230483666062355,0.0953812118619678,0.0030321648810058832,0.5091446042060852,0.9984138333238661,0.00908016010086113,0.9970883399248123,0.9997828304767609,0.9999781399965286,0.8993611335754395,0.9999956488609314,1.005923761986196,0.05569379586711081,0.9782209277153016,0.9992647767066956,1.024712324142456,0.9371840357780457,1.5663127899169922
v500,0.019999999552965164,closed,0.0028145091546321055,0.0015873618004978954,0.0014441970444750041,0.0023908299626782537,0.005814573634415862,0.0011437073117122054,0.01193709671497345,0.0027625262573565124,0.001373473269884739,0.001446870993822813,0.0023928300943225622,0.005864975694566965,0.0011376464972272515,0.008786804042756557,0.0001705786776540208,0.0005565716482965997,1.583249168106704e-05,5.80389350943733e-05,0.0004182410528301258,9.29229281609878e-06,0.005832225549966097,0.038282792003883515,0.051873828221516205,0.009361518267542123,0.024564990773797035,0.0966624595224856,0.005674721673130989,0.4885798990726471,0.9983852473087609,0.008423099032552043,0.9967790454626083,0.999727189540863,0.9999571472406388,0.9071908593177795,0.9999839663505554,1.0075935102067888,0.052553538841309706,0.981726023554802,1.0003681182861328,1.0342893421649932,0.9385018348693848,1.5179473161697388
v500,0.05000000074505806,frozen,0.007168406204073108,0.004749174490756965,0.003604861767962575,0.0060191163793206215,0.01458955849520861,0.0028507786337286234,0.04209763929247856,0.006906315940796048,0.0034336832835774335,0.003617177507840097,0.005982075817883015,0.01466244044713676,0.002844116184860468,0.02196701057255268,0.0009190832827243867,0.0030257547918524654,5.945021457591793e-05,0.00026540773978922516,0.002659700752701605,3.0625400540884584e-05,0.030932560563087463,0.07586000198352849,0.0968805897876057,0.015235015423968434,0.04426336847245693,0.2463936552405355,0.007490873336791992,0.7347813844680786,0.993310664780438,0.027312293759141876,0.9840680480003356,0.9991433620452881,0.9998901337385178,0.7261039018630981,0.9999733567237854,1.0153380739502609,0.11970640802203263,0.9497913509607315,0.9979049563407898,1.0726965069770813,0.8565510511398315,2.1412909030914307
v500,0.05000000074505806,closed,0.007224880135254352,0.0048081981624673925,0.0036115044145844876,0.005976152839139104,0.014842558605596414,0.0028730856720358133,0.04199570417404175,0.006906315940796048,0.0034336832835774335,0.003617177507840097,0.005982075817883015,0.01466244044713676,0.002844116184860468,0.02196701057255268,0.0009920624569303982,0.0030493678396548178,8.340506683452986e-05,0.00030629329557996243,0.002769391820766029,5.5170152336359024e-05,0.03087850660085678,0.08374760278093163,0.09938183537076777,0.021515364944934844,0.05057425983250141,0.24492341876029933,0.014169581234455109,0.7352777719497681,0.9925556718371809,0.02794823457174951,0.9802315890789032,0.9988605082035065,0.9997694045305252,0.724698543548584,0.9999001026153564,1.0212720879353583,0.1223863506649823,0.9607791662216186,1.0005677342414856,1.104989331960678,0.8573392033576965,2.136106014251709
v500,0.10000000149011612,frozen,0.013996645633596927,0.007394215854478102,0.007211361080408096,0.012042093090713024,0.02786818370223045,0.005701380781829357,0.0501231774687767,0.013812631881592097,0.006867366567154867,0.007234355015680194,0.01196415163576603,0.02932488089427352,0.005688232369720936,0.04393402114510536,0.002513846575993739,0.004059476817897979,0.00020899887895211577,0.000916715624043718,0.010110092954710116,0.00012029161734972149,0.02855956181883812,0.1312677894893568,0.12644419133056214,0.028335678298026325,0.08293467015028,0.4531946554780006,0.014731228351593018,0.60474693775177,0.9856205461546779,0.032007729623140774,0.9271267920732499,0.996685802936554,0.9996284931898117,0.8047277927398682,0.9998964667320251,1.0097062555141747,0.09284070511149732,0.9096263974905014,0.9960874915122986,1.1715532481670379,0.7436482310295105,1.450584888458252
v500,0.10000000149011612,closed,0.014233665686333552,0.007721795546104941,0.007243322511203587,0.012069922406226397,0.029273441247642036,0.005792140029370785,0.05003080517053604,0.013812631881592097,0.006867366567154867,0.007234355015680194,0.01196415163576603,0.02932488089427352,0.005688232369720936,0.04393402114510536,0.0028318733344576685,0.004371357809084445,0.0003191756244632415,0.00114072096766904,0.011435817228630182,0.00021893513621762395,0.028858592733740807,0.1469741175096715,0.13099706396029934,0.04217910896986723,0.09906068444252014,0.47138582170009596,0.028441322967410088,0.6304654479026794,0.9829422379843891,0.03552860524018899,0.9178504288196564,0.9956575930118561,0.9991140335798263,0.7872534394264221,0.9995975494384766,1.022557384800166,0.10831226181069928,0.9266897350549698,1.001928448677063,1.2326843380928032,0.7582451701164246,1.5246316194534302
v500,0.20000000298023224,frozen,0.027441240345069673,0.013106944840369129,0.014034044835716486,0.023988915607333183,0.053931340761482705,0.011401745490729809,0.0857943668961525,0.027625263763184194,0.013734733134309734,0.014468710031360387,0.02392830327153206,0.05864976178854704,0.011376464739441872,0.08786804229021072,0.00783071406021918,0.009584358166926519,0.0008116408687783405,0.003745516180060804,0.030550554208457426,0.0004697112599387765,0.045590952038764954,0.2249489437235752,0.18272187182929367,0.052347649820148945,0.1700657606124878,0.5786880016326902,0.028868915513157845,1.1853482723236084,0.9679256919771433,0.045217496833830674,0.8627610355615616,0.987678736448288,0.998696717619896,0.7925403714179993,0.9996092915534973,1.0044861626811326,0.14003441188567198,0.8441683918237686,0.9915438890457153,1.298609513044357,0.5179063081741333,1.6141549348831177
v500,0.20000000298023224,closed,0.028748237353283912,0.015733664537903386,0.014181980118155479,0.024205011315643787,0.059448305517435046,0.011616791598498821,0.1069379448890686,0.027625263763184194,0.013734733134309734,0.014468710031360387,0.02392830327153206,0.05864976178854704,0.011376464739441872,0.08786804229021072,0.00955676598368882,0.01267912764503184,0.0012399082246702165,0.004636269761249423,0.03785800542682407,0.0008525618468411267,0.08861861377954483,0.25760053188423626,0.1909315213540386,0.07978889048099518,0.18881609290838242,0.622130087018013,0.056627728044986725,1.1588748693466187,0.9577192068099976,0.05811845888241853,0.8286052018404007,0.9843116104602814,0.9969499677419662,0.6916868686676025,0.9984086751937866,1.044115490745753,0.2672393302922775,0.8423239409923553,1.0032168626785278,1.3466872572898863,0.5315394401550293,3.5052409172058105
