family,sampling_progress,kappa,gamma,strong_error_rms,guided_error_l2,relative_equality_residual
constant_ratio,0.56,3.0,0.5000000000000001,0.24479607839996123,1.7554167342883506e-16,1.4999086393537217e-16
constant_ratio,0.5700000000000001,3.0,0.5000000000000003,0.2412483091477879,4.577566798522237e-16,3.487262473526535e-16
constant_ratio,0.58,3.0,0.49999999999999994,0.2377005398956146,1.6653345369377348e-16,1.9142308310072557e-16
constant_ratio,0.59,3.0,0.5000000000000001,0.23415277064344123,1.5700924586837752e-16,1.4108627756666343e-16
constant_ratio,0.6,3.0,0.5000000000000002,0.2306050013912679,3.3766115072321297e-16,5.430104400959692e-16
constant_ratio,0.61,3.0,0.5000000000000001,0.22705723213909454,1.2412670766236366e-16,3.5986610693575943e-16
constant_ratio,0.62,3.0,0.5,0.2235094628869212,5.551115123125783e-17,3.5847898442903157e-17
constant_ratio,0.63,3.0,0.4999999999999999,0.2199616936347478,1.594436429147036e-16,3.9610756355910437e-16
constant_ratio,0.64,3.0,0.5000000000000002,0.21641392438257448,2.498001805406602e-16,3.05862154124088e-16
constant_ratio,0.65,3.0,0.5000000000000004,0.2128661551304011,4.611102534756203e-16,4.776017810076831e-16
constant_ratio,0.66,3.0,0.5000000000000001,0.20931838587822776,1.2719202621569003e-16,3.83260824020097e-16
constant_ratio,0.67,3.0,0.5000000000000001,0.20577061662605442,0.0,1.7522205532005252e-16
constant_ratio,0.68,3.0,0.5,0.20222284737388105,1.2412670766236366e-16,3.6796706283611645e-16
constant_ratio,0.6900000000000001,3.0,0.5000000000000001,0.1986750781217077,1.5700924586837752e-16,1.7228507543883396e-16
constant_ratio,0.7000000000000001,3.0,0.5000000000000001,0.19512730886953433,1.1443916996305594e-16,1.754175313559037e-16
constant_ratio,0.71,3.0,0.5000000000000001,0.19157953961736102,2.7755575615628914e-17,2.2228989272476233e-16
constant_ratio,0.72,3.0,0.5000000000000001,0.18803177036518767,1.1443916996305594e-16,3.0801475964468643e-16
constant_ratio,0.73,3.0,0.5000000000000001,0.1844840011130143,1.1443916996305594e-16,9.711490921994116e-17
constant_ratio,0.74,3.0,0.5,0.18093623186084096,1.1102230246251565e-16,3.9607649250485816e-16
constant_ratio,0.75,3.0,0.5000000000000001,0.17738846260866756,1.1443916996305594e-16,1.9295928449149409e-16
constant_ratio,0.76,3.0,0.5000000000000001,0.17384069335649424,1.2719202621569003e-16,2.7654093084525296e-16
constant_ratio,0.77,3.0,0.5000000000000001,0.17029292410432087,0.0,2.1172665017839683e-16
constant_ratio,0.78,3.0,0.5,0.16674515485214747,1.2412670766236366e-16,4.462579272693328e-16
constant_ratio,0.79,3.0,0.5000000000000002,0.16319738559997413,2.0014830212433605e-16,1.0978207129210741e-16
constant_ratio,0.8,3.0,0.5000000000000001,0.15964961634780078,1.1443916996305594e-16,4.084930552494559e-16
constant_ratio,0.81,3.0,0.5000000000000002,0.15610184709562744,1.594436429147036e-16,5.557865071827595e-16
constant_ratio,0.8200000000000001,3.0,0.5,0.15255407784345407,0.0,1.1744128556830102e-16
constant_ratio,0.8300000000000001,3.0,0.4999999999999998,0.14900630859128072,2.0206364052201326e-16,5.302733052119931e-16
constant_ratio,0.84,3.0,0.5000000000000002,0.1454585393391074,1.5700924586837752e-16,6.183091392131908e-16
constant_ratio,0.85,3.0,0.5000000000000001,0.14191077008693403,1.2412670766236366e-16,4.110382079434623e-16
constant_ratio,0.86,3.0,0.49999999999999983,0.1383630008347607,2.0206364052201326e-16,1.365760836195928e-16
constant_ratio,0.87,3.0,0.5000000000000002,0.13481523158258735,2.0770370905276122e-16,1.4557817765216138e-16
constant_ratio,0.88,3.0,0.5000000000000002,0.131267462330414,1.6883057536160649e-16,1.398563461019011e-16
constant_ratio,0.89,3.0,0.5,0.12771969307824063,1.1102230246251565e-16,5.173163510777662e-16
constant_ratio,0.9,3.0,0.5,0.12417192382606729,0.0,4.194204117819671e-16
constant_ratio,0.91,3.0,0.49999999999999983,0.12062415457389392,1.594436429147036e-16,1.4945410600828014e-16
constant_ratio,0.92,3.0,0.5000000000000003,0.11707638532172056,2.0770370905276122e-16,5.132767277052044e-17
constant_ratio,0.93,3.0,0.5,0.11352861606954721,5.551115123125783e-17,3.3290420382275756e-16
constant_ratio,0.9400000000000001,3.0,0.49999999999999983,0.10998084681737387,1.2412670766236366e-16,4.621952719429195e-16
