sigma,noise_variance,target_variance,strong_variance,weak_variance,gamma,edm2_guidance,raw_clean_gap_rms,clean_correction_rms,ode_drift_correction_rms,score_correction_rms,tilted_marginal_variance,target_marginal_variance
3.6563042888268606,13.368561052493694,1.0,2.0,4.0,0.604394587218577,1.604394587218577,0.3796857098066907,0.22947998785140722,0.06276282544444263,0.01716564609686256,14.36856105249369,14.368561052493694
3.5025767457489585,12.268043859861365,1.0,2.0,4.0,0.6130535907058475,1.6130535907058476,0.38504278912532724,0.23605186444867632,0.06739377366539365,0.01924119828271822,13.268043859861363,13.268043859861365
3.3553126027696196,11.25812266230464,1.0,2.0,4.0,0.6223678406003147,1.6223678406003148,0.3896949865576617,0.24253362727666058,0.07228346684492612,0.0215429902970174,12.25812266230464,12.25812266230464
3.2142401093619135,10.331339480630886,1.0,2.0,4.0,0.6323762298856204,1.6323762298856204,0.39357745748111034,0.24888902872987262,0.07743324090970967,0.024090683419752863,11.331339480630886,11.331339480630886
3.0790989406182168,9.480850286116224,1.0,2.0,4.0,0.6431181592191065,1.6431181592191066,0.3966287613772932,0.25507915891031907,0.08284214435119927,0.026904671122574046,10.480850286116224,10.480850286116224
3.0,9.0,1.0,2.0,4.0,0.65,1.65,0.3980489362449709,0.2587318085592311,0.08624393618641037,0.028747978728803456,10.0,10.0
2.94963971686557,8.7003744593108,1.0,2.0,4.0,0.6546332057893127,1.6546332057893127,0.39879223018728144,0.2610626360913696,0.08850661814683843,0.03000590805743891,9.700374459310801,9.7003744593108
2.825623543478581,7.9841484094604525,1.0,2.0,4.0,0.6669607325743279,1.6669607325743279,0.40001736878592203,0.26679587732791366,0.09442017778471135,0.03341569615762478,8.984148409460452,8.984148409460452
2.706821570040695,7.326883012037572,1.0,2.0,4.0,0.6801394348679521,1.6801394348679521,0.4002612433111869,0.2722334558252145,0.10057310715945038,0.037155425489659576,8.326883012037573,8.326883012037573
2.593014568040288,6.723724550069161,1.0,2.0,4.0,0.6942068221460032,1.6942068221460032,0.3994898074209939,0.2773285496894469,0.1069521757060711,0.0412462687345802,7.72372455006916,7.723724550069161
2.4839925263223273,6.1702188708251775,1.0,2.0,4.0,0.709198634940327,1.709198634940327,0.39767911290741415,0.28203348401821826,0.11354039153885163,0.04570882977130119,7.170218870825177,7.1702188708251775
2.379554263549093,5.662278493174666,1.0,2.0,4.0,0.7251481984034008,1.7251481984034007,0.3948163500655082,0.2863003649502097,0.12031680442672242,0.050562748776012585,6.662278493174667,6.662278493174666
2.2795070569547784,5.196152422706636,1.0,2.0,4.0,0.7420857166946132,1.7420857166946133,0.3909006652549959,0.2900818003321547,0.1272563730158741,0.055826268502926886,6.196152422706636,6.196152422706636
2.183666286708921,4.768398451709128,1.0,2.0,4.0,0.7600375151885638,1.7600375151885639,0.3859437084764589,0.29333169719310725,0.13432991065461636,0.06151576890307246,5.768398451709127,5.768398451709128
2.0918550952324275,4.375857739449868,1.0,2.0,4.0,0.7790252407522786,1.7790252407522786,0.3799698725248827,0.29600612142230937,0.1415041233481901,0.06764527986221124,5.375857739449869,5.375857739449868
2.003904060837464,4.015631485040878,1.0,2.0,4.0,0.7990650338793331,1.7990650338793333,0.3730161971052588,0.2980642001774536,0.14874175166494136,0.0742259844529582,5.015631485040878,5.015631485040878
1.9196508850890046,3.685059520622999,1.0,2.0,4.0,0.820166690176977,1.8201666901769769,0.36513192562051966,0.29946904291412774,0.1560018257696075,0.0812657275243954,4.685059520623,4.685059520622999
1.8389400933111306,3.38170066678715,1.0,2.0,4.0,0.8423328324022334,1.8423328324022334,0.35637771832020837,0.30018865287770646,0.16324003917778385,0.08876854649672661,4.381700666787149,4.38170066678715
1.7616227476853743,3.103314705162568,1.0,2.0,4.0,0.8655581177121954,1.8655581177121954,0.3468245420661983,0.3001967978072127,0.17040924238838667,0.09673424268180587,4.103314705162567,4.103314705162568
1.6875561724117103,2.847845835044862,1.0,2.0,4.0,0.889828507768818,1.889828507768818,0.33655227294809037,0.2994738068236032,0.17746005242339338,0.1051580121151065,3.8478458350448617,3.847845835044862
1.6166036904250325,2.6134074918958343,1.0,2.0,4.0,0.915120631526947,1.9151206315269471,0.32564806217956493,0.29800726031728997,0.1843415687359583,0.1140301545937284,3.6134074918958348,3.6134074918958343
1.5486343711812445,2.3982684156039284,1.0,2.0,4.0,0.9414012716336373,1.9414012716336373,0.3142045270581084,0.2957925413255489,0.1910021802628135,0.12333587825325333,3.398268415603928,3.3982684156039284
1.4835227890475624,2.2008398656234585,1.0,2.0,4.0,0.9686270050900627,1.9686270050900627,0.3023178364323754,0.29283322048879923,0.19739044297176,0.1330552145400387,3.2008398656234585,3.2008398656234585
1.4211487918511934,2.0196638885801064,1.0,2.0,4.0,0.9967440269338466,1.9967440269338466,0.2900857635676221,0.28914125213457137,0.20345600249072793,0.14316305488724052,3.019663888580107,3.0196638885801064
1.3613972791592601,1.8534025517022363,1.0,2.0,4.0,1.025688182028559,2.025688182028559,0.27760577837075884,0.2847369661377267,0.20915053268915587,0.15362931591748014,2.853402551702236,2.8534025517022363
1.3041579898808386,1.7008280625700296,1.0,2.0,4.0,1.0553852245494826,2.0553852245494824,0.2649732458485138,0.27964884856943895,0.21442865875091602,0.16441923479724144,2.70082806257003,2.7008280625700296
1.2493252987991774,1.560813702219654,1.0,2.0,4.0,1.0857513175206126,2.0857513175206126,0.25227978898180753,0.27391311327081963,0.2192488325771507,0.17549379075881005,2.560813702219654,2.560813702219654
1.1967980216586085,1.432325504645959,1.0,2.0,4.0,1.1166937760323878,2.116693776032388,0.23961186273287124,0.2675730757773242,0.22357412941450408,0.18681024313915479,2.4323255046459593,2.4323255046459593
1.146479228446487,1.3144146212592522,1.0,2.0,4.0,1.1481120479544256,2.1481120479544256,0.22704957265706285,0.26067834985047755,0.2273729374091708,0.19832277093870057,2.314414621259252,2.3144146212592522
1.09827606452561,1.2062103139098619,1.0,2.0,4.0,1.1798989155941753,2.1798989155941753,0.2146657576295706,0.2532838946423324,0.23061951618852408,0.2099831942419122,2.206210313909862,2.206210313909862
1.0520995792870258,1.1069135247359367,1.0,2.0,4.0,1.2119418914869786,2.211941891486979,0.2025253425352954,0.24544894670627415,0.23329440628862055,0.2217417541852043,2.1069135247359365,2.106913524735937
1.0078645620070545,1.0157909753496719,1.0,2.0,4.0,1.2441247720338664,2.2441247720338664,0.19068495429077958,0.2372358752873044,0.2353846778925082,0.23354792574883748,2.015790975349672,2.015790975349672
1.0,1.0,1.0,2.0,4.0,1.25,2.25,0.1885618083164128,0.235702260395516,0.235702260395516,0.235702260395516,2.0,2.0
0.9654893846056294,0.9321697517861569,1.0,2.0,4.0,1.2763293047173283,2.2763293047173283,0.1791927839523829,0.2287090013523073,0.23688401446871152,0.245351236632675,1.9321697517861571,1.932169751786157
0.9248958510157766,0.8554323352261977,1.0,2.0,4.0,1.3084369187287734,2.3084369187287734,0.16808866936105324,0.21993342061199608,0.23779263402517362,0.25710206588559714,1.8554323352261972,1.8554323352261977
0.8860090528862861,0.7850120417964537,1.0,2.0,4.0,1.3403304654966839,2.3403304654966837,0.15740436698471708,0.2109738684718367,0.2381170573647783,0.26875239771995785,1.785012041796454,1.7850120417964537
0.8487572313512985,0.7203888377711217,1.0,2.0,4.0,1.3718959150789132,2.3718959150789134,0.1471639783256199,0.20189366071167963,0.23786973854731888,0.2802565088825325,1.7203888377711214,1.7203888377711216
0.8130716446117171,0.6610854992716024,1.0,2.0,4.0,1.4030239567185196,2.4030239567185196,0.13738449525957572,0.19275373813086663,0.23706857742273907,0.29157157182126464,1.6610854992716027,1.6610854992716024
0.7788864410840938,0.6066640881046454,1.0,2.0,4.0,1.433611456872435,2.433611456872435,0.1280764296317108,0.1836118368753368,0.2357363374046883,0.3026581603816064,1.6066640881046457,1.6066640881046454
0.7461385378829172,0.5567227177140575,1.0,2.0,4.0,1.463562735310145,2.463562735310145,0.11924449493442671,0.1745217991769063,0.23389999352143365,0.31348064956555943,1.5567227177140577,1.5567227177140575
0.7147675044120463,0.5108925853634246,1.0,2.0,4.0,1.4927906288845778,2.4927906288845776,0.1108883114949761,0.16553303225253435,0.23159003624360144,0.32400750567711223,1.5108925853634245,1.5108925853634245
0.684715450850486,0.4688352486333843,1.0,2.0,4.0,1.5212173226341155,2.5212173226341155,0.10300311087323744,0.1566901165455712,0.22883975577146123,0.334211467679339,1.4688352486333842,1.4688352486333844
0.6559269213267312,0.4302401261211639,1.0,2.0,4.0,1.5487749382811864,2.5487749382811864,0.09558041973162751,0.14803255867074128,0.22568452956820031,0.34406962457298196,1.4302401261211637,1.430240126121164
0.628348791584537,0.39482220388574796,1.0,2.0,4.0,1.5754058802772453,2.5754058802772453,0.08860870797098738,0.13959467958126273,0.2221611331968033,0.35356339690981026,1.3948222038857478,1.3948222038857478
0.6019301709512821,0.3623199307014397,1.0,2.0,4.0,1.6010629487213555,2.6010629487213555,0.08207399018597093,0.1314056247404782,0.2183070912242305,0.3626784330800714,1.3623199307014398,1.3623199307014398
0.5766223084280314,0.33249328657687177,1.0,2.0,4.0,1.6257092362945011,2.625709236294501,0.07596037331342168,0.12348948048800795,0.21416008136185516,0.3714044327311777,1.332493286576872,1.3324932865768717
0.5523785027279897,0.30512201027601576,1.0,2.0,4.0,1.64931783250117,2.64931783250117,0.07025054662858932,0.1158654792974873,0.20975740135662643,0.37973491061059306,1.3051220102760157,1.3051220102760157
0.5291540160973462,0.28000397275195055,1.0,2.0,4.0,1.671871362848248,2.6718713628482478,0.0649262129462112,0.10854827612295768,0.205135504637252,0.3876669143516698,1.2800039727519508,1.2800039727519505
