method,noise_variance,sigma,gamma,variance,target_variance,variance_ratio
constant_0.5,3.5481338923357533,1.8836490894898001,0.5,4.755962132780258,4.548133892335754,1.0456952775279382
constant_0.5,3.1622776601683795,1.7782794100389228,0.5,4.382018927156688,4.16227766016838,1.0527935147362126
constant_0.5,2.8183829312644537,1.6788040181225603,0.5,4.0499443833843625,3.8183829312644537,1.0606438527220283
constant_0.5,2.5118864315095797,1.5848931924611134,0.5,3.7551009442120997,3.5118864315095797,1.0692546633969524
constant_0.5,2.238721138568339,1.4962356560944332,0.5,3.4933513472929096,3.238721138568339,1.0786206029572305
constant_0.5,1.9952623149688788,1.412537544622754,0.5,3.2610063097394733,2.995262314968879,1.0887214430076904
constant_0.5,1.7782794100389228,1.333521432163324,0.5,3.054777786864292,2.7782794100389228,1.0995214433171412
constant_0.5,1.5848931924611134,1.258925411794167,0.5,2.8717371154019973,2.5848931924611134,1.1109693521486572
constant_0.5,1.412537544622754,1.1885022274370183,0.5,2.7092774488265126,2.412537544622754,1.1229990823832587
constant_0.5,1.2589254117941668,1.1220184543019633,0.5,2.5650799810398093,2.258925411794167,1.1355310660755624
constant_0.5,1.122018454301963,1.0592537251772887,0.5,2.437083532416407,2.122018454301963,1.14847424039867
constant_0.5,1.0,1.0,0.5,2.3234571404282804,2.0,1.1617285702141402
constant_0.5,0.891250938133745,0.9440608762859231,0.5,2.2225753516817837,1.891250938133745,1.1751879704948007
constant_0.5,0.7943282347242814,0.8912509381337455,0.5,2.132995957488046,1.7943282347242815,1.1887434618760289
constant_0.5,0.707945784384138,0.8413951416451951,0.5,2.053439949699324,1.7079457843841381,1.202286377280861
constant_0.5,0.630957344480193,0.7943282347242814,0.5,1.9827734998495086,1.630957344480193,1.2157114387816463
constant_0.5,0.5623413251903491,0.7498942093324559,0.5,1.9199917849097865,1.562341325190349,1.2289195414298235
constant_0.5,0.501187233627272,0.7079457843841377,0.5,1.8642044980998156,1.501187233627272,1.2418201116694794
constant_0.5,0.44668359215096304,0.6683439175686146,0.5,1.8146228953154608,1.446683592150963,1.2543329482415964
constant_0.5,0.3981071705534969,0.630957344480193,0.5,1.7705482376394304,1.3981071705534969,1.2663894978369132
constant_0.5,0.3548133892335753,0.5956621435290104,0.5,1.731361499266082,1.3548133892335752,1.2779335612010168
constant_0.5,0.31622776601683794,0.5623413251903491,0.5,1.6965142186666051,1.316227766016838,1.2889214636465147
constant_0.5,0.2818382931264452,0.5308844442309882,0.5,1.665520378819864,1.2818382931264451,1.299321753571276
constant_0.5,0.25118864315095796,0.5011872336272722,0.5,1.6379492106618452,1.251188643150958,1.309114512530165
constant_0.5,0.22387211385683378,0.4731512589614803,0.5,1.6134188219829144,1.2238721138568338,1.3182903701420956
constant_0.5,0.19952623149688786,0.446683592150963,0.5,1.5915905621948034,1.199526231496888,1.3268493180083762
constant_0.5,0.1778279410038923,0.4216965034285823,0.5,1.5721640413179727,1.1778279410038923,1.3347994104962206
constant_0.5,0.15848931924611126,0.39810717055349715,0.5,1.5548727292905584,1.1584893192461112,1.342155429022336
constant_0.5,0.1412537544622754,0.37583740428844414,0.5,1.539480069057797,1.1412537544622754,1.3489375724184618
constant_0.5,0.12589254117941662,0.3548133892335753,0.5,1.5257760438246768,1.1258925411794167,1.3551702209754106
constant_0.5,0.1122018454301963,0.3349654391578276,0.5,1.5135741452931752,1.1122018454301963,1.3608808073032188
constant_0.5,0.1,0.31622776601683794,0.5,1.5027086956252351,1.1,1.3660988142047592
constant_0.5,0.0891250938133745,0.2985382618917959,0.5,1.4930324812605584,1.0891250938133745,1.3708549089002946
constant_0.5,0.07943282347242814,0.28183829312644537,0.5,1.4844146615910503,1.0794328234724282,1.3751802143794698
constant_0.5,0.07079457843841373,0.26607250597988086,0.5,1.4767389198542717,1.0707945784384136,1.3791057123280026
constant_0.5,0.0630957344480193,0.25118864315095796,0.5,1.4699018274944033,1.0630957344480194,1.3826617677641289
constant_0.5,0.056234132519034905,0.23713737056616552,0.5,1.463811396701485,1.056234132519035,1.3858777629259247
constant_0.5,0.0501187233627272,0.2238721138568339,0.5,1.4583857988884228,1.0501187233627272,1.3887818267046306
constant_0.5,0.0446683592150963,0.21134890398366465,0.5,1.4535522295572942,1.0446683592150963,1.3914006457029193
constant_0.5,0.03981071705534969,0.1995262314968879,0.5,1.44924590237323,1.0398107170553497,1.3937593435056757
constant_0.5,0.03548133892335753,0.18836490894898,0.5,1.4454091573421157,1.0354813389233575,1.3958814157336539
constant_0.5,0.03162277660168379,0.17782794100389226,0.5,1.4419906698107254,1.0316227766016839,1.3977887097072956
constant_0.5,0.028183829312644522,0.16788040181225597,0.5,1.4389447486050368,1.0281838293126446,1.3995014389275036
constant_0.5,0.025118864315095794,0.15848931924611132,0.5,1.4362307130218164,1.0251188643150957,1.401038223973562
constant_0.5,0.022387211385683378,0.1496235656094433,0.5,1.43381233961459,1.0223872113856833,1.4024161527522292
constant_0.5,0.01995262314968879,0.1412537544622754,0.5,1.4316573707896023,1.0199526231496887,1.403650854260798
constant_0.5,0.01778279410038923,0.1333521432163324,0.5,1.4297370781694456,1.0177827941003892,1.4047565811261133
constant_0.5,0.015848931924611124,0.12589254117941667,0.5,1.4280258745085648,1.0158489319246111,1.4057462971418888
constant_0.5,0.01412537544622754,0.11885022274370183,0.5,1.4265009686704617,1.0141253754462276,1.4066317668491273
constant_0.5,0.012589254117941661,0.11220184543019629,0.5,1.4251420588140142,1.0125892541179418,1.4074236448968085
constant_0.5,0.01122018454301963,0.10592537251772886,0.5,1.4239310594969867,1.0112201845430195,1.4081315634937364
constant_0.5,0.01,0.1,0.5,1.4228518588982835,1.01,1.4087642167309737
constant_0.5,0.008912509381337459,0.09440608762859236,0.5,1.4218901027952144,1.0089125093813374,1.4093294409315174
constant_0.5,0.007943282347242805,0.0891250938133745,0.5,1.4210330023152968,1.0079432823472427,1.4098342904831644
constant_0.5,0.0070794578438413735,0.08413951416451948,0.5,1.4202691628203241,1.0070794578438413,1.4102851088444626
constant_0.5,0.006309573444801929,0.07943282347242812,0.5,1.4195884315791043,1.006309573444802,1.4106875945933466
constant_0.5,0.005623413251903491,0.07498942093324558,0.5,1.4189817621492262,1.0056234132519035,1.411046862523455
constant_0.5,0.005011872336272725,0.0707945784384138,0.5,1.4184410936216811,1.0050118723362726,1.4113674998926549
constant_0.5,0.004466835921509625,0.06683439175686141,0.5,1.4179592430887848,1.0044668359215096,1.411653617999177
constant_0.5,0.003981071705534969,0.0630957344480193,0.5,1.417529809878833,1.003981071705535,1.4119088993090008
constant_0.5,0.0035481338923357532,0.059566214352901034,0.5,1.4171470902630707,1.0035481338923358,1.4121366403886983
constant_0.5,0.0031622776601683794,0.05623413251903491,0.5,1.4168060014843233,1.0031622776601683,1.4123397909149462
constant_0.5,0.002818382931264455,0.053088444423098846,0.5,1.4165020140841604,1.0028183829312645,1.4125209890386012
constant_0.5,0.002511886431509577,0.05011872336272719,0.5,1.416231091618639,1.0025118864315097,1.4126825933802971
constant_0.5,0.0022387211385683377,0.04731512589614803,0.5,1.415989636953157,1.0022387211385684,1.4128267119280298
constant_0.5,0.001995262314968879,0.04466835921509631,0.5,1.4157744444161897,1.0019952623149688,1.4129552280968298
constant_0.5,0.0017782794100389228,0.042169650342858224,0.5,1.415582657170978,1.001778279410039,1.41306982419766
constant_0.5,0.0015848931924611108,0.03981071705534969,0.5,1.4154117292347064,1.0015848931924611,1.4131720025480912
constant_0.5,0.0014125375446227527,0.037583740428844395,0.5,1.4152593916373681,1.0014125375446228,1.4132631044419137
constant_0.5,0.0012589254117941662,0.03548133892335753,0.5,1.4151236222682193,1.001258925411794,1.4133443271791186
constant_0.5,0.001122018454301963,0.03349654391578276,0.5,1.4150026190072864,1.001122018454302,1.4134167393421253
constant_0.5,0.001,0.03162277660168379,0.5,1.4148947757834736,1.001,1.4134812944889847
constant_0.5,0.0008912509381337441,0.02985382618917957,0.5,1.4147986612400436,1.0008912509381338,1.413538843419757
constant_0.5,0.0007943282347242806,0.028183829312644522,0.5,1.4147129997231653,1.0007943282347243,1.413590145158538
constant_0.5,0.0007079457843841374,0.026607250597988085,0.5,1.4146366543402837,1.0007079457843842,1.4136358767806627
constant_0.5,0.000630957344480193,0.025118864315095794,0.5,1.414568611862744,1.0006309573444803,1.4136766422026261
constant_0.5,0.0005623413251903491,0.023713737056616554,0.5,1.4145079692717244,1.0005623413251903,1.4137129800410895
constant_0.5,0.0005011872336272714,0.022387211385683378,0.5,1.4144539217684624,1.0005011872336274,1.4137453706370993
constant_0.5,0.00044668359215096256,0.021134890398366454,0.5,1.4144057520892968,1.000446683592151,1.4137742423322412
constant_0.5,0.0003981071705534969,0.01995262314968879,0.5,1.4143628209834307,1.0003981071705534,1.4137999770748289
constant_0.5,0.0003548133892335753,0.018836490894898,0.5,1.4143245587268212,1.0003548133892335,1.4138229154264228
constant_0.5,0.00031622776601683794,0.01778279410038923,0.5,1.4142904575593944,1.000316227766017,1.4138433610318375
constant_0.5,0.0002818382931264449,0.016788040181225587,0.5,1.4142600649450803,1.0002818382931264,1.413861584609357
constant_0.5,0.0002511886431509577,0.015848931924611124,0.5,1.4142329775651081,1.0002511886431509,1.4138778275120343
constant_0.5,0.00022387211385683378,0.014962356560944329,0.5,1.414208835964761,1.0002238721138568,1.413892304905696
constant_0.5,0.00019952623149688788,0.01412537544622754,0.5,1.414187319782479,1.0001995262314969,1.4139052086045123
constant_0.5,0.00017782794100389227,0.01333521432163324,0.5,1.4141681434979398,1.0001778279410038,1.4139167096007206
