id,window,input_band,mode,total_rms,out_low,out_mid,out_high
24,1,2,replay,0.10047639161348343,0.04734707251191139,0.056401412934064865,0.0683567076921463
24,2,0,recursive,0.1775006353855133,0.17320255935192108,0.028576171025633812,0.026282155886292458
24,2,0,replay,0.1774955838918686,0.17319828271865845,0.028573188930749893,0.026279496029019356
24,2,1,recursive,0.1317983865737915,0.028454065322875977,0.12414136528968811,0.03391317278146744
24,2,1,replay,0.13180920481681824,0.028453432023525238,0.12415233254432678,0.033915575593709946
24,2,2,recursive,0.1398043930530548,0.02595262974500656,0.0361531600356102,0.1325317919254303
24,2,2,replay,0.13983263075351715,0.025951940566301346,0.036160390824079514,0.13255974650382996
28,0,0,recursive,0.16301511228084564,0.09775129705667496,0.07938338071107864,0.1035223975777626
28,0,0,replay,0.16247078776359558,0.09746641665697098,0.07911112904548645,0.10314300656318665
28,0,1,recursive,0.08109422773122787,0.029499555006623268,0.04477700963616371,0.060836415737867355
28,0,1,replay,0.08097302913665771,0.029460484161973,0.044709160923957825,0.06074373424053192
28,0,2,recursive,0.027492476627230644,0.009838879108428955,0.014742379076778889,0.02101653814315796
28,0,2,replay,0.027494683861732483,0.009839295409619808,0.014743704348802567,0.02101830206811428
28,1,0,recursive,0.10448471456766129,0.0657036229968071,0.049349430948495865,0.06453466415405273
28,1,0,replay,0.10451948642730713,0.06571947038173676,0.049367718398571014,0.06456083804368973
28,1,1,recursive,0.09246397763490677,0.0334971658885479,0.05422921106219292,0.06698297709226608
28,1,1,replay,0.09281178563833237,0.03360545635223389,0.0544130764901638,0.06726007163524628
28,1,2,recursive,0.09188057482242584,0.03377118334174156,0.04753512144088745,0.07100676000118256
28,1,2,replay,0.09190478920936584,0.033784300088882446,0.04755188897252083,0.07102061808109283
28,2,0,recursive,0.12000051885843277,0.11726582795381546,0.017604941502213478,0.01840965449810028
28,2,0,replay,0.11999129503965378,0.11725667119026184,0.017603984102606773,0.018408803269267082
28,2,1,recursive,0.10666834563016891,0.02080662176012993,0.09903240948915482,0.03373129665851593
28,2,1,replay,0.10668066143989563,0.02080933377146721,0.09904342144727707,0.033736251294612885
28,2,2,recursive,0.13813132047653198,0.02655077911913395,0.03861149027943611,0.12994025647640228
28,2,2,replay,0.13817961513996124,0.026554755866527557,0.03862535580992699,0.12998664379119873
32,0,0,recursive,0.34027358889579773,0.1738647073507309,0.18104974925518036,0.22973497211933136
32,0,0,replay,0.34991687536239624,0.17783457040786743,0.18633979558944702,0.2368420511484146
32,0,1,recursive,0.06328411400318146,0.029339933767914772,0.03466537967324257,0.04407220333814621
32,0,1,replay,0.06354881823062897,0.029470594599843025,0.034807782620191574,0.04425330087542534
32,0,2,recursive,0.01707526110112667,0.007977613247931004,0.009302309714257717,0.011890722438693047
32,0,2,replay,0.01708032935857773,0.007979974150657654,0.009305160492658615,0.011894184164702892
32,1,0,recursive,0.10055430978536606,0.06189786642789841,0.049594584852457047,0.06180775538086891
32,1,0,replay,0.10057490319013596,0.06190820038318634,0.0496046282351017,0.06182285398244858
32,1,1,recursive,0.07406064867973328,0.029654884710907936,0.04598886892199516,0.049905817955732346
32,1,1,replay,0.07408607006072998,0.029670216143131256,0.046001434326171875,0.04992286488413811
32,1,2,recursive,0.08155439049005508,0.03278420493006706,0.043771229684352875,0.060501184314489365
32,1,2,replay,0.08160951733589172,0.03281820937991142,0.04379625618457794,0.06053896248340607
32,2,0,recursive,0.1363726258277893,0.13225871324539185,0.022626858204603195,0.024354595690965652
32,2,0,replay,0.13637185096740723,0.13225796818733215,0.02262662909924984,0.024354515597224236
32,2,1,recursive,0.11930254846811295,0.023169660940766335,0.11146270483732224,0.035669729113578796
32,2,1,replay,0.119313545525074,0.023170527070760727,0.11147326976060867,0.035672932863235474
32,2,2,recursive,0.15300352871418,0.029731642454862595,0.04164488986134529,0.14419366419315338
32,2,2,replay,0.15304897725582123,0.029735151678323746,0.04165895655751228,0.14423710107803345
36,0,0,recursive,0.38568660616874695,0.192275732755661,0.21632765233516693,0.25492459535598755
36,0,0,replay,0.38870516419410706,0.19354552030563354,0.2182684987783432,0.25688648223876953
36,0,1,recursive,0.05758874490857124,0.025692468509078026,0.03390232473611832,0.03882000222802162
36,0,1,replay,0.057589106261730194,0.025693995878100395,0.0339030958712101,0.038818858563899994
36,0,2,recursive,0.046656716614961624,0.017946796491742134,0.026462744921445847,0.03397770971059799
36,0,2,replay,0.04667046666145325,0.017951127141714096,0.026470400393009186,0.0339883416891098
36,1,0,recursive,0.15370912849903107,0.10174761712551117,0.07653023302555084,0.08612224459648132
36,1,0,replay,0.15365642309188843,0.10176002234220505,0.07648997008800507,0.08604927361011505
36,1,1,recursive,0.15112946927547455,0.06439704447984695,0.09174101054668427,0.10137417912483215
