provider,evidence_label,known_best_fid1k_gain,time,rms,centroid,dc_fraction,low_fraction,mid_fraction,high_fraction
raw_final_h6,depth_probe,nan,0.4000000059604645,4.29277229309082,0.3862683176994324,0.033697593957185745,0.08799467980861664,0.08951953053474426,0.8224858045578003
raw_final_h8,failed,-0.039,0.4000000059604645,1.9682143926620483,0.3889397382736206,0.03176594525575638,0.08550164848566055,0.089170902967453,0.8253275156021118
raw_final_h10,depth_probe,nan,0.4000000059604645,0.450065016746521,0.3607728183269501,0.04928697645664215,0.12930570542812347,0.11134310066699982,0.7593511939048767
depth4_v,depth_probe,nan,0.41999998688697815,0.31298530101776123,0.3077157735824585,0.016290633007884026,0.18799054622650146,0.19692102074623108,0.6150884628295898
depth6_v,depth_probe,nan,0.41999998688697815,0.2998029589653015,0.32958757877349854,0.019290484488010406,0.15802207589149475,0.1697954684495926,0.6721825003623962
depth8_v,useful,12.4539,0.41999998688697815,0.26667898893356323,0.34257951378822327,0.025069382041692734,0.14486336708068848,0.15327879786491394,0.7018578052520752
depth8_x,useful,5.6779,0.41999998688697815,0.27591586112976074,0.3261915445327759,0.03268072009086609,0.17111888527870178,0.1567624807357788,0.672118604183197
depth8_epsilon,useful,7.191,0.41999998688697815,0.3383277356624603,0.36126914620399475,0.015404660254716873,0.10400249809026718,0.14736151695251465,0.74863600730896
depth10_v,depth_probe,nan,0.41999998688697815,0.15972691774368286,0.33721286058425903,0.039591893553733826,0.14868426322937012,0.15725493431091309,0.6940608024597168
depth12_v,depth_probe,nan,0.41999998688697815,0.014271028339862823,0.3002857267856598,0.11746880412101746,0.2780779004096985,0.1149628609418869,0.6069592237472534
depth12_x,failed,0.0458,0.41999998688697815,0.08522892743349075,0.31382864713668823,0.06611515581607819,0.19868461787700653,0.16589075326919556,0.6354246139526367
external_v500,useful,6.6,0.41999998688697815,0.06407961249351501,0.29317259788513184,0.005763106979429722,0.1953946352005005,0.22728413343429565,0.5773212313652039
final_linear_x,failed,-0.3325,0.41999998688697815,0.19567403197288513,0.32851409912109375,0.09532155096530914,0.18502599000930786,0.1417711079120636,0.6732028722763062
raw_final_h4,depth_probe,nan,0.41999998688697815,5.06552791595459,0.38989198207855225,0.029887523502111435,0.08040010929107666,0.08986236155033112,0.8297375440597534
raw_final_h6,depth_probe,nan,0.41999998688697815,4.191190719604492,0.38502246141433716,0.03525896370410919,0.09216605126857758,0.08822305500507355,0.8196108341217041
raw_final_h8,failed,-0.039,0.41999998688697815,1.9127705097198486,0.38808882236480713,0.03305988386273384,0.08904734253883362,0.08782114088535309,0.8231315016746521
raw_final_h10,depth_probe,nan,0.41999998688697815,0.4468398988246918,0.3596838116645813,0.050086066126823425,0.13128642737865448,0.11158260703086853,0.7571309804916382
depth4_v,depth_probe,nan,0.4399999976158142,0.3262432813644409,0.31575989723205566,0.015125330537557602,0.17198479175567627,0.19203448295593262,0.6359807252883911
depth6_v,depth_probe,nan,0.4399999976158142,0.3124239146709442,0.336534321308136,0.018069064244627953,0.14489586651325226,0.1650032103061676,0.690100908279419
depth8_v,useful,12.4539,0.4399999976158142,0.2774195075035095,0.3483559191226959,0.023913908749818802,0.1346387416124344,0.14893776178359985,0.716423511505127
depth8_x,useful,5.6779,0.4399999976158142,0.2905538082122803,0.3324185013771057,0.030806954950094223,0.15986880660057068,0.15255555510520935,0.68757563829422
depth8_epsilon,useful,7.191,0.4399999976158142,0.3398233950138092,0.3630486726760864,0.015114921145141125,0.10114168375730515,0.14592140913009644,0.7529369592666626
depth10_v,depth_probe,nan,0.4399999976158142,0.16535286605358124,0.34217318892478943,0.03673939406871796,0.13931770622730255,0.1536843180656433,0.7069979906082153
depth12_v,depth_probe,nan,0.4399999976158142,0.014415087178349495,0.301235169172287,0.11543683707714081,0.27440041303634644,0.11665795743465424,0.6089416742324829
depth12_x,failed,0.0458,0.4399999976158142,0.08929194509983063,0.3149898052215576,0.06579425185918808,0.19514121115207672,0.16570106148719788,0.6391577124595642
external_v500,useful,6.6,0.4399999976158142,0.0653759092092514,0.30209147930145264,0.0050883241929113865,0.17855247855186462,0.22118043899536133,0.6002671718597412
final_linear_x,failed,-0.3325,0.4399999976158142,0.21023008227348328,0.33436837792396545,0.08591519296169281,0.16926556825637817,0.14270107448101044,0.6880333423614502
raw_final_h4,depth_probe,nan,0.4399999976158142,4.9305267333984375,0.3886934816837311,0.03138416260480881,0.0844152420759201,0.08863922953605652,0.8269455432891846
raw_final_h6,depth_probe,nan,0.4399999976158142,4.085456371307373,0.3836987614631653,0.03689463809132576,0.09656620770692825,0.0869000032544136,0.8165338039398193
raw_final_h8,failed,-0.039,0.4399999976158142,1.8575172424316406,0.38722217082977295,0.03439857065677643,0.09271105378866196,0.08643634617328644,0.8208525776863098
raw_final_h10,depth_probe,nan,0.4399999976158142,0.44401320815086365,0.3589600622653961,0.05074665695428848,0.13267852365970612,0.11155368387699127,0.7557677626609802
depth4_v,depth_probe,nan,0.46000000834465027,0.33956480026245117,0.3233117461204529,0.014041312038898468,0.1575055867433548,0.187045618891716,0.6554487943649292
depth6_v,depth_probe,nan,0.46000000834465027,0.32526618242263794,0.34314653277397156,0.016948536038398743,0.13296671211719513,0.16007506847381592,0.7069581747055054
depth8_v,useful,12.4539,0.46000000834465027,0.2882482409477234,0.35383373498916626,0.022810904309153557,0.12536151707172394,0.14460806548595428,0.7300304174423218
depth8_x,useful,5.6779,0.46000000834465027,0.30553722381591797,0.3380986452102661,0.029154472053050995,0.14992530643939972,0.14859911799430847,0.7014755606651306
depth8_epsilon,useful,7.191,0.46000000834465027,0.3421592116355896,0.36518698930740356,0.01478438638150692,0.09801861643791199,0.14395871758460999,0.758022665977478
