name,group,hypothesis_id,kind,provider,amplitude,interval,band,order,gamma,rms_matched,reverse,depth,depths,num_samples,integrator,fid,sfid,inception_score,noise_sha256,label_sha256,total_nfe,elapsed_seconds,fid_improvement_vs_matched_baseline
screen_order_external_v500_native_fine_to_coarse,screen,causal_order,ordered_bands,external_v500,native,,,fine_to_coarse,3.0,,,,[],1000,dopri5,80.97328349050787,221.38194015187742,31.313629150390625,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7882,100.16419853403931,3.9954209033280677
screen_map_depth8_v_equal_action_early_low,screen,causal_map,band_time,depth8_v,equal_action,early,low,,0.4,,,,[],1000,dopri5,81.41860025537176,218.95087430880426,30.809368133544922,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6856,53.186463119986,3.550104138464178
screen_map_depth8_v_equal_action_late_high,screen,causal_map,band_time,depth8_v,equal_action,late,high,,0.4,,,,[],1000,dopri5,81.78443459342134,221.68213059878462,29.677345275878906,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6994,55.39202267001383,3.1842698004145973
screen_map_external_v500_equal_action_mid_high,screen,causal_map,band_time,external_v500,equal_action,mid,high,,3.0,,,,[],1000,dopri5,82.0223008980496,221.8386767549465,30.210874557495117,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7282,89.8899885879946,2.946403495786342
screen_map_depth8_v_native_early_low,screen,causal_map,band_time,depth8_v,native,early,low,,0.4,,,,[],1000,dopri5,82.27803893080716,219.6777194736012,30.31230926513672,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6796,54.38436052703764,2.690665463028779
screen_map_external_v500_native_early_low,screen,causal_map,band_time,external_v500,native,early,low,,3.0,,,,[],1000,dopri5,82.54700275515052,220.5334571814741,30.99366569519043,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7696,93.4654333940125,2.4217016386854198
screen_map_external_v500_equal_action_early_low,screen,causal_map,band_time,external_v500,equal_action,early,low,,3.0,,,,[],1000,dopri5,82.61044544904905,220.59824467427575,30.573156356811523,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7636,90.60602251597447,2.3582589447868827
screen_map_depth8_v_native_early_high,screen,causal_map,band_time,depth8_v,native,early,high,,0.4,,,,[],1000,dopri5,82.6240799972544,220.62619630452787,30.209821701049805,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6880,58.775571812991984,2.344624396581537
screen_map_depth8_v_equal_action_mid_mid,screen,causal_map,band_time,depth8_v,equal_action,mid,mid,,0.4,,,,[],1000,dopri5,82.6922055875014,221.4906553830748,29.90394401550293,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6712,53.30418530397583,2.27649880633453
screen_map_depth8_v_native_mid_mid,screen,causal_map,band_time,depth8_v,native,mid,mid,,0.4,,,,[],1000,dopri5,82.69249732723426,221.49108647919957,29.90218734741211,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6712,56.31209859199589,2.276207066601671
