name,group,hypothesis_id,kind,provider,amplitude,interval,band,order,gamma,rms_matched,reverse,depth,depths,num_samples,integrator,fid,sfid,inception_score,noise_sha256,label_sha256,total_nfe,elapsed_seconds,fid_improvement_vs_matched_baseline,fid_gain_vs_adaptive_baseline,matched_baseline_name,matched_baseline_fid,fid_gain_vs_integrator_baseline
screen_map_depth8_v_equal_action_late_low,screen,causal_map,band_time,depth8_v,equal_action,late,low,,0.4,,,,[],1000,dopri5,84.58153814419404,222.2995662320934,29.43402099609375,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6982,55.59850761096459,0.3871662496418935,0.3871662496418935,screen_baseline_adaptive,84.96870439383594,0.3871662496418935
screen_map_depth8_v_equal_action_late_mid,screen,causal_map,band_time,depth8_v,equal_action,late,mid,,0.4,,,,[],1000,dopri5,83.63222652109971,222.09780651459312,29.676557540893555,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6880,57.65295725100441,1.336477872736225,1.336477872736225,screen_baseline_adaptive,84.96870439383594,1.336477872736225
screen_map_depth8_v_equal_action_mid_high,screen,causal_map,band_time,depth8_v,equal_action,mid,high,,0.4,,,,[],1000,dopri5,80.63639338869484,220.2084907247803,29.850643157958984,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6922,54.717536696000025,4.332311005141094,4.332311005141094,screen_baseline_adaptive,84.96870439383594,4.332311005141094
screen_map_depth8_v_equal_action_mid_low,screen,causal_map,band_time,depth8_v,equal_action,mid,low,,0.4,,,,[],1000,dopri5,83.65666974604642,221.48540447729,29.773685455322266,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6658,53.04116573097417,1.3120346477895168,1.3120346477895168,screen_baseline_adaptive,84.96870439383594,1.3120346477895168
screen_map_depth8_v_equal_action_mid_mid,screen,causal_map,band_time,depth8_v,equal_action,mid,mid,,0.4,,,,[],1000,dopri5,82.6922055875014,221.4906553830748,29.90394401550293,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6712,53.30418530397583,2.27649880633453,2.27649880633453,screen_baseline_adaptive,84.96870439383594,2.27649880633453
screen_map_depth8_v_native_early_high,screen,causal_map,band_time,depth8_v,native,early,high,,0.4,,,,[],1000,dopri5,82.6240799972544,220.62619630452787,30.209821701049805,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6880,58.775571812991984,2.344624396581537,2.344624396581537,screen_baseline_adaptive,84.96870439383594,2.344624396581537
screen_map_depth8_v_native_early_low,screen,causal_map,band_time,depth8_v,native,early,low,,0.4,,,,[],1000,dopri5,82.27803893080716,219.6777194736012,30.31230926513672,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6796,54.38436052703764,2.690665463028779,2.690665463028779,screen_baseline_adaptive,84.96870439383594,2.690665463028779
screen_map_depth8_v_native_early_mid,screen,causal_map,band_time,depth8_v,native,early,mid,,0.4,,,,[],1000,dopri5,83.57823960541737,221.41101632511595,30.22190284729004,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6658,54.82530828902964,1.3904647884185692,1.3904647884185692,screen_baseline_adaptive,84.96870439383594,1.3904647884185692
screen_map_depth8_v_native_late_high,screen,causal_map,band_time,depth8_v,native,late,high,,0.4,,,,[],1000,dopri5,78.32075266647257,221.31443083411895,29.981952667236328,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7810,60.90838090400212,6.647951727363363,6.647951727363363,screen_baseline_adaptive,84.96870439383594,6.647951727363363
screen_map_depth8_v_native_late_low,screen,causal_map,band_time,depth8_v,native,late,low,,0.4,,,,[],1000,dopri5,84.75054651569923,222.3092609547116,29.533994674682617,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6910,54.95885921100853,0.2181578781367079,0.21815787813670795,screen_baseline_adaptive,84.96870439383594,0.21815787813670795
