time,model,model_kind,first_branch,second_branch,first_bayes_mse,second_bayes_mse,first_paired_mse,second_paired_mse,branch_error_cosine_mean,branch_error_cosine_negative_fraction,oracle_gate_mean,oracle_bayes_mse,oracle_gain_over_best_branch,learned_gate_mean,learned_bayes_mse,learned_gate_mae_to_oracle
0.1,D0_xeps,x_plus_epsilon,x,epsilon,0.006488594226539135,91.65048217773438,0.29081860184669495,91.9361572265625,0.004265770316123962,0.44482421875,0.9999481439590454,0.0064878910779953,0.00010836685409587599,,,
0.1,D1_scaled,x_plus_epsilon,x,epsilon,0.006637887563556433,92.0207748413086,0.2908143699169159,92.30686950683594,0.004534527193754911,0.437744140625,0.9999518394470215,0.006637279875576496,9.15483991131838e-05,0.9999117851257324,0.0066390675492584705,8.051983604673296e-05
0.1,D2_velocity,x_plus_epsilon,x,epsilon,0.006872424855828285,95.41740417480469,0.2916455566883087,95.702880859375,0.004055418539792299,0.44384765625,0.999935507774353,0.0068713603541255,0.0001548946296419107,0.9999871253967285,0.006872368510812521,5.9436599258333445e-05
0.1,D4_safe,x_plus_epsilon,x,epsilon,0.007880507968366146,96.4706039428711,0.2923434376716614,96.7542724609375,0.0018052497180178761,0.487060546875,0.9999186992645264,0.007878807373344898,0.00021579763995849266,0.9993174076080322,0.007932092063128948,0.0006070165545679629
0.1,S0_xv,x_plus_v,x,v,0.004865934140980244,0.9309239983558655,0.2880682349205017,1.2141929864883423,0.05198809131979942,0.080322265625,0.9985806941986084,0.00486080814152956,0.0010534461219918745,,,
0.1,S1_xv,x_plus_v,x,v,0.004890447482466698,0.9304332733154297,0.28817451000213623,1.2137789726257324,0.054224155843257904,0.068603515625,0.998754620552063,0.004886263981461525,0.0008554433965749508,,,
0.3,D0_xeps,x_plus_epsilon,x,epsilon,0.019428428262472153,10.12983512878418,0.04275789111852646,10.152767181396484,0.03178512677550316,0.116943359375,0.9996566772460938,0.019423315301537514,0.0002631690461813996,,,
0.3,D1_scaled,x_plus_epsilon,x,epsilon,0.019771017134189606,10.175043106079102,0.04290412738919258,10.197988510131836,0.031858935952186584,0.112548828125,0.9996404647827148,0.019765416160225868,0.00028329215061229096,0.9998564124107361,0.019771140068769455,0.00038623641012236476
0.3,D2_velocity,x_plus_epsilon,x,epsilon,0.021088488399982452,10.570985794067383,0.043988123536109924,10.593982696533203,0.030360745266079903,0.133544921875,0.9995520114898682,0.02108132094144821,0.0003398754049269703,0.9999841451644897,0.021088382229208946,0.00044255860848352313
0.3,D4_safe,x_plus_epsilon,x,epsilon,0.025328848510980606,10.729593276977539,0.04832324758172035,10.752613067626953,0.024373264983296394,0.226806640625,0.999072253704071,0.025300003588199615,0.0011388169805068848,0.997581958770752,0.02536759525537491,0.0018857773393392563
0.3,S0_xv,x_plus_v,x,v,0.015311811119318008,0.9350073337554932,0.038079582154750824,0.9578514099121094,0.08446481823921204,0.087890625,0.9968372583389282,0.015278921462595463,0.0021479925833888247,,,
0.3,S1_xv,x_plus_v,x,v,0.015433866530656815,0.9353788495063782,0.038129933178424835,0.9582509994506836,0.09153817594051361,0.0712890625,0.997991681098938,0.015420841053128242,0.0008439542678886358,,,
0.5,D0_xeps,x_plus_epsilon,x,epsilon,0.008865099400281906,3.6385345458984375,0.0183908399194479,3.648031711578369,0.0254209041595459,0.1796875,0.999024510383606,0.008854525163769722,0.0011927939027788215,,,
0.5,D1_scaled,x_plus_epsilon,x,epsilon,0.008472947403788567,3.6573891639709473,0.01790158823132515,3.666886806488037,0.02544097602367401,0.18408203125,0.9991064071655273,0.008464029058814049,0.0010525670170606904,0.9999405741691589,0.008472600020468235,0.0008659673039801419
0.5,D2_velocity,x_plus_epsilon,x,epsilon,0.011097332462668419,3.8086769580841064,0.02056044340133667,3.818206310272217,0.02140040323138237,0.234130859375,0.9984925985336304,0.011074937880039215,0.0020180149332769126,0.9997786283493042,0.011095120571553707,0.0013719673734158278
0.5,D4_safe,x_plus_epsilon,x,epsilon,0.016689695417881012,3.899160861968994,0.026242030784487724,3.9086532592773438,0.014894107356667519,0.318603515625,0.9968499541282654,0.016578469425439835,0.006664351245260769,0.9882583618164062,0.01752791367471218,0.009957296773791313
0.5,S0_xv,x_plus_v,x,v,0.007495904341340065,0.9266936779022217,0.01703246310353279,0.9362326264381409,0.04376549273729324,0.19873046875,0.9968624114990234,0.007473977282643318,0.0029252052451921307,,,
0.5,S1_xv,x_plus_v,x,v,0.007578357122838497,0.9260311722755432,0.017093053087592125,0.9355396628379822,0.0450742170214653,0.173583984375,0.9969789981842041,0.007557464297860861,0.0027569068914253814,,,
0.7,D0_xeps,x_plus_epsilon,x,epsilon,0.009318770840764046,1.8541970252990723,0.015817686915397644,1.860590934753418,0.009045332670211792,0.34228515625,0.9957808256149292,0.009251848794519901,0.007181424180043194,,,
0.7,D1_scaled,x_plus_epsilon,x,epsilon,0.012945818714797497,1.8644373416900635,0.019494418054819107,1.870812177658081,0.006356114521622658,0.40673828125,0.9937695264816284,0.012812867760658264,0.010269798849204093,0.999998152256012,0.012945775873959064,0.006228783633559942
0.7,D2_velocity,x_plus_epsilon,x,epsilon,0.010478613898158073,1.957084059715271,0.017085526138544083,1.9634778499603271,0.00845857709646225,0.361083984375,0.9954042434692383,0.01038544625043869,0.008891218688357294,0.9982661604881287,0.01045694574713707,0.003753380849957466
0.7,D4_safe,x_plus_epsilon,x,epsilon,0.019768349826335907,2.009150505065918,0.026253286749124527,2.015561819076538,0.00605786545202136,0.396240234375,0.9910125136375427,0.01936110481619835,0.020600860148428546,0.9713967442512512,0.020683232694864273,0.0206409003585577
0.7,S0_xv,x_plus_v,x,v,0.011366316117346287,0.9262015223503113,0.017884761095046997,0.9326939582824707,0.001754486933350563,0.514892578125,0.9889228343963623,0.01110399141907692,0.023079130965663497,,,
0.7,S1_xv,x_plus_v,x,v,0.011875982396304607,0.9261226654052734,0.018380679190158844,0.9325827956199646,0.00653358269482851,0.464599609375,0.9890320301055908,0.011603813618421555,0.02291758010417244,,,
0.9,D0_xeps,x_plus_epsilon,x,epsilon,0.12604233622550964,1.161677360534668,0.13064950704574585,1.1662927865982056,-0.0021159923635423183,0.611083984375,0.9047077894210815,0.10984455049037933,0.1285106752238384,,,
0.9,D1_scaled,x_plus_epsilon,x,epsilon,0.276457816362381,1.1649152040481567,0.28090548515319824,1.1695280075073242,-0.0016395678976550698,0.578857421875,0.8134251236915588,0.21590948104858398,0.21901473472694377,1.0,0.276457816362381,0.18657484650611877
0.9,D2_velocity,x_plus_epsilon,x,epsilon,0.031099610030651093,1.215653419494629,0.035520344972610474,1.2202727794647217,0.0013800717424601316,0.445068359375,0.9757795333862305,0.02958659641444683,0.048650565544489766,0.9763621091842651,0.030232012271881104,0.016976218670606613
0.9,D4_safe,x_plus_epsilon,x,epsilon,0.1841278076171875,1.2314164638519287,0.1882997751235962,1.2360479831695557,-0.0016079609049484134,0.554443359375,0.8818838596343994,0.14452338218688965,0.21509203820336453,0.8258358240127563,0.16375583410263062,0.09761340171098709
0.9,S0_xv,x_plus_v,x,v,0.07908274233341217,0.9634323120117188,0.08325408399105072,0.968001127243042,-0.0036826860159635544,0.552978515625,0.9287234544754028,0.06928616017103195,0.12387762327560559,,,
0.9,S1_xv,x_plus_v,x,v,0.09191688150167465,0.9639101028442383,0.09608861804008484,0.9684881567955017,-0.00026076147332787514,0.525390625,0.9222561717033386,0.07705140113830566,0.161727422868433,,,
0.97,D0_xeps,x_plus_epsilon,x,epsilon,0.6064960360527039,1.0482213497161865,0.6117881536483765,1.0524146556854248,-0.0013667158782482147,0.60107421875,0.6970686316490173,0.3163284659385681,0.47843275613580516,,,
0.97,D1_scaled,x_plus_epsilon,x,epsilon,0.7260527610778809,1.048419713973999,0.7309954166412354,1.0526087284088135,0.001125102280639112,0.421630859375,0.6797055006027222,0.3356330394744873,0.537729132830217,0.9995094537734985,0.7253586053848267,0.31980398297309875
0.97,D2_velocity,x_plus_epsilon,x,epsilon,0.3441760838031769,1.058267593383789,0.34766024351119995,1.0624620914459229,4.4476724724518135e-05,0.50830078125,0.7932754755020142,0.21823494136333466,0.36592066784008115,0.809776246547699,0.25386402010917664,0.1135818362236023
0.97,D4_safe,x_plus_epsilon,x,epsilon,3.9801502227783203,1.0601975917816162,3.9803667068481445,1.0643870830535889,0.0006552813574671745,0.483642578125,0.36761367321014404,0.6700424551963806,0.3680022852434486,0.15404999256134033,0.8503426313400269,0.2315843403339386
0.97,S0_xv,x_plus_v,x,v,1.0924702882766724,0.9901944398880005,1.095629096031189,0.994429349899292,0.016384150832891464,0.30712890625,0.5363414287567139,0.4660585820674896,0.5293261976706263,,,
0.97,S1_xv,x_plus_v,x,v,1.2015224695205688,0.990234375,1.2050557136535645,0.9944654703140259,0.01677728444337845,0.30712890625,0.530292272567749,0.47213274240493774,0.5232111161512265,,,
0.99,D0_xeps,x_plus_epsilon,x,epsilon,5.761051654815674,1.0161000490188599,5.76834774017334,1.0200024843215942,-0.0015711039304733276,0.588623046875,0.304904580116272,0.7050142884254456,0.30615662394052323,,,
0.99,D1_scaled,x_plus_epsilon,x,epsilon,4.673959732055664,1.0157625675201416,4.676337242126465,1.0196692943572998,0.0009442460141144693,0.481689453125,0.30360880494117737,0.7070109248161316,0.3039604456559064,0.9960508942604065,4.648313522338867,0.6924421191215515
0.99,D2_velocity,x_plus_epsilon,x,epsilon,3.2559914588928223,1.0175880193710327,3.260166883468628,1.021492600440979,-0.000321371597237885,0.516357421875,0.3564426302909851,0.6538969278335571,0.3574050446881948,0.2779211401939392,0.7483144998550415,0.1554921269416809
0.99,D4_safe,x_plus_epsilon,x,epsilon,40.046173095703125,1.018256664276123,40.046913146972656,1.0221617221832275,0.00011297471064608544,0.5146484375,0.06747868657112122,0.9490135908126831,0.06800159124189453,0.01819194108247757,0.9973751306533813,0.052546821534633636
0.99,S0_xv,x_plus_v,x,v,9.504892349243164,0.9964367151260376,9.509897232055664,1.0003254413604736,0.016227025538682938,0.2958984375,0.13359877467155457,0.8667796850204468,0.13012068718201608,,,
0.99,S1_xv,x_plus_v,x,v,9.699127197265625,0.9966604113578796,9.702520370483398,1.000553011894226,0.01889994740486145,0.2783203125,0.13112708926200867,0.8698434233665466,0.12724192367443765,,,
