direction,time_bin,time_low,time_high,samples,A_mean,A_se,B_mean,B_se,AB_mean,B2_mean,gamma_hat_mean,gamma_hat_sample_ls,predicted_reduction_gamma1_mean_residual,predicted_reduction_gamma1_sample_ls,B_positive_fraction,direction_rms,euclidean_B_mean,euclidean_cosine_mean,critic_seed
internal_depth6,low_noise,0.5,1.0,2014,-0.0011425585422816093,0.000857960519260366,0.002902837048623493,0.0003459098733907127,-0.0003398234294554354,0.0002492892412758385,-0.3936006476227811,-1.363169255585406,-1.5059785464373763e-05,-0.0009289361001867092,0.6564051638530288,28.844423370629467,-7.314983235274432,-0.0039160064366019565,seed3
internal_depth6,q0,0.0,0.25,994,-0.00246539192615729,0.0014479397182963992,-0.0009252374051360697,0.0003312649135150793,-7.765966097166428e-06,0.00010982435208153298,2.6646046868313955,-0.07071260562867712,3.7060814009394487e-06,-0.0001253562842758655,0.4859154929577465,10.194781792848985,-2.732265293478246,-0.0028182737563109063,seed3
internal_depth6,q1,0.25,0.5,1088,-0.000925241170614968,0.0004032408894734581,-0.000314314537370271,0.00024295489547699662,8.705091507403574e-07,6.426123093219343e-05,2.9436792149546966,0.013546412636553653,4.828398725932558e-07,-6.252021263071278e-05,0.5101102941176471,18.43018399476371,-5.708819539998384,-0.004959300753724042,seed3
internal_depth6,q2,0.5,0.75,1017,-0.00023322110424906146,0.00035582844746818055,0.0015069053231840613,0.00030129404220757806,-4.50271584090831e-06,9.450131312073886e-05,-0.15476825296248198,-0.04764712459768099,-2.9736478999840117e-06,-0.0001035067448025555,0.5880039331366765,29.744627645264668,-9.033608023395931,-0.005126294987104872,seed3
internal_depth6,q3,0.75,1.0,997,-0.002070137453494349,0.0016946418614993898,0.004326771416499022,0.0006245169155724327,-0.0006818707371244164,0.00040718224321539343,-0.47844853684676203,-1.6746082337478474,-3.663497401463979e-05,-0.001770923717464225,0.7261785356068204,27.896247580640022,-5.561882523619902,-0.002681439279268493,seed3
internal_depth8,overall,0.0,1.0,4096,-0.0014058532403282697,0.0005593283932961655,0.0005134373445017104,0.00016600987510649693,-0.00011998869294179906,0.00011311886390835063,-2.738120347854024,-1.0607310646172543,-1.7072530156755114e-06,-0.00035309624979194864,0.5341796875,20.332133212382683,-4.321889686623763,-0.0030025943870175846,seed3
internal_depth8,high_noise,0.0,0.5,2082,-0.001660548495787431,0.000722696790384558,-0.001250708738202587,0.00018161803147214754,-4.446060974218933e-06,7.020628491727352e-05,1.3276860111922069,-0.06332853218850534,2.589452679964696e-06,-7.909840686571136e-05,0.43707973102785785,13.442277230246656,-2.5708021722111303,-0.0023282637325344503,seed3
internal_depth8,low_noise,0.5,1.0,2014,-0.0011425585422816093,0.000857960519260366,0.0023371474458871856,0.00027480568956236205,-0.00023943246640580204,0.00015748032838671337,-0.48886883208512844,-1.5203960320545216,-1.0802913741557093e-05,-0.0006363452611983173,0.634558093346574,25.57251053370031,-6.1321003147305655,-0.0036996929086828712,seed3
internal_depth8,q0,0.0,0.25,994,-0.00246539192615729,0.0014479397182963992,-0.0012661989306909467,0.00029328228716299744,-9.237115013176454e-06,8.701565819589684e-05,1.9470810363202258,-0.10615463015151937,4.640093509186012e-06,-0.0001054898882222495,0.4396378269617706,9.31682854422487,-1.3031575927731975,-0.0010545525771334396,seed3
internal_depth8,q1,0.25,0.5,1088,-0.000925241170614968,0.0004032408894734581,-0.001236556852785832,0.00022147809725226228,-6.89399128919361e-08,5.4849192050590095e-05,0.748239895748018,-0.0012568993327804984,7.59153769835446e-07,-5.4987071876374014e-05,0.43474264705882354,16.324043270905822,-3.7289259883520356,-0.0034919299903180935,seed3
