direction,time_bin,critic_seeds,samples_per_seed,A_mean,A_mean_between_seed_sd,A_se,A_se_between_seed_sd,B_mean,B_mean_between_seed_sd,B_se,B_se_between_seed_sd,AB_mean,AB_mean_between_seed_sd,B2_mean,B2_mean_between_seed_sd,gamma_hat_mean,gamma_hat_mean_between_seed_sd,gamma_hat_sample_ls,gamma_hat_sample_ls_between_seed_sd,predicted_reduction_gamma1_mean_residual,predicted_reduction_gamma1_mean_residual_between_seed_sd,predicted_reduction_gamma1_sample_ls,predicted_reduction_gamma1_sample_ls_between_seed_sd,B_positive_fraction,B_positive_fraction_between_seed_sd,direction_rms,direction_rms_between_seed_sd,euclidean_B_mean,euclidean_B_mean_between_seed_sd,euclidean_cosine_mean,euclidean_cosine_mean_between_seed_sd,gamma_hat_multicritic,A_positive_seed_fraction,B_positive_seed_fraction,gamma_positive_seed_fraction
internal_depth12,q0,4,994,-0.0014114446696159861,0.0012746901680018145,0.0015342023158276188,0.00022443075772389485,0.00011200816841365875,0.0002842517057505935,2.827087294988996e-05,2.3477098640876368e-06,-2.609438918206631e-07,1.0153344090759427e-06,8.708975350663718e-07,1.8134170237720364e-07,-4.901470393547985,17.001414714842205,-0.3967504181268957,1.277242528735954,-3.9184057297557486e-07,1.4881969751146607e-06,-1.392785318707812e-06,1.9791555736240334e-06,0.5422535211267605,0.14757103102406524,0.910097279133871,0.0,-0.07757253792151898,0.0,-0.0013907626509843127,0.0,-2.1785153877196595,0.25,0.75,0.5
internal_depth12,q1,4,1088,-0.00015778243483937864,0.0005656667304065833,0.0003471796994367728,3.8070546072267686e-05,-5.112486732878765e-05,0.00028223412757089907,1.3117759831375527e-05,1.6201720073485508e-06,7.817117836547123e-08,1.012130761467396e-07,2.515420277938137e-07,5.2426850552171946e-08,0.5967810527301908,2.3861373851055503,0.3668182027704581,0.4466193226183882,-1.9270260319699407e-08,3.1357389987719815e-07,-9.519967106289191e-08,2.403442153341252e-07,0.46162683823529416,0.2707903979170209,0.8840584203028843,0.0,0.006461682712303146,0.0,0.0010027212013614594,0.0,0.3454814843501508,0.5,0.5,0.5
internal_depth12,q2,4,1017,-6.927655635879172e-05,0.00044935784509480333,0.0003408488326671884,3.966443060854172e-05,-0.00014184745715111794,0.00023692003929056242,1.0765087932451145e-05,1.3465776417481413e-06,-5.9195108407420045e-08,2.730795883502321e-07,1.813420547129043e-07,1.041691025066103e-07,-22.6280202465907,31.251019008631047,0.07165427050886614,2.457905045866413,-1.6286603614502437e-07,3.321477395126618e-07,-2.9973227152775206e-07,5.992285760825543e-07,0.3697148475909538,0.23227439373504408,0.9057107860222291,0.0,-0.2708263522748457,0.0,-0.005016402850270044,0.0,-0.808812082917418,0.5,0.25,0.25
internal_depth12,q3,4,997,-0.0006250224834954443,0.0010196277257605948,0.0007951626501752542,0.0006196775998833166,-0.0005103849882871529,0.0004397127247619956,1.3309986028301842e-05,5.045851356748004e-06,-5.35019271566674e-06,1.2132913498504989e-05,6.009694817564405e-07,3.39700960925771e-07,-5.0075926588264545,10.579915070301144,-14.52646045374253,30.000187407229767,-4.135109323423129e-07,7.197027399703087e-07,-1.1301354913089856e-05,2.4098970175473106e-05,0.16850551654964893,0.31562661120080265,0.7819289579130695,0.0,-0.18795059224517796,0.0,-0.0039490821888803485,0.0,-0.009873700046581188,0.25,0.25,0.5
internal_depth4,high_noise,4,2082,-0.0007563128197423315,0.0007468488195768111,0.0007553129393064644,0.00010237283090622096,-0.0005474807825299652,0.0002451887321788978,0.00019922354685247417,1.6749582821240456e-05,4.542932630872497e-06,1.0334318103659678e-05,8.337762444515209e-05,1.3914667023369255e-05,2.1541573590747873,2.428400829303116,0.05403970481339333,0.10914120631332884,2.1993055272787474e-07,7.019303518004714e-07,-7.429175918340718e-05,2.358238146677256e-05,0.4715417867435159,0.02416340859336132,15.806370501298556,0.0,-4.0615850476893405,0.0,-0.003220035712787668,0.0,0.8189032256273099,0.0,0.0,1.0
internal_depth4,low_noise,4,2014,-0.0003443901061876113,0.0006337050756331097,0.00043994994858047315,0.0002872466074469812,-0.0009144749776319117,0.002224127217489072,0.0002135533261643096,3.752509304061434e-05,-4.302936979948632e-05,4.221364721811767e-05,9.84751606310678e-05,3.5101725942840625e-05,-0.07268419079534673,0.38493932737518,-0.3681636908989424,0.3067708094181911,-5.7853505582287405e-06,5.57894831689369e-06,-0.00018453390023004035,0.00011638725041796887,0.4420307845084409,0.12549490770940308,29.84227664165746,0.0,-8.054508408048775,0.0,-0.004230669528991399,0.0,-0.13626729091639803,0.5,0.25,0.25
internal_depth4,overall,4,4096,-0.0005537707433020955,0.0006902635826104194,0.0004523983809395036,9.297385977152132e-05,-0.0007279315415473775,0.0011884431586870246,0.00014663541465922817,1.9446344949752952e-05,-1.884833130827367e-05,2.284891644064038e-05,9.08010711928167e-05,2.4137427350169008e-05,-0.14756438981603012,1.0536552772959373,-0.17763058000672444,0.20218695284140947,-1.9152007341348834e-06,2.2736239219433224e-06,-0.0001284977338093639,6.604930689355196e-05,0.45703125,0.07376064331496815,23.76726602233176,0.0,-6.0249023445067,0.0,-0.003716963570657373,0.0,-0.10257431523848316,0.25,0.25,0.5
internal_depth4,q0,4,994,-0.0014114446696159861,0.0012746901680018145,0.0015342023158276188,0.00022443075772389485,-0.0005732550692390387,0.00031068216440954127,0.00035162898608323854,2.964134973290651e-05,9.346355339479405e-06,2.0140186556410433e-05,0.00012383280168683656,2.071669600603054e-05,2.1660363972129684,1.9529703082779577,0.06890848798718205,0.1446404606709241,1.7043069992353324e-06,1.8982122700371275e-06,-0.00010514009100787792,3.654152341935557e-05,0.48038229376257546,0.011631217435294832,10.403700250166539,0.0,-2.815516800347948,0.0,-0.0021750951554409836,0.0,2.6249972535720194,0.25,0.0,0.75
internal_depth4,q1,4,1088,-0.00015778243483937864,0.0005656667304065833,0.0003471796994367728,3.8070546072267686e-05,-0.00052393331838583,0.0007362084946542531,0.00020334679544311781,3.111512310450238e-05,1.5451151657538087e-07,3.2508741024412812e-06,4.6417655531333764e-05,1.349459738025937e-05,-1.2104430044400536,1.480478407451747,-0.00914660425034738,0.09018533628574384,-8.901154460194938e-07,8.174283987631811e-07,-4.610863249818302e-05,1.1948688254047668e-05,0.46346507352941174,0.04864309485140612,19.473354023112215,0.0,-5.199996663367047,0.0,-0.004174696479334179,0.0,-0.1535275731057146,0.5,0.25,0.25
internal_depth4,q2,4,1017,-6.927655635879172e-05,0.00044935784509480333,0.0003408488326671884,3.966443060854172e-05,-0.0006516545575518957,0.0015060958380053505,0.00027623565038518267,2.7118663486728944e-05,1.1737534357417229e-06,3.256088318539483e-06,8.021332135863695e-05,1.6938224599782233e-05,0.10733596933526415,0.6988682042434212,0.012958465605928431,0.038444583325527526,-2.470546793041572e-06,2.8099736388003717e-06,-7.786581448715354e-05,1.5647961808574267e-05,0.46976401179941,0.0797183149456154,31.1938260373623,0.0,-10.371477839576343,0.0,-0.00565002101479601,0.0,-0.08105980642397784,0.5,0.25,0.25
