model,quartet,label,data_time,residual_energy,pair_difference_energy,certificate_energy
raev2,13,13,0.05,0.06137385823846348,0.06352943565203507,0.04328748522203195
raev2,13,13,0.1,0.04907982581501852,0.05974141002644806,0.03502774890587301
raev2,13,13,0.2,0.022558849259083295,0.028010236635457094,0.014794141101376347
raev2,14,14,0.05,0.04336278248802285,0.07346218863879556,0.039685441355514293
raev2,14,14,0.1,0.0290503461833719,0.04078299118944439,0.02008805576555068
raev2,14,14,0.2,0.019108359513731604,0.026673592918368207,0.013929977280571507
raev2,15,15,0.05,0.03691400962363487,0.06599807972821617,0.033013141802389415
raev2,15,15,0.1,0.036406935849464896,0.03983126404950961,0.02357827941029031
raev2,15,15,0.2,0.025362753669441386,0.03128563844591213,0.015068469364358074
raev2,16,16,0.05,0.03844845733173477,0.07944905056436032,0.04248932621461369
raev2,16,16,0.1,0.030718474257578038,0.03992126100534784,0.020579440097691654
raev2,16,16,0.2,0.020899672104372977,0.02595866921765918,0.014518586679745513
raev2,17,17,0.05,0.04631728419610019,0.0839726690707456,0.056517417997178694
raev2,17,17,0.1,0.03795400932038344,0.037762880572734074,0.02291274166113022
raev2,17,17,0.2,0.02354312275135218,0.027885926216619762,0.01641384093631706
raev2,18,18,0.05,0.053579108223307595,0.04521822658848361,0.037102567857738966
raev2,18,18,0.1,0.039217116681482485,0.04256972459318652,0.024040874342334404
raev2,18,18,0.2,0.018367611092219842,0.02392538345746085,0.013613445764292454
raev2,19,19,0.05,0.056134346221120374,0.0809890844243378,0.04792159991800818
raev2,19,19,0.1,0.03724121745579329,0.04437742743305235,0.02465299295237345
raev2,19,19,0.2,0.01991583743174463,0.02602744228437935,0.015243906913733622
raev2,20,20,0.05,0.04680494730414578,0.054418462084413574,0.03454331337774594
raev2,20,20,0.1,0.035467598548109575,0.04587022040821225,0.024385268465716124
raev2,20,20,0.2,0.025514675221049592,0.02742779142971322,0.015674249556016952
raev2,21,21,0.05,0.03877461128255169,0.04332942545781916,0.02920465976990514
raev2,21,21,0.1,0.03408781605834885,0.04949935307913356,0.02375347977800006
raev2,21,21,0.2,0.02034018312342808,0.023418675238316283,0.013910164634997814
raev2,22,22,0.05,0.03885933350649752,0.057298230482878854,0.039028582434358104
raev2,22,22,0.1,0.041379625584279586,0.05312942830874055,0.027746536477975176
raev2,22,22,0.2,0.02506091724071524,0.022407882621689156,0.015194648941733205
raev2,23,23,0.05,0.03548333871769384,0.045088488769927104,0.030862333455469824
raev2,23,23,0.1,0.039772733627858915,0.03974158642798538,0.02470284917129556
raev2,23,23,0.2,0.03000557539409183,0.03271112737539078,0.017201368901776537
