sample,index,noise_time,h,H,native_rms,latent_rms,identity_residual_rms,contrast_rms,contrast_over_native,contrast_cos_native,clock_rms,clock_over_native,clock_cos_native,state_rms,state_over_native,state_cos_native,total_rms,total_over_native,total_cos_native,contrast_cos_clock,contrast_cos_state,clock_cos_state,contrast_over_latent,clock_over_latent,state_over_latent,total_over_latent
2,5,0.875,0.025,0.025,0.0305722244083881,0.8828527927398682,3.8970576765606774e-10,0.0074498383328318,0.2436799556016922,0.615399956703186,0.001365651958622,0.0446696951985359,0.2237555384635925,0.002079210942611,0.0680098012089729,-0.2105387300252914,0.006757877767086,0.2210463285446167,0.6588529348373413,0.1475882679224014,-0.4786106944084167,-0.7387346625328064,0.008438369787234607,0.0015468625911957536,0.0023551049050412162,0.007654591821716311
3,5,0.875,0.025,0.025,0.0238508321344852,0.8852977752685547,1.8350446162607168e-10,0.0032532939221709,0.1364016979932785,-0.0619303807616233,0.0006153738941065,0.0258009396493434,-0.1457162797451019,0.0006983371567912,0.0292793624103069,0.6925393342971802,0.0034553159493952,0.1448719203472137,0.0557049624621868,0.2766595482826233,-0.1059198006987571,-0.1600227802991867,0.003674801872380188,0.000695103852395683,0.0007888161207446384,0.003902998568303226
0,5,0.875,0.025,0.125,0.0252723060548305,0.8845596313476562,3.5235545037259897e-10,0.0038990676403045,0.1542822271585464,0.2104710787534713,0.0043858848512172,0.173545092344284,0.29505655169487,0.0009495057165622,0.0375709980726242,0.156175747513771,0.0062849204987287,0.2486880421638488,0.3600705564022064,0.3385719656944275,-0.275425910949707,-0.6459999680519104,0.004407919491379162,0.004958269285401547,0.0010734219411704287,0.007105140542253113
1,5,0.875,0.025,0.125,0.0238369181752204,0.8713526129722595,2.8045579747448807e-10,0.0033910474739968,0.1422603130340576,-0.0411481373012065,0.0036275559104979,0.152182251214981,0.1544026285409927,0.0007614863570779,0.0319456718862056,0.2524677515029907,0.0050922306254506,0.213627889752388,0.1203440353274345,0.2358699142932891,-0.3296518325805664,-0.6168533563613892,0.00389170517596733,0.004163131958856463,0.0008739129782148744,0.005844052740119248
2,5,0.875,0.025,0.125,0.0305722244083881,0.8828527927398682,5.535373270859623e-10,0.0074498383328318,0.2436799556016922,0.615399956703186,0.0061566364020109,0.2013800591230392,0.4655500948429107,0.0018513875547796,0.0605578310787677,-0.3680002987384796,0.0097866915166378,0.3201170861721039,0.6917088031768799,0.3589182198047638,-0.6113300323486328,-0.7506906390190125,0.008438369787234607,0.006973570738678003,0.002097051252490187,0.01108530391149982
3,5,0.875,0.025,0.125,0.0238508321344852,0.8852977752685547,2.67336486281522e-10,0.0032532939221709,0.1364016979932785,-0.0619303807616233,0.0034520567860454,0.1447352766990661,0.2696566581726074,0.0006332317716442,0.0265496727079153,0.3904981017112732,0.0050198808312416,0.2104698419570922,0.1945600509643554,0.2149326503276825,-0.1694928407669067,-0.4189662337303161,0.003674801872380188,0.0038993171365399853,0.0007152754579690539,0.005670273857537732
0,15,0.625,0.025,0.025,0.0291870292276144,0.6826512217521667,7.643292665449052e-10,0.0126962848007678,0.4349974989891052,0.6919365525245667,0.0011212524259462,0.0384161211550235,0.3917213678359985,0.0013165079290047,0.0451059229671955,-0.3134648203849792,0.0125575605779886,0.4302445650100708,0.7016938924789429,0.1591649651527404,-0.2687321007251739,-0.6916050910949707,0.01859849421814574,0.0016424967688013095,0.0019285220432560097,0.018395280309844025
1,15,0.625,0.025,0.025,0.021838117390871,0.6699844598770142,4.390231789219712e-10,0.0076453667134046,0.3500927686691284,0.3402651250362396,0.0009426085161976,0.0431634522974491,0.2455009073019027,0.0008729046094231,0.0399716049432754,0.0832101479172706,0.0075290454551577,0.344766229391098,0.3859051764011383,-0.0267842318862676,-0.1595968008041381,-0.5465062260627747,0.011411259769828128,0.0014069110145788011,0.0013028729197440414,0.011237641924619821
2,15,0.625,0.025,0.025,0.0348814725875854,0.7322971820831299,7.196500062534027e-10,0.0130136860534548,0.3730830550193786,0.764677882194519,0.0011364528909325,0.03258041664958,0.2637064456939697,0.0013665670994669,0.0391774475574493,-0.2876853942871094,0.0128922965377569,0.3696029782295227,0.7646292448043823,0.0501783639192581,-0.1592953652143478,-0.6832237243652344,0.01777104483242091,0.001551901220894621,0.0018661373181574912,0.017605279459198268
3,15,0.625,0.025,0.025,0.0222676657140254,0.6825596690177917,3.2995570165006427e-10,0.0060158572159707,0.2701610922813415,0.4582110941410064,0.0010896127205342,0.0489325076341629,0.368613600730896,0.000857880921103,0.0385258570313453,-0.0150798968970775,0.0061839283443987,0.2777088582515716,0.5086154937744141,0.1282551884651184,-0.0454307086765766,-0.5805101990699768,0.008813672253192987,0.0015963625892255846,0.0012568584990342263,0.009059908789069558
