model,sample,label,data_time,conditional_energy,unconditional_energy,posterior_difference_energy,raw_revision_energy,conditional_unconditional_cosine,conditional_posterior_cosine,raw_conditional_cosine,raw_posterior_cosine,raw_unconditional_cosine
raev2,18,4,0.1,0.02662325739027418,0.026514989570445322,0.015962066847719628,0.014680950312577906,0.6996139204511949,0.38978019390702545,0.4282395740336576,0.04707569997965469,0.3925875382186282
raev2,19,4,0.1,0.021693459284480264,0.029584476437726916,0.0131875116525453,0.011113385182782409,0.7517777408030181,0.1565714942744141,0.40286013573715135,0.016372883534958804,0.334042939742595
raev2,16,4,0.2,0.015617318092503427,0.015072171077523963,0.0054454938714785265,0.007554566456309427,0.8226914038047825,0.324804042453574,0.3331081642216538,0.02625970505348547,0.32329464159066806
raev2,17,4,0.2,0.014942907189025773,0.017786555803254493,0.006919199928612868,0.006728364153148445,0.7915875519757197,0.2004060743079215,0.3563074298106973,0.0525018719516758,0.2938393089707787
raev2,18,4,0.2,0.017474959050312266,0.020466004789521066,0.007455045936185702,0.007194214816562445,0.8060178523378194,0.19555141561711864,0.31364273886999633,0.021317153062250176,0.2769531237716437
raev2,19,4,0.2,0.015993814472440124,0.01848174731876795,0.004699933820904547,0.007234142944786932,0.8659312098899952,0.12756555424046181,0.3221253988455559,-0.0005779853710069441,0.2999519559849501
raev2,20,5,0.05,0.0411185521230363,0.047531794073368716,0.015981494416120366,0.039575728124693905,0.8218778801315497,0.1866272383791937,0.7073048203342359,-0.027018300494802697,0.6735265049672534
raev2,21,5,0.05,0.02347071247424208,0.031925448533759525,0.0234314575804377,0.02053419444372511,0.5838604306558864,0.31931841853808923,0.5783678165259584,-0.05860255117333892,0.5461103826101001
raev2,22,5,0.05,0.020753093153359423,0.020585341481620383,0.013726773302632129,0.014779657747020735,0.6679471278099338,0.41161203038873784,0.5773176666957748,0.0809608274185954,0.5135532239041348
raev2,23,5,0.05,0.0283839582476587,0.028110831911945702,0.013941216497068268,0.020787756093823703,0.7532388534929125,0.3572810439986454,0.6874457849859021,0.1568175029033099,0.5803420151790367
raev2,20,5,0.1,0.02118796701231738,0.017548964478929133,0.008125089386249684,0.013841779060433155,0.7937597582205131,0.4483009878207975,0.4180635325489544,0.09619433306687011,0.3939142251372255
raev2,21,5,0.1,0.023119897457038272,0.02944408805207585,0.010926066341069698,0.013295760910487496,0.7979340838234781,0.14477048333346954,0.44211274435656484,0.012343408588451487,0.3842470345301545
raev2,22,5,0.1,0.02745008698851333,0.0235490315711545,0.012585365388263622,0.011140711693484096,0.7554371832546316,0.4434979411798116,0.4572298830588747,0.02755176277827745,0.4735092275060348
raev2,23,5,0.1,0.023200965191146096,0.02534102004761554,0.010280939974285471,0.0128376786956883,0.7889723117429864,0.2635555660379575,0.49789959975666737,0.06940838487578208,0.43220250007285665
raev2,20,5,0.2,0.01737114353682936,0.015363206593123844,0.004586097568456715,0.007305860526414691,0.8615218641341602,0.36939020121339544,0.36777309032317956,0.0503947171447789,0.36353507189836565
