prefix_w,switch_t,tail,positive_endpoint_fraction,positive_fraction_initial_z_negative,positive_fraction_initial_z_positive,endpoint_mean,endpoint_std,w2_squared_to_target,mean_noising_posterior_at_switch,null_tail_positive_fraction_at_switch
1,0.9,conditional,1.0,1.0,1.0,1.9999999999999998,0.4999597818324999,2.8690337640293604e-32,0.9999382765801679,1.0
1,0.9,null,1.0,1.0,1.0,1.999994858194356,0.49997925582645575,1.420192101758005e-07,0.9999382765801679,1.0
1,1.0,conditional,1.0,1.0,1.0,1.9999999999999998,0.4999597818324999,0.0,0.9999664233302805,1.0
1,1.0,null,1.0,1.0,1.0,1.9999999999999993,0.49995978183249973,2.758604401673565e-29,0.9999664233302805,1.0
4,0.0,conditional,1.0,1.0,1.0,1.9999999999999998,0.4999597818324999,0.0,0.5,0.5
4,0.0,null,0.5,0.0,1.0,-2.220446049250313e-16,2.0615335711193503,6.614048301584864,0.5,0.5
4,0.025,conditional,1.0,1.0,1.0,2.0766479436557246,0.4979943887262048,0.0058787700413351265,0.5052312483157821,0.5814208984375
4,0.025,null,0.5814208984375,0.162841796875,1.0,0.3848611705650905,2.035395818013925,5.145081067778573,0.5052312483157821,0.5814208984375
4,0.05,conditional,1.0,1.0,1.0,2.1555405391199907,0.49177316370199736,0.024259881674124135,0.5216601568254994,0.6639404296875
4,0.05,null,0.6639404296875,0.327880859375,1.0,0.7769802478058382,1.9532595731043032,3.796126181604202,0.5216601568254994,0.6639404296875
4,0.1,conditional,1.0,1.0,1.0,2.31221852565124,0.465459798663447,0.09867145796447244,0.5892517588339747,0.818603515625
4,0.1,null,0.818603515625,0.63720703125,1.0,1.523795200745044,1.6152559721890642,1.6810533586901686,0.5892517588339747,0.818603515625
4,0.2,conditional,1.0,1.0,1.0,2.5592161589705285,0.37391399779692835,0.3288885582628858,0.8092145273292797,0.9879150390625
4,0.2,null,0.9879150390625,0.975830078125,1.0,2.457626497803406,0.6043491744031125,0.2968685436889687,0.8092145273292797,0.9879150390625
4,0.25,conditional,1.0,1.0,1.0,2.6270232478042495,0.3331607865333299,0.42206821131618893,0.9035053506762627,0.99951171875
4,0.25,null,0.99951171875,0.9990234375,1.0,2.601123717008059,0.3671552839436983,0.38407447404328077,0.9035053506762627,0.99951171875
4,0.35,conditional,1.0,1.0,1.0,2.675906370973675,0.29666312549677476,0.5013457893085376,0.987654822422233,1.0
4,0.35,null,1.0,1.0,1.0,2.6738984397261873,0.2986139122187347,0.49762820054555174,0.987654822422233,1.0
4,0.5,conditional,1.0,1.0,1.0,2.681615357472389,0.2913171264091482,0.5119085714605975,0.9999447015752727,1.0
4,0.5,null,1.0,1.0,1.0,2.6816091318840494,0.29132476557293635,0.5118954966243404,0.9999447015752727,1.0
4,0.7,conditional,1.0,1.0,1.0,2.681634024580805,0.2912942274746566,0.5119477731877374,0.9999999999195617,1.0
4,0.7,null,1.0,1.0,1.0,2.6816340245747776,0.2912942274840588,0.511947773173,0.9999999999195617,1.0
4,0.75,conditional,1.0,1.0,1.0,2.6816340246380714,0.29129422746584105,0.5119477732770089,0.9999999999984756,1.0
4,0.75,null,1.0,1.0,1.0,2.6816340246379635,0.29129422746600847,0.5119477732767416,0.9999999999984756,1.0
4,0.9,conditional,1.0,1.0,1.0,2.6816340245922268,0.29129422744559724,0.5119477732228549,0.9999999999999998,1.0
4,0.9,null,1.0,1.0,1.0,2.6816340245922246,0.29129422744559197,0.5119477732228535,0.9999999999999998,1.0
4,1.0,conditional,1.0,1.0,1.0,2.6816340246401955,0.29129422746609657,0.511947773279961,1.0,1.0
4,1.0,null,1.0,1.0,1.0,2.681634024640194,0.291294227466093,0.5119477732799598,1.0,1.0
