sample_id,step,time,construction,left_sigma,right_sigma,slope_direction_cosine,slope_rms_ratio
16,30,0.9491525292396544,oracle_clean_axis,0.7,1.0,0.974389380812743,0.6049234922268604
16,50,0.8888888955116272,predicted_clean_axis,0.35,0.7,0.8701759946583061,0.6289593960320846
16,50,0.8888888955116272,predicted_clean_axis,0.7,1.0,0.9653065770648166,0.6320812039627992
16,50,0.8888888955116272,oracle_clean_axis,0.35,0.7,0.8750700059070314,0.5221100892028714
16,50,0.8888888955116272,oracle_clean_axis,0.7,1.0,0.9617406369728994,0.5989121271576214
16,70,0.774193525314331,predicted_clean_axis,0.35,0.7,0.7383286380837418,0.7638547633067421
16,70,0.774193525314331,predicted_clean_axis,0.7,1.0,0.9441858966950434,0.6020706454194757
16,70,0.774193525314331,oracle_clean_axis,0.35,0.7,0.7529051511483322,0.6516762220339049
16,70,0.774193525314331,oracle_clean_axis,0.7,1.0,0.9528945043092324,0.5889262898581732
16,85,0.5853658318519592,predicted_clean_axis,0.35,0.7,0.8574459974323391,0.8582204789983364
16,85,0.5853658318519592,predicted_clean_axis,0.7,1.0,0.945392612123111,0.6453078012300735
16,85,0.5853658318519592,oracle_clean_axis,0.35,0.7,0.850602410661227,0.8031196386042277
16,85,0.5853658318519592,oracle_clean_axis,0.7,1.0,0.9512481283811782,0.6330324784595831
16,95,0.2962962985038757,predicted_clean_axis,0.35,0.7,0.9481230222817598,0.6996802370973754
16,95,0.2962962985038757,predicted_clean_axis,0.7,1.0,0.9784623684010936,0.6237930301908527
16,95,0.2962962985038757,oracle_clean_axis,0.35,0.7,0.9438603774324548,0.6845802132560782
16,95,0.2962962985038757,oracle_clean_axis,0.7,1.0,0.9780138945527528,0.6194966307432425
16,98,0.1403508782386779,predicted_clean_axis,0.35,0.7,0.9657634930525112,0.6061608629637653
16,98,0.1403508782386779,predicted_clean_axis,0.7,1.0,0.9876787035896148,0.5948701107286843
16,98,0.1403508782386779,oracle_clean_axis,0.35,0.7,0.9637318753793218,0.6010630121926775
16,98,0.1403508782386779,oracle_clean_axis,0.7,1.0,0.9872356053264272,0.593408716433262
20,30,0.9491525292396544,predicted_clean_axis,0.35,0.7,0.9570098409429358,0.8351661078525944
20,30,0.9491525292396544,predicted_clean_axis,0.7,1.0,0.9713711844447244,0.7964221160863563
20,30,0.9491525292396544,oracle_clean_axis,0.35,0.7,0.9280737454633936,0.7482229228247989
