step,loss,real_loss,fake_loss,centering,real_logit,fake_logit,margin,grad_norm,elapsed_seconds,steps_per_second,peak_memory_mib
220,2.4556779861450195,1.2759552299976349,1.1794529259204865,0.2698642387986183,-0.024292640388011932,-0.02311940584331751,-0.0011732331477105618,198.7896270751953,782.159750728053,0.28127246357949093,18828.5810546875
230,2.35515159368515,1.2963913679122925,1.0584774687886238,0.2827734388411045,-0.06178976618684828,-0.059917414328083396,-0.001872350403573364,47.26591110229492,816.4686895160703,0.2817009432858025,18828.5810546875
240,2.2800267338752747,1.1277402117848396,1.1519959717988968,0.29053376242518425,0.004714636830613017,0.006565249990671873,-0.0018506119959056377,123.64991760253906,850.8537955770735,0.2820696120150996,18828.5810546875
250,2.312037616968155,1.1480198204517365,1.1637207120656967,0.2971201390028,0.011740069487132132,0.007677496527321637,0.004062569467350841,84.0019760131836,885.6763452780433,0.2822701558338635,18828.5810546875
260,2.286296010017395,1.1214291527867317,1.1645871996879578,0.279654398560524,0.012327533215284348,0.009060241980478168,0.0032672901288606226,345.62872314453125,920.1170475389808,0.2825727451691249,18828.5810546875
270,2.419388860464096,1.1463174298405647,1.272793710231781,0.27761678397655487,0.03069026838056743,0.03316122689284384,-0.0024709556018933654,102.50047302246094,954.0804867540719,0.2829949922973285,18828.5810546875
280,2.2407084703445435,1.1161282137036324,1.1243033036589622,0.27695269510149956,0.0015075542032718658,0.0029115829383954406,-0.0014040266396477818,646.16943359375,987.8517076170538,0.2834433527228801,18828.5810546875
290,2.1923522353172302,1.1885606199502945,1.0034883245825768,0.3033321276307106,-0.03667889558710158,-0.0453195096924901,0.008640610380098224,1027.7374267578125,1021.7455381280743,0.2838280072466036,18828.5810546875
300,2.140147417783737,1.001051478087902,1.1387876942753792,0.30828239768743515,0.03679526364430785,0.03441607195418328,0.002379192039370537,176.20388793945312,1056.0978475640295,0.284064588041698,18828.5810546875
310,2.350247412919998,1.3146129250526428,1.0353380367159843,0.29649781435728073,-0.07364491350017488,-0.06788419932126999,-0.005760715343058109,989.52099609375,1100.0142860030755,0.28181452181534056,18828.5810546875
