comparison,time,global_cosine,mean_sample_cosine,mean_angle_degrees,mean_projection_beta,candidate_to_reference_rms_ratio,nonparallel_energy_fraction,sample_count
private_clean_vs_common_gap,0.75,-0.154328607504853,-0.14947345752761976,98.63756522536278,-0.12678001905283054,0.8166426891370456,0.9646315859878388,256.0
private_clean_vs_common_gap,0.8500000238418579,-0.22021832336085428,-0.21675744686217513,102.55481740832329,-0.3566934751434019,1.5909822282360995,0.9423006154783052,256.0
private_clean_vs_common_gap,0.925000011920929,-0.3291239265664368,-0.33096988272154704,109.38295263051987,-1.5135386169422418,4.359660879746727,0.8776731491849481,256.0
private_clean_vs_common_gap,0.9750000238418579,-0.42198805582548254,-0.4247420562314801,115.24520567059517,-4.227780281100422,9.537716093966985,0.798825182425543,256.0
private_epsilon_vs_common_gap,0.02500000037252903,-0.715922495417687,-0.7013931692345068,134.91537049412727,-11.744380759075284,16.69502341662493,0.4679084238605397,256.0
private_epsilon_vs_common_gap,0.07500000298023224,-0.5239835603844603,-0.541074899956584,122.98588719964027,-4.393105192109942,7.70498395882472,0.6858607164468882,256.0
private_epsilon_vs_common_gap,0.15000000596046448,-0.3874701790509288,-0.3995793632348068,113.75743249058723,-1.396720580814872,3.244542772404757,0.812255270523165,256.0
private_epsilon_vs_common_gap,0.25,-0.2907138258584024,-0.27837078087759437,106.30509632825851,-0.49529251491549076,1.6727111297918964,0.8869051846566083,256.0
private_epsilon_vs_common_gap,0.3499999940395355,-0.15889407205877834,-0.1433921471816575,98.33127635717392,-0.14814903295791737,0.965451712472336,0.9485970054633919,256.0
private_epsilon_vs_common_gap,0.44999998807907104,-0.04781607151224379,-0.03896582529279158,92.2684169113636,-0.028691594139985455,0.6212755390823824,0.9733548527767417,256.0
private_epsilon_vs_common_gap,0.550000011920929,0.07573043373202201,0.08004381506680147,85.38145592808723,0.03488362750340457,0.4434893788934006,0.9755715462225827,256.0
private_epsilon_vs_common_gap,0.6499999761581421,0.20982672555564533,0.21047047654064954,77.78650985658169,0.07282789914643217,0.3374294869586053,0.9424726001993439,256.0
private_epsilon_vs_common_gap,0.75,0.2872873721479382,0.28771574651182164,73.2238717675209,0.08661402246434591,0.2942597464300446,0.9074928569938832,256.0
private_epsilon_vs_common_gap,0.8500000238418579,0.3567573569685571,0.3595970876631327,68.88252285122871,0.11389993689954281,0.30769455588038863,0.8631379003433934,256.0
private_epsilon_vs_common_gap,0.925000011920929,0.46774868608600917,0.4787020755466074,61.330594792962074,0.19751943937444594,0.3929337872594434,0.7620397126357522,256.0
private_epsilon_vs_common_gap,0.9750000238418579,0.5829909123235331,0.5964805277762935,53.24395325779915,0.3431885673489887,0.5526941152795549,0.6309179629929015,256.0
