weak,s,target_t,dt,n,disc_auc,gap_rms_mean,gap_rms_std,grad_rms_mean,grad_rms_std,cos_grad_gap_mean,cos_grad_gap_std,inner_mean_mean,inner_mean_std,signed_coeff_mean,signed_coeff_std,positive_coeff_mean,positive_coeff_std,finite_delta_plus_mean,finite_delta_plus_std,finite_delta_minus_mean,finite_delta_minus_std,positive_alignment_fraction
v500,0.6875,0.737500011920929,0.05000000074505806,128,0.53680419921875,0.08747827206389047,0.012555880559458376,0.00010638443136201658,7.041316649333623e-05,0.00352433630825999,0.019280094604018163,1.3366404545689381e-08,2.4091619606572005e-07,5.311793778960128e-08,1.6740379758226388e-06,5.472595976298983e-07,8.049592551012485e-07,2.5255503715015948e-06,4.9624448092678696e-05,-2.8889553504996e-06,4.891661603317956e-05,0.6328125
v500,0.8125,0.862500011920929,0.05000000074505806,128,0.41009521484375,0.09268334720400162,0.012373403571104225,7.411632164178172e-05,4.48253228141511e-05,-0.00023801797573241856,0.016540247611253975,4.316790036540397e-09,1.288757222524245e-07,2.5852000026804767e-08,7.175310313529209e-07,2.765592794912175e-07,4.7618785661568684e-07,7.12854671292007e-07,2.6295507083113876e-05,-1.0844014468602836e-06,2.6335101813723936e-05,0.5078125
v500,0.9375,0.987500011920929,0.05000000074505806,128,0.56854248046875,0.07376448879949749,0.015995207547760276,8.287406559048804e-05,4.950852385371485e-05,-0.000931482209978185,0.01515129905430319,-7.978826002674744e-09,9.824929312105668e-08,-1.5999782425682452e-07,9.227726008474326e-07,2.405570969608861e-07,4.179214569908333e-07,-1.7623533494770527e-06,2.0132586052263653e-05,1.5310870367102325e-06,2.012985590127056e-05,0.4609375
v600,0.0625,0.11249999701976776,0.05000000074505806,128,0.4522705078125,0.0218930609698873,0.00970724795569733,0.00031057047965532547,9.065138511938603e-05,0.014273360813604086,0.09427849150771153,7.207076799242706e-08,7.220188158020028e-07,1.733427553762823e-05,9.173743253370282e-05,4.1491327746445705e-05,6.362550061121345e-05,1.5101722965482622e-05,0.00014751235238045878,-1.4345415479510848e-05,0.00014803154066304926,0.578125
v600,0.1875,0.23749999701976776,0.05000000074505806,128,0.46905517578125,0.033183778083184734,0.0142740803021712,0.0002514163589353302,9.925062863874845e-05,0.007354508470029941,0.08417824950944221,6.71569234111935e-08,7.408444662330987e-07,-8.947639520834327e-07,3.975210450089945e-05,1.4027556367215976e-05,2.1432508251682996e-05,1.3519108051696094e-05,0.00015098334224492767,-1.3822530036122771e-05,0.00015279608411357328,0.5546875
v600,0.3125,0.36250001192092896,0.05000000074505806,128,0.4473876953125,0.05067051836522296,0.014440433323973819,0.00017181915987407592,8.44917236432637e-05,-0.0009926460686529026,0.06308721646360894,-3.1365698829888267e-08,5.168073758996128e-07,-5.04781798492393e-07,1.389567917338284e-05,4.298009843174688e-06,9.197931830347766e-06,-6.246541488508228e-06,0.00010592757099658735,6.508511432912201e-06,0.00010591247668693516,0.4921875
v600,0.4375,0.48750001192092896,0.05000000074505806,128,0.5020751953125,0.06003160418185871,0.01332701395679793,0.00013945106513801875,7.371665851327079e-05,0.0033809025449045293,0.04265783641094767,3.2959525768372355e-08,4.2063518798469825e-07,4.998657921542748e-07,6.399473515750172e-06,2.2699023708994126e-06,4.449252709797727e-06,6.5046988311223686e-06,8.623582159080378e-05,-6.8228255258873105e-06,8.606895025129943e-05,0.5234375
v600,0.5625,0.612500011920929,0.05000000074505806,128,0.51971435546875,0.06824546246207319,0.014513639685620035,0.0001318294590930691,7.669868782282058e-05,0.004407710484670702,0.029778540933452197,4.664998946857235e-08,3.389134215287125e-07,6.547024530949297e-07,4.420512454290347e-06,1.6250544318079096e-06,3.6451198502000364e-06,9.604496881365776e-06,7.03537249406602e-05,-9.403505828231573e-06,6.840842132703106e-05,0.5546875
v600,0.6875,0.737500011920929,0.05000000074505806,128,0.501708984375,0.06931710065691732,0.010431558215483777,9.312155924590115e-05,5.453905194537774e-05,0.001342934600273793,0.024128856789051897,7.962288564589137e-09,1.719409736834846e-07,8.833002268764795e-08,1.9950581586806518e-06,6.771692833374907e-07,1.2025386240964108e-06,1.538050128147006e-06,3.518133699225224e-05,-1.7096390365622938e-06,3.5329338137390775e-05,0.578125
v600,0.8125,0.862500011920929,0.05000000074505806,128,0.47918701171875,0.07372739852871746,0.010157066219374677,8.802855462874959e-05,5.3045255810620426e-05,0.001959974504643469,0.018909927148797925,1.0126411247729505e-08,1.5181663785919268e-07,1.3108587908899905e-07,1.4703370979428954e-06,5.207202179724479e-07,1.096741760357296e-06,1.9689314285642467e-06,3.097299393143229e-05,-2.116277755703777e-06,3.1064077456631616e-05,0.5
