direction,state,alpha,m,h,predicted_coefficient,estimated_coefficient,raw_error,corrected_error
1,3,1.5,2,0.005,0.1875,0.18770415942108504,2.265430450026198e-06,1.9766190997101884e-08
1,3,2.0,1,0.08,-1.0,-0.9228021341478421,0.002854363675900073,0.000275013339120783
1,3,2.0,1,0.04,-1.0,-0.9608585932570803,0.000742360843180472,3.472612001975442e-05
1,3,2.0,1,0.02,-1.0,-0.9802887203337483,0.00018930503188380188,4.3638573112062065e-06
1,3,2.0,1,0.01,-1.0,-0.9901086612314061,4.7798049729058984e-05,5.469607833899388e-07
1,3,2.0,1,0.005,-1.0,-0.9950453410218024,1.2008951943742432e-05,6.846355124598419e-08
1,3,2.0,2,0.08,0.0,0.032192421522119104,0.00012206980378207777,0.00012206980378207777
1,3,2.0,2,0.04,0.0,0.014702846685742241,1.4036921684442061e-05,1.4036921684442061e-05
1,3,2.0,2,0.02,0.0,0.007015434779267852,1.6807516714854947e-06,1.6807516714854947e-06
1,3,2.0,2,0.01,0.0,0.0034252298358543273,2.0555442620285973e-07,2.0555442620285973e-07
1,3,2.0,2,0.005,0.0,0.0016921794877723544,2.5412968335027127e-08,2.5412968335027127e-08
1,4,0.25,1,0.08,0.09375,0.09396921717966329,0.0003808741181348526,5.7215548828658674e-05
1,4,0.25,1,0.04,0.09375,0.09390504809872674,9.434942689843431e-05,7.205706978702813e-06
1,4,0.25,1,0.02,0.09375,0.09383863987633072,2.351923100971867e-05,9.038763396795379e-07
1,4,0.25,1,0.01,0.09375,0.09379706843602352,5.873953395758341e-06,1.1317599631810564e-07
1,4,0.25,1,0.005,0.09375,0.09377421754753294,1.4679264809413057e-06,1.4158769620733723e-08
1,4,0.25,2,0.08,0.109375,0.10982782563839934,0.000444924555735325,6.535802477155154e-05
1,4,0.25,2,0.04,0.109375,0.10965541554625673,0.0001101607663590142,8.237607325182125e-06
1,4,0.25,2,0.02,0.109375,0.10952827456197246,2.7450775918345176e-05,1.0337299056806089e-06
1,4,0.25,2,0.01,0.109375,0.10945485038064395,6.854456594998808e-06,1.2946136965027335e-07
1,4,0.25,2,0.005,0.109375,0.10941572182332182,1.712772923424287e-06,1.6197782168216406e-08
1,4,0.5,1,0.08,0.125,0.12530765523872656,0.0005119373793374753,9.972192988745834e-05
1,4,0.5,1,0.04,0.125,0.1252132007069954,0.0001260698858460922,1.2603619608841532e-05
1,4,0.5,1,0.02,0.125,0.1251210378896453,3.137651137232222e-05,1.583632075027189e-06
1,4,0.5,1,0.01,0.125,0.12506407777701903,7.833080847427158e-06,1.984503576338141e-07
1,4,0.5,1,0.005,0.125,0.12503292229736315,1.9573117418110773e-06,2.4836848396749978e-08
1,4,0.5,2,0.08,0.1875,0.18860706593310597,0.0007672343251393951,0.00013212256656618948
1,4,0.5,2,0.04,0.1875,0.18816038280181205,0.0001892373742814112,1.67148047572742e-05
1,4,0.5,2,0.02,0.1875,0.18785561230192216,4.709521086957362e-05,2.101243780766589e-06
1,4,0.5,2,0.01,0.1875,0.18768400211548308,1.175429967017095e-05,2.6338061421734757e-07
1,4,0.5,2,0.005,0.1875,0.18759353031161852,2.936607061680947e-06,3.296732666812379e-08
1,4,1.0,1,0.08,0.0,0.00038050741931932057,0.00012744920491958398,0.00012744920491958398
