left,right,time,region,cosine_mean,cosine_std
v180,v270,0.25,early,0.8413804532028735,0.045792033131705594
v180,v300,0.25,early,0.7844919920898974,0.06717974967915698
v180,v400,0.25,early,0.6210544507484883,0.10045865965327713
v180,v500,0.25,early,0.48298649000935256,0.12282119888969473
v180,v600,0.25,early,0.3839088895911118,0.14874674414652178
v240,v270,0.25,early,0.948634872213006,0.017155487502615894
v240,v300,0.25,early,0.9034990253858268,0.03358119708143283
v240,v400,0.25,early,0.7349015646614134,0.06906822757276919
v240,v500,0.25,early,0.5760062348563224,0.10603208625048022
v240,v600,0.25,early,0.4524234191630967,0.1348179650653392
v270,v300,0.25,early,0.9447403931990266,0.019364375342158676
v270,v400,0.25,early,0.7864544526673853,0.06133432220674646
v270,v500,0.25,early,0.6209067991003394,0.100437563644853
v270,v600,0.25,early,0.4858417104696855,0.1256513999514104
v300,v400,0.25,early,0.8333099540323019,0.055682805642265826
v300,v500,0.25,early,0.6670329805929214,0.09736174243885719
v300,v600,0.25,early,0.5223760730586946,0.12895883713939185
v400,v500,0.25,early,0.8198092472739518,0.06889979437823968
v400,v600,0.25,early,0.6664448359515518,0.0982711288031007
v500,v600,0.25,early,0.8039894641842693,0.06707319844517795
v180,v240,0.35,mid,0.8973510889336467,0.026939224426576466
v180,v270,0.35,mid,0.837948331143707,0.04216526398085688
v180,v300,0.35,mid,0.7798454072326422,0.053964865502474896
v180,v400,0.35,mid,0.6105897328816354,0.07604104642177446
v180,v500,0.35,mid,0.4718119775643572,0.08766966751790693
v180,v600,0.35,mid,0.36124164579086937,0.12164746627333173
v240,v270,0.35,mid,0.953914197627455,0.014021057277658231
v240,v300,0.35,mid,0.9089082819409668,0.024452686570737653
v240,v400,0.35,mid,0.7385471891611814,0.05575634122648718
v240,v500,0.35,mid,0.576202027965337,0.0713772899505097
v240,v600,0.35,mid,0.438865143340081,0.10712313914671559
v270,v300,0.35,mid,0.951063429005444,0.015171193204152365
v270,v400,0.35,mid,0.7936430568806827,0.04745161667067439
v270,v500,0.35,mid,0.6211241497658193,0.06897297526655892
v270,v600,0.35,mid,0.47600601823069155,0.10429492030352457
v300,v400,0.35,mid,0.8438002816401422,0.036543406980261296
v300,v500,0.35,mid,0.6734408277552575,0.06250694073674207
v300,v600,0.35,mid,0.5191240471322089,0.09711907085302741
v400,v500,0.35,mid,0.8363357451744378,0.03906283967129052
v400,v600,0.35,mid,0.6752865919843316,0.077245055408956
v500,v600,0.35,mid,0.816185187548399,0.052033305171459154
v180,v240,0.5,mid,0.9013851890340447,0.015261851857990604
v180,v270,0.5,mid,0.8388921236619353,0.0225264551142019
v180,v300,0.5,mid,0.777230289299041,0.03262292638793082
v180,v400,0.5,mid,0.5935939601622522,0.053620700313533776
v180,v500,0.5,mid,0.44366198568604887,0.06745915780287175
v180,v600,0.5,mid,0.33055534574668854,0.0800540321656736
v240,v270,0.5,mid,0.9584328066557646,0.007872282453377595
v240,v300,0.5,mid,0.9130871929228306,0.01410745895628883
v240,v400,0.5,mid,0.7267788928002119,0.03782458550269168
v240,v500,0.5,mid,0.5503347986377776,0.06149153999078863
v240,v600,0.5,mid,0.4069001746829599,0.07801808170521281
v270,v300,0.5,mid,0.9565847190096974,0.007194022580273705
v270,v400,0.5,mid,0.7873969287611544,0.028822289625719665
v270,v500,0.5,mid,0.6031952381599694,0.0554834404231422
v270,v600,0.5,mid,0.44695736723951995,0.0736706132351125
v300,v400,0.5,mid,0.8436530376784503,0.02221774529362147
v300,v500,0.5,mid,0.6612662232946604,0.052024289760206656
v300,v600,0.5,mid,0.49323901254683733,0.07074374074625446
v400,v500,0.5,mid,0.8446512524969876,0.025480132144236195
v400,v600,0.5,mid,0.6720263618044555,0.048260469319534156
v500,v600,0.5,mid,0.8238144111819565,0.027123079830079628
v180,v240,0.65,mid,0.9055152963846922,0.008961560119163806
v180,v270,0.65,mid,0.8442948213778436,0.0132467131108038
v180,v300,0.65,mid,0.7830383055843413,0.01783159820796015
v180,v400,0.65,mid,0.6001565577462316,0.02880024176987941
v180,v500,0.65,mid,0.45223437529057264,0.03812507613500189
v180,v600,0.65,mid,0.32965898199472576,0.04139528326326518
v240,v270,0.65,mid,0.9625089238397777,0.003911670941380965
v240,v300,0.65,mid,0.9173800856806338,0.007459503314249656
v240,v400,0.65,mid,0.7314662770368159,0.02008226503312044
v240,v500,0.65,mid,0.5581749228294939,0.03178585727759193
v240,v600,0.65,mid,0.40726387896575034,0.03914622932969079
v270,v300,0.65,mid,0.9604047434404492,0.0038637083106733148
v270,v400,0.65,mid,0.7930629914626479,0.015805632605067534
v270,v500,0.65,mid,0.6137999719940126,0.028211839181359027
v270,v600,0.65,mid,0.4509524111635983,0.037582475245324966
v300,v400,0.65,mid,0.851272881962359,0.012346514894303703
v300,v500,0.65,mid,0.6732432693243027,0.025169325880132338
v300,v600,0.65,mid,0.4991955771110952,0.03718135719092966
v400,v500,0.65,mid,0.8544883499853313,0.01202355301529363
v400,v600,0.65,mid,0.6791942589916289,0.02681482422564704
v500,v600,0.65,mid,0.8257717816159129,0.015969709866061943
v180,v240,0.75,late,0.9071272420696914,0.005586626116851606
v180,v270,0.75,late,0.8464035606011748,0.00836831390730012
v180,v300,0.75,late,0.7837880435399711,0.011417452687285522
v180,v400,0.75,late,0.6012035864405334,0.017309926951940505
v180,v500,0.75,late,0.457155616953969,0.022774387378162123
v180,v600,0.75,late,0.3334347064374015,0.027401724616490798
v240,v270,0.75,late,0.9636776614934206,0.00237665174138722
v240,v300,0.75,late,0.9176020971499383,0.0048860266967038065
v240,v400,0.75,late,0.7320970795117319,0.012078362173698775
v240,v500,0.75,late,0.5622437121346593,0.018991089464042987
v240,v600,0.75,late,0.4113100375980139,0.024186649256182774
v270,v300,0.75,late,0.961111627984792,0.002635821264882815
v270,v400,0.75,late,0.7944525605998933,0.010317391659677417
v270,v500,0.75,late,0.6186471078544855,0.01723704152502593
v270,v600,0.75,late,0.45582314766943455,0.023666246539174228
v300,v400,0.75,late,0.8540832721628249,0.008094925146767273
v300,v500,0.75,late,0.6793855726718903,0.015019658158630305
v300,v600,0.75,late,0.505303070647642,0.022721665975644127
v400,v500,0.75,late,0.8599621034227312,0.006779095651278234
v400,v600,0.75,late,0.6832332396879792,0.015969921445773503
v500,v600,0.75,late,0.8267401261255145,0.010051489685438026
v180,v240,0.85,late,0.9060825044289231,0.004646277947792806
v180,v270,0.85,late,0.8442138372920454,0.007123655835403547
v180,v300,0.85,late,0.7796027450822294,0.009998242318434325
v180,v400,0.85,late,0.5954273091629148,0.014995460765742584
v180,v500,0.85,late,0.4521852091420442,0.017819820176380244
v180,v600,0.85,late,0.32952896622009575,0.02208015140706008
v240,v270,0.85,late,0.9639035691507161,0.0018031683610139116
v240,v300,0.85,late,0.9164250777103007,0.004096533655691071
v240,v400,0.85,late,0.7294185976497829,0.010135057366376904
v240,v500,0.85,late,0.5600136062130332,0.014830781906529266
v240,v600,0.85,late,0.40980441495776176,0.01990999624928386
v270,v300,0.85,late,0.9610136593692005,0.001966130199360631
v270,v400,0.85,late,0.793266860768199,0.0081572642107692
v270,v500,0.85,late,0.6179360654205084,0.013260365239258701
v270,v600,0.85,late,0.4554629037156701,0.01924867185612166
v300,v400,0.85,late,0.8544888473115861,0.005949727085169453
v300,v500,0.85,late,0.6803384688682854,0.011500071818795709
v300,v600,0.85,late,0.5061818656977266,0.017549518162021594
v400,v500,0.85,late,0.8630199101753533,0.0055601860806200705
v400,v600,0.85,late,0.6848750817589462,0.012716320689225739
v500,v600,0.85,late,0.8269744496792555,0.008678208659852747
v180,v240,0.95,late,0.8983460036106408,0.004715506329858451
v180,v270,0.95,late,0.8322792672552168,0.0074091015100433855
v180,v300,0.95,late,0.7624237607233226,0.010166212658440086
