seed,ambient_dim,hidden_dim,condition,time,rollout_bayes_velocity_mse,state_swd_2d,state_intrinsic_swd,state_off_subspace_rms,true_off_subspace_rms,gate_mean,gate_std
20260831,2,128,D2_velocity_gate,0.03,0.0008849209407344,0.031193920437478,0.031193920437478,5.308990225216804e-08,5.3512387410137314e-08,0.993856966495514,0.0060380259528756
20260831,2,128,D2_velocity_gate,0.1,0.0008118583355098,0.023612971488477,0.023612971488477,4.8894509774299883e-08,4.8166953092732e-08,0.9643908143043518,0.0345835164189338
20260831,2,128,D2_velocity_gate,0.3,0.0013779762666672,0.023212452645129,0.023212452645129,4.168830258777234e-08,3.9727964917801735e-08,0.9289178848266602,0.0421211645007133
20260831,2,128,D2_velocity_gate,0.5,0.0019685332663357,0.0202396232371842,0.0202396232371842,3.911835477765635e-08,3.732086995000827e-08,0.6991466879844666,0.0994148254394531
20260831,2,128,D2_velocity_gate,0.7,0.0100329723209142,0.0190193580086352,0.0190193580086352,4.2839189973165055e-08,4.2173606829010175e-08,0.2063653618097305,0.1295859068632125
20260831,2,128,D2_velocity_gate,0.9,0.2661730349063873,0.0228247245298162,0.0228247245298162,5.2425093599595136e-08,5.2573049913462455e-08,0.0003622579679358,0.0019260428380221
20260831,2,128,D2_velocity_gate,0.97,0.7413345575332642,0.0250358333267277,0.0250358333267277,5.618968756948561e-08,5.5274526289395e-08,0.0002698666648939,0.0008436010102741
20260831,2,128,D2_velocity_gate,0.99,0.165263682603836,0.027448103318079,0.027448103318079,5.754437637506272e-08,5.650083778618865e-08,0.0006658401107415,0.0017787230899557
20260831,2,128,D4_safe_velocity_gate,0.01,0.0004366150824353,0.0292507947565504,0.0292507947565504,5.4080846467741146e-08,5.482566933778799e-08,0.9991697669029236,0.0003712387115228
20260831,2,128,D4_safe_velocity_gate,0.03,0.000418244570028,0.0310296858405545,0.0310296858405545,5.3473034000717234e-08,5.3512387410137314e-08,0.9964988827705384,0.0015702932141721
20260831,2,128,D4_safe_velocity_gate,0.1,0.0003106588264927,0.0236124128114479,0.0236124128114479,5.126298674440478e-08,4.8166953092732e-08,0.9830353260040284,0.0072983494028449
20260831,2,128,D4_safe_velocity_gate,0.3,0.0006236506160348,0.0231168468243124,0.0231168468243124,4.185400825917896e-08,3.9727964917801735e-08,0.8958719968795776,0.0338646434247493
20260831,2,128,D4_safe_velocity_gate,0.5,0.0009796693921089,0.020211868221956,0.020211868221956,3.950916038775176e-08,3.732086995000827e-08,0.6816838383674622,0.0589223504066467
20260831,2,128,D4_safe_velocity_gate,0.7,0.0040146298706531,0.017792797732315,0.017792797732315,4.337440984159002e-08,4.2173606829010175e-08,0.294723242521286,0.0449790731072425
20260831,2,128,D4_safe_velocity_gate,0.9,0.1061240881681442,0.0192439735987539,0.0192439735987539,5.2028532593340067e-08,5.2573049913462455e-08,0.0394373908638954,0.0301123820245265
20260831,2,128,D4_safe_velocity_gate,0.97,0.2417516708374023,0.0192350288631876,0.0192350288631876,5.6223058209070587e-08,5.5274526289395e-08,0.0142064150422811,0.0110566895455122
20260831,2,128,D4_safe_velocity_gate,0.99,0.0572410710155963,0.0231700711214418,0.0231700711214418,5.616247022999232e-08,5.650083778618865e-08,0.0044577522203326,0.0028959249611943
20260831,2,128,S0_xv_switch,0.01,0.0027163210324943,0.029276644620612,0.029276644620612,5.4666848825490895e-08,5.482566933778799e-08,1.0,0.0
20260831,2,128,S0_xv_switch,0.03,0.0014325350057333,0.0311188076355822,0.0311188076355822,5.2651888182708724e-08,5.3512387410137314e-08,1.0,0.0
20260831,2,128,S0_xv_switch,0.1,0.0005541432183235,0.0236589466892801,0.0236589466892801,4.9625988651769155e-08,4.8166953092732e-08,1.0,0.0
20260831,2,128,S0_xv_switch,0.3,0.0007580546080134,0.0238526465896033,0.0238526465896033,4.21982200293769e-08,3.9727964917801735e-08,1.0,0.0
20260831,2,128,S0_xv_switch,0.5,0.0062758987769484,0.0180878580235124,0.0180878580235124,3.8566987825561234e-08,3.732086995000827e-08,1.0,0.0
20260831,2,128,S0_xv_switch,0.7,0.0159959606826305,0.0221962794699755,0.0221962794699755,4.2996880722512294e-08,4.2173606829010175e-08,0.0,0.0
20260831,2,128,S0_xv_switch,0.9,0.9145479798316956,0.0297840899088606,0.0297840899088606,5.3618272488620284e-08,5.2573049913462455e-08,0.0,0.0
20260831,2,128,S0_xv_switch,0.97,2.689976453781128,0.0359902827541388,0.0359902827541388,5.5651955932489734e-08,5.5274526289395e-08,0.0,0.0
