base,k,horizon,variant,amount,displacement_rms,desired_rms,direction_cos_cfg,local_cfg_limit_error,jacobian_target_relative_error,finite_target_relative_error,linearization_relative_error,finite_difference_relative_disagreement,response_target_cosine,best_linear_ray_relative_error,achieved_progress_fraction,native_euler_relative_difference,flow_same_field_relative_error,inverse_resolution_relative_error,conditional_resolution_relative_error,n
cfg_high,8,0.0625,capped_cfg_equal,2.75,0.019672926020575687,0.02850178035441786,1.000000011175871,0.2740108501166105,0.4860404897481203,0.4623787682503462,0.07244792603887618,0.00034160714881181775,0.8742903079837561,0.466728332452476,0.7732173558324575,0.0031115703532123007,5.023991442953957e-05,,,32
cfg_high,8,0.0625,euler_capped,2.75,0.019672925933264196,0.02850178035441786,0.8901570774614811,0.4772723214700818,0.5110387364402413,0.49158091470599174,0.056988341006217524,0.00022310314238893625,0.8569922391325235,0.49657530151307583,0.7101549636572599,0.0031115703532123007,5.023991442953957e-05,,,32
cfg_high,8,0.0625,euler_cfg_equal,2.75,0.021287647454300895,0.02850178035441786,1.000000011175871,0.1987057699880097,0.49577618669718504,0.4682361939921975,0.07641603914089501,0.00034162954921157507,0.8742902930825949,0.46672831755131483,0.8495527757331729,0.0031115703532123007,5.023991442953957e-05,,,32
cfg_high,8,0.0625,euler_debiased,2.75,0.021542842587223276,0.02850178035441786,0.9768904745578766,0.2758426070213318,0.4736525248736143,0.4417670890688896,0.06227226907503791,0.0002518580699870654,0.8832136783748865,0.4541064128279686,0.8093618433922529,0.0031115703532123007,5.023991442953957e-05,,,32
cfg_high,8,0.0625,euler_fsg,2.75,0.021287647454300895,0.02850178035441786,0.8901570662856102,0.4633744331076741,0.5176196377724409,0.4951709285378456,0.06054550543194637,0.0002230804236660333,0.8569922689348459,0.49657527171075344,0.782451200298965,0.0031115703532123007,5.023991442953957e-05,,,32
cfg_high,8,0.0625,flow_capped,2.75,0.0196607738325838,0.02850178035441786,0.8837341107428074,0.4879801273345947,0.22531289618927985,0.19448538079063837,0.05519085508421995,0.00017584621787136712,0.9974156729876995,0.05769459961447865,0.80573711078614,0.0031115703532123007,5.023991442953957e-05,,,32
cfg_high,8,0.0625,flow_cfg_equal,2.75,0.024153844104148448,0.02850178035441786,1.0000000018626451,0.13034508869168349,0.5104217808693647,0.4788883738219738,0.08639576501445845,0.0003417162392906903,0.8742902558296919,0.4667283846065402,0.9575968235731125,0.0031115703532123007,5.023991442953957e-05,,,32
cfg_high,8,0.0625,flow_inverse,2.75,0.024153843900421634,0.02850178035441786,0.8837340995669365,0.4822123358026147,0.06828254373976961,7.749851272365049e-05,0.06828880126704462,0.00017570719137438573,0.9974156823009253,0.05769459420116618,1.0000101123005152,0.0031115703532123007,5.023991442953957e-05,,,32
cfg_high,8,0.0625,resolution,2.75,,,,,,,,,,,,,,0.001986677845707163,0.0021221190563665004,32
cfg_high,8,0.0625,same_field_euler,2.75,0.007214855708298273,0.02850178035441786,-0.24224573106039315,1.1107536815106869,1.0994502510875463,1.0980372317135334,0.033864509903651197,0.0005085260654595913,-0.0916635548346676,0.9912940375506878,-0.022980389272561297,0.0031115703532123007,5.023991442953957e-05,,,32
