base,k,variant,amount,shift_rms,radius_rms,local_gap_rms,write_rms,agreement_rms,guided_write_rms,conditional_drift_rms,null_change_rms,direction_cos_cfg,coarse_reference_c_error,coarse_reference_u_error,c_resnet_p,c_resnet_top1,c_resnet_prediction,c_convnext_p,c_convnext_top1,c_convnext_prediction,u_resnet_p,u_resnet_top1,u_resnet_prediction,u_convnext_p,u_convnext_top1,u_convnext_prediction,reference_c_resnet_p,reference_c_resnet_top1,reference_c_resnet_prediction,reference_c_convnext_p,reference_c_convnext_top1,reference_c_convnext_prediction,reference_guided_resnet_p,reference_guided_resnet_top1,reference_guided_resnet_prediction,reference_guided_convnext_p,reference_guided_convnext_top1,reference_guided_convnext_prediction,write_rms_before,agreement_rms_before,local_gap_rms_before,guided_write_rms_before,conditional_drift_rms_before,u_resnet_p_before,u_resnet_top1_before,u_convnext_p_before,u_convnext_top1_before,c_resnet_p_before,c_resnet_top1_before,c_convnext_p_before,c_convnext_top1_before,delta_write_rms,reduction_write_rms,delta_agreement_rms,reduction_agreement_rms,delta_local_gap_rms,reduction_local_gap_rms,delta_guided_write_rms,reduction_guided_write_rms,delta_conditional_drift_rms,delta_u_resnet_p,delta_u_resnet_top1,delta_u_convnext_p,delta_u_convnext_top1,delta_c_resnet_p,delta_c_resnet_top1,delta_c_convnext_p,delta_c_convnext_top1,n
cfg_high,8,local_fit,2.75,0.019388454347790685,0.019426484825089574,0.10838888288708404,0.22969262779224664,0.22652581834699959,0.47339735040441155,0.04655549005110515,0.051560434090788476,0.08034951281661051,0.01013053461429081,0.0140621667560481,0.4903144674676696,0.609375,450.109375,0.41476310134271444,0.625,455.078125,0.08730803454107439,0.109375,432.34375,0.05011217627259157,0.0625,467.234375,0.47344438402888045,0.59375,449.078125,0.40914776373256245,0.609375,451.5625,0.8699879467021674,0.953125,437.640625,0.7182259105175035,0.921875,446.390625,0.23098344274330884,0.23098344274330884,0.11302682076347992,0.4768324997276068,0.0,0.08202546869072203,0.09375,0.04631795109366976,0.0625,0.47344438402888045,0.59375,0.40914776373256245,0.609375,-0.0012908149510622025,0.007231378800570785,-0.0044576243963092566,0.019110419326113404,-0.004637937876395881,0.036123953842871884,-0.003435149323195219,0.0074832415049785085,0.04655549005110515,0.005282565850352361,0.015625,0.0037942251789218062,0.0,0.016870083438789152,0.015625,0.0056153376101519825,0.015625,64
cfg_high,8,local_radius,2.75,0.019426484883297235,0.019426484825089574,0.09409876598510891,0.26682133111171424,0.22211018996313214,0.4845143756829202,0.17179169412702322,0.201227439858485,0.20815487718209624,0.01013053461429081,0.0140621667560481,0.4912166135982261,0.609375,456.171875,0.3915926957233751,0.625,448.28125,0.10989092194297712,0.171875,438.6875,0.06515404586571094,0.109375,489.359375,0.47344438402888045,0.59375,449.078125,0.40914776373256245,0.609375,451.5625,0.8699879467021674,0.953125,437.640625,0.7182259105175035,0.921875,446.390625,0.23098344274330884,0.23098344274330884,0.11302682076347992,0.4768324997276068,0.0,0.08202546869072203,0.09375,0.04631795109366976,0.0625,0.47344438402888045,0.59375,0.40914776373256245,0.609375,0.0358378883684054,-0.15343628507590654,-0.0088732527801767,0.0243773866088337,-0.018928054778371006,0.14008141030462104,0.007681875955313444,-0.010352592707641746,0.17179169412702322,0.02786545325225509,0.078125,0.01883609477204118,0.046875,0.017772229569345654,0.015625,-0.01755506800918738,0.015625,64
cfg_high,8,unchanged,2.75,0.0,0.019426484825089574,0.11302682076347992,0.23098344274330884,0.23098344274330884,0.4768324997276068,0.0,0.0,0.0,0.01013053461429081,0.0140621667560481,0.47344438402888045,0.59375,449.078125,0.40914776373256245,0.609375,451.5625,0.08202546869072203,0.09375,436.6875,0.04631795109366976,0.0625,468.5625,0.47344438402888045,0.59375,449.078125,0.40914776373256245,0.609375,451.5625,0.8699879467021674,0.953125,437.640625,0.7182259105175035,0.921875,446.390625,0.23098344274330884,0.23098344274330884,0.11302682076347992,0.4768324997276068,0.0,0.08202546869072203,0.09375,0.04631795109366976,0.0625,0.47344438402888045,0.59375,0.40914776373256245,0.609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64
cfg_high,8,write_fit,2.75,0.01823317975504324,0.019426484825089574,0.11139107041526586,0.19339112332090735,0.22252969059627503,0.44851029478013515,0.07407040656835306,0.08538636870798655,0.4066758359549567,0.01013053461429081,0.0140621667560481,0.5073573424924689,0.609375,439.796875,0.43992630920729425,0.65625,447.9375,0.12362854505175846,0.15625,438.65625,0.07018527277057274,0.125,446.359375,0.47344438402888045,0.59375,449.078125,0.40914776373256245,0.609375,451.5625,0.8699879467021674,0.953125,437.640625,0.7182259105175035,0.921875,446.390625,0.23098344274330884,0.23098344274330884,0.11302682076347992,0.4768324997276068,0.0,0.08202546869072203,0.09375,0.04631795109366976,0.0625,0.47344438402888045,0.59375,0.40914776373256245,0.609375,-0.03759231942240149,0.16276863746711473,-0.00845375214703381,0.03158046147779388,-0.00163575034821406,0.014848991204598884,-0.02832220494747162,0.058743454992002606,0.07407040656835306,0.04160307636103644,0.0625,0.023867321676902975,0.0625,0.03391295846358844,0.015625,0.0307785454747318,0.046875,64
cfg_high,8,write_radius,2.75,0.019426484854193404,0.019426484825089574,0.10470159025862813,0.1996384597150609,0.20278933795634657,0.4258576692081988,0.15038490807637572,0.21428071288391948,0.9158312121871859,0.01013053461429081,0.0140621667560481,0.5343094134241255,0.65625,455.875,0.4561673977505052,0.671875,434.0,0.1571609383247745,0.234375,424.25,0.12231024550345637,0.21875,445.359375,0.47344438402888045,0.59375,449.078125,0.40914776373256245,0.609375,451.5625,0.8699879467021674,0.953125,437.640625,0.7182259105175035,0.921875,446.390625,0.23098344274330884,0.23098344274330884,0.11302682076347992,0.4768324997276068,0.0,0.08202546869072203,0.09375,0.04631795109366976,0.0625,0.47344438402888045,0.59375,0.40914776373256245,0.609375,-0.03134498302824795,0.11281125892967499,-0.02819410478696227,0.09627308884424747,-0.008325230504851788,0.052915855170903164,-0.05097483051940799,0.10218844532521243,0.15038490807637572,0.07513546963405249,0.140625,0.07599229440978661,0.15625,0.060865029395245074,0.0625,0.047019634017942735,0.0625,64
cfg_high,24,agreement_fit,2.75,0.01645255221228581,0.01748272772238124,0.10085165785858408,0.07470197230577469,0.07367825938854367,0.20365655329078436,0.023470728541724384,0.027530683000804856,0.12240269908261325,0.002081968962556857,0.002264009891405294,0.7394321275060065,0.875,431.25,0.6138913588147261,0.8125,450.171875,0.5732984279989068,0.71875,445.34375,0.5077956965578778,0.71875,453.65625,0.7366905778471846,0.84375,441.515625,0.6115534993150504,0.828125,451.640625,0.870041519170627,0.953125,437.640625,0.7183454603509745,0.921875,446.390625,0.07820426218677312,0.07820426218677312,0.10171768866712227,0.20780914998613298,0.0,0.5594675542106415,0.703125,0.5045485187947634,0.71875,0.7366905778471846,0.84375,0.6115534993150504,0.828125,-0.0035022898809984326,0.04670490073207852,-0.004526002798229456,0.05688247547012643,-0.0008660308085381985,0.008028727560761654,-0.00415259669534862,0.021151539540663233,0.023470728541724384,0.013830873788265308,0.015625,0.0032471777631144505,0.0,0.0027415496588218957,0.03125,0.0023378594996756874,-0.015625,64
cfg_high,24,agreement_radius,2.75,0.01748272757686209,0.01748272772238124,0.1001809166627936,0.08442874834872782,0.0714014595723711,0.20267815585248172,0.05951847683172673,0.07000836095539853,0.2654434427531669,0.002081968962556857,0.002264009891405294,0.729069680935936,0.84375,426.703125,0.6190291670827719,0.8125,450.125,0.5793499246792635,0.703125,455.640625,0.529960736814246,0.75,457.578125,0.7366905778471846,0.84375,441.515625,0.6115534993150504,0.828125,451.640625,0.870041519170627,0.953125,437.640625,0.7183454603509745,0.921875,446.390625,0.07820426218677312,0.07820426218677312,0.10171768866712227,0.20780914998613298,0.0,0.5594675542106415,0.703125,0.5045485187947634,0.71875,0.7366905778471846,0.84375,0.6115534993150504,0.828125,0.006224486161954701,-0.08155941268788877,-0.006802802614402026,0.08462627253284077,-0.0015367720043286681,0.01257526821959253,-0.0051309941336512566,0.026784618355270916,0.05951847683172673,0.019882370468621957,0.0,0.02541221801948268,0.03125,-0.007620896911248565,0.0,0.007475667767721461,-0.015625,64
cfg_high,24,cfg_radius,2.75,0.01748272769327741,0.01748272772238124,0.09840199933387339,0.05537485398235731,0.07154855347471312,0.17560926172882318,0.05649618394090794,0.07083705632248893,1.0000000083819032,0.002081968962556857,0.002264009891405294,0.7692646555660758,0.84375,445.03125,0.6392988452134887,0.84375,450.859375,0.6375737294147257,0.765625,452.28125,0.556317997044971,0.765625,450.984375,0.7366905778471846,0.84375,441.515625,0.6115534993150504,0.828125,451.640625,0.870041519170627,0.953125,437.640625,0.7183454603509745,0.921875,446.390625,0.07820426218677312,0.07820426218677312,0.10171768866712227,0.20780914998613298,0.0,0.5594675542106415,0.703125,0.5045485187947634,0.71875,0.7366905778471846,0.84375,0.6115534993150504,0.828125,-0.022829408204415813,0.2907871202212775,-0.0066557087120600045,0.0824255590791103,-0.0033156893332488835,0.028511852169112176,-0.032199888257309794,0.15691761017198824,0.05649618394090794,0.07810617520408414,0.0625,0.05176947825020761,0.046875,0.0325740777188912,0.0,0.027745345898438245,0.015625,64
cfg_high,24,cycle_radius,2.75,0.017482727562310174,0.01748272772238124,0.10200455412268639,0.09725452942075208,0.0809334387886338,0.20713908388279378,0.056336500245379284,0.06945096785784699,-0.16365746827068506,0.002081968962556857,0.002264009891405294,0.7393015029228991,0.84375,427.1875,0.6119034334551543,0.84375,453.125,0.5717784243127539,0.71875,441.9375,0.4929562192191952,0.71875,454.203125,0.7366905778471846,0.84375,441.515625,0.6115534993150504,0.828125,451.640625,0.870041519170627,0.953125,437.640625,0.7183454603509745,0.921875,446.390625,0.07820426218677312,0.07820426218677312,0.10171768866712227,0.20780914998613298,0.0,0.5594675542106415,0.703125,0.5045485187947634,0.71875,0.7366905778471846,0.84375,0.6115534993150504,0.828125,0.019050267233978957,-0.26941667115163515,0.0027291766018606722,-0.04002637919795594,0.00028686545556411147,0.0023964764418217925,-0.0006700661033391953,0.0001625369800720318,0.056336500245379284,0.012310870102112403,0.015625,-0.011592299575568177,0.0,0.0026109250757144764,0.0,0.00034993414010386914,0.015625,64
cfg_high,24,fsg_capped,2.75,0.01748272785334848,0.01748272772238124,0.09932939161080867,0.05872619745787233,0.07544836838496849,0.18150681909173727,0.047946012287866324,0.05181079707108438,0.7819638960063457,0.002081968962556857,0.002264009891405294,0.7693907576613128,0.875,426.015625,0.632188579034846,0.84375,451.296875,0.6304909011123527,0.75,444.296875,0.5427146626279864,0.75,457.609375,0.7366905778471846,0.84375,441.515625,0.6115534993150504,0.828125,451.640625,0.870041519170627,0.953125,437.640625,0.7183454603509745,0.921875,446.390625,0.07820426218677312,0.07820426218677312,0.10171768866712227,0.20780914998613298,0.0,0.5594675542106415,0.703125,0.5045485187947634,0.71875,0.7366905778471846,0.84375,0.6115534993150504,0.828125,-0.01947806472890079,0.237741465669556,-0.002755893801804632,0.03282341194917231,-0.002388297056313604,0.022006489981790466,-0.02630233089439571,0.12626193289155677,0.047946012287866324,0.07102334690171119,0.046875,0.03816614383322303,0.03125,0.032700179814128205,0.03125,0.020635079719795613,0.015625,64
