base,index,amount,w,k,horizon,variant,displacement_rms,effective_coefficient_per_H,first_order_length_ratio,finite_error_flow_target,finite_error_own_euler_target,linear_error_flow_target,linear_error_own_euler_target,fd_epsilon_vs_double,flow_vs_euler_target_difference,autograd_vs_finite_relative_error,autograd_vs_finite_cosine
cfg_high,0,2.75,3.75,24,0.03125,euler_fsg,0.009092587977647781,3.7325973510742188,0.9953593015670776,0.20717348158359528,0.0751393586397171,0.20836316049098969,0.07526538521051407,5.037396840634756e-05,0.16211731731891632,3.7680154491681606e-05,1.0000001192092896
cfg_high,0,2.75,3.75,24,0.03125,cfg_equal,0.009092587977647781,3.7325973510742188,0.9953593015670776,0.15567415952682495,0.09316398203372955,0.1575954407453537,0.09355959296226501,5.321757271303795e-05,0.16211731731891632,3.9162623579613864e-05,1.0000001192092896
cfg_high,0,2.75,3.75,24,0.03125,cfg_first_order,0.009134980849921703,3.750000238418579,1.0,0.15541601181030273,0.09401902556419373,0.15732836723327637,0.09435966610908508,5.3275449317879975e-05,0.16211731731891632,,
cfg_high,0,2.75,3.75,24,0.03125,flow_inverse,0.009365765377879143,3.8447394371032715,1.025263786315918,2.277743988088332e-06,0.16764448583126068,0.006267162039875984,0.1655806005001068,5.3832151024835184e-05,0.16211731731891632,,
cfg_high,0,2.75,3.75,24,0.03125,inverse_euler_target,0.009048793464899063,3.7146193981170654,0.9905651211738586,0.16211754083633423,2.2777135200158227e-06,0.16370809078216553,0.005619709845632315,4.86378266941756e-05,0.16211731731891632,,
cfg_high,0,2.75,3.75,24,0.03125,capped_euler,0.009092587977647781,3.7325973510742188,0.9953593015670776,0.20717348158359528,0.0751393586397171,0.20836316049098969,0.07526538521051407,5.037396840634756e-05,0.16211731731891632,,
cfg_high,0,2.75,3.75,24,0.03125,capped_cfg,0.009092587977647781,3.7325973510742188,0.9953593015670776,0.15567415952682495,0.09316398203372955,0.1575954407453537,0.09355959296226501,5.321757271303795e-05,0.16211731731891632,,
cfg_high,0,2.75,3.75,24,0.125,euler_fsg,0.039938848465681076,4.098823070526123,1.0930194854736328,0.7644744515419006,0.36688685417175293,0.7844022512435913,0.3800630271434784,0.0002836276835296303,0.5301740765571594,0.00020321541524026543,1.0
cfg_high,0,2.75,3.75,24,0.125,cfg_equal,0.039938848465681076,4.098823070526123,1.0930194854736328,0.5398340821266174,0.4581030309200287,0.5940174460411072,0.4613020420074463,0.000382133643142879,0.5301740765571594,0.00030712064472027123,1.0
cfg_high,0,2.75,3.75,24,0.125,cfg_first_order,0.03653992339968681,3.750000238418579,1.0,0.5098791718482971,0.40549567341804504,0.5596644878387451,0.4123480021953583,0.0003812348295468837,0.5301740765571594,,
cfg_high,0,2.75,3.75,24,0.125,flow_inverse,0.038693949580192566,3.971062421798706,1.0589499473571777,6.625320384046063e-05,0.5707504153251648,0.12266572564840317,0.5295955538749695,0.00047069668653421104,0.5301740765571594,,
cfg_high,0,2.75,3.75,24,0.125,inverse_euler_target,0.03634779527783394,3.7302825450897217,0.9947419762611389,0.5301909446716309,5.5616786994505674e-05,0.5629981160163879,0.08746451884508133,0.0003523729683365673,0.5301740765571594,,
cfg_high,0,2.75,3.75,24,0.125,capped_euler,0.013397972099483013,1.3750001192092896,0.36666667461395264,0.8002234697341919,0.6693726778030396,0.8023310899734497,0.670571506023407,0.0002840422675944865,0.5301740765571594,,
cfg_high,0,2.75,3.75,24,0.125,capped_cfg,0.013397973030805588,1.3750001192092896,0.366666704416275,0.7104282379150391,0.6470056176185608,0.7153675556182861,0.6493531465530396,0.0003817108226940036,0.5301740765571594,,
