method,control,k,suffix,delta_resnet_top1,delta_resnet_top1_lo,delta_resnet_top1_hi,delta_convnext_top1,delta_convnext_top1_lo,delta_convnext_top1_hi,delta_resnet_p,delta_resnet_p_lo,delta_resnet_p_hi,delta_convnext_p,delta_convnext_p_lo,delta_convnext_p_hi,n
cfg_high,cfg_tuned,32,conditional,0.08,0.03,0.135,0.03,-0.02,0.08,0.10562230986322901,0.06990196860234618,0.1430996437341864,0.088025797517912,0.06016349458840705,0.11721994201422056,200
cfg_high,cfg_tuned,32,null,0.14,0.08,0.205,0.11,0.05,0.17,0.18273105586233895,0.14152431891894696,0.22467209550910655,0.13980543572652096,0.10757309027719203,0.17314116565799664,200
cfg_high,cfg_tuned,40,conditional,0.08,0.04,0.125,0.045,0.005,0.09,0.097280259590043,0.06626135739826713,0.1315127386839267,0.08275680934777484,0.054970924952824136,0.11115179003684895,200
cfg_high,cfg_tuned,40,null,0.1,0.055,0.15,0.055,0.005,0.105,0.12168888400392461,0.08674544823682481,0.15845803155801605,0.10107385996016091,0.07155573156393438,0.13213458889695173,200
cfg_high,cfg_tuned,48,conditional,0.1,0.06,0.145,0.05,0.015,0.085,0.09645743084889545,0.06762885845083291,0.12909336092075865,0.07983204188232776,0.05411889616923872,0.1062598384615703,200
cfg_high,cfg_tuned,48,null,0.1,0.059875000000000005,0.15,0.055,0.015,0.095,0.102257686231751,0.07214302314282395,0.13595809192358865,0.08633521197771188,0.05908261401193158,0.11381284601081278,200
cfg_high,cfg_tuned,64,guided,0.1,0.06,0.145,0.05,0.015,0.085,0.09645743084889545,0.06762885845083291,0.12909336092075865,0.07983204188232776,0.05411889616923872,0.1062598384615703,200
cfg_high,smc_high,8,conditional,0.165,0.105,0.225,0.095,0.025,0.16512499999999933,0.12687607316526284,0.0867122387803347,0.17031949185675374,0.11324760806455743,0.07543844411254395,0.1525094451572476,200
cfg_high,smc_high,8,null,0.07,0.03,0.11,0.07,0.035,0.11,0.06279524512205568,0.03796553224150563,0.09050959016822857,0.04988530223641646,0.031560994073784966,0.07185245435856905,200
cfg_high,smc_high,16,conditional,0.145,0.08,0.215,0.09,0.03,0.145,0.1569030796784318,0.11242899604650711,0.20321726387304398,0.11296561338589527,0.07704441875719567,0.1509924322969309,200
cfg_high,smc_high,16,null,0.24,0.175,0.305,0.255,0.185,0.33,0.21889308534155333,0.1729902065080753,0.26649069458185237,0.1996261119296105,0.1589581798106392,0.2407925670070235,200
cfg_high,smc_high,24,conditional,0.11,0.055,0.17,0.055,0.0,0.105,0.15638936534669484,0.11340528252873629,0.2021243876280132,0.08849578973546159,0.05727310260402737,0.12084409734407381,200
cfg_high,smc_high,24,null,0.27,0.2,0.345,0.25,0.185,0.32,0.261463760212464,0.21254700849140046,0.31040822199185825,0.20331210433811064,0.16302867130475715,0.24618024652505846,200
cfg_high,smc_high,32,conditional,0.08,0.025,0.135,0.015,-0.035,0.065,0.13349818798771593,0.09537676981248659,0.1749952299014403,0.07970927800168283,0.05022806223732187,0.10982459597158595,200
cfg_high,smc_high,32,null,0.19,0.13,0.255,0.13,0.07,0.19,0.2220488380274037,0.1741698686677264,0.27100135949921966,0.15574040529172634,0.11749921682884451,0.19278608397930655,200
cfg_high,smc_high,40,conditional,0.055,0.01,0.105,0.035,-0.005124999999999993,0.08,0.1098622980271466,0.07800747565936762,0.1459905422665761,0.07249423531815409,0.04508614926791051,0.10055870148830581,200
cfg_high,smc_high,40,null,0.08,0.025,0.135,0.05,0.0,0.1,0.15193667616636958,0.11331947545662115,0.19206124997802546,0.09972894484875723,0.06991902716175537,0.13076188017521054,200
cfg_high,smc_high,48,conditional,0.075,0.035,0.12,0.03,-0.005,0.06512499999999932,0.09848894349430339,0.06931274007071625,0.13046884621860227,0.06893413048237562,0.04428451456688345,0.09483124672126723,200
cfg_high,smc_high,48,null,0.075,0.035,0.12,0.035,-0.005,0.08,0.10937161102046958,0.0785490409783306,0.143343287755466,0.07366194575559348,0.04745611557731172,0.10024959641735766,200
cfg_high,smc_high,64,guided,0.075,0.035,0.12,0.03,-0.005,0.06512499999999932,0.09848894349430339,0.06931274007071625,0.13046884621860227,0.06893413048237562,0.04428451456688345,0.09483124672126723,200
cfg_tuned,cfg_high,8,conditional,-0.105,-0.16,-0.055,-0.07,-0.125,-0.01,-0.09114589858334511,-0.12494541406018016,-0.058890940925732146,-0.08265443300810148,-0.11536576173993399,-0.05013926759254268,200
cfg_tuned,cfg_high,8,null,-0.065,-0.105,-0.025,-0.04,-0.075,-0.01,-0.05224585011850991,-0.07579012582485603,-0.030631361223140485,-0.0394435577726108,-0.057787835878289576,-0.023439217747532444,200
cfg_tuned,cfg_high,16,conditional,-0.115,-0.18,-0.05,-0.1,-0.155,-0.045,-0.12089640981904268,-0.15993415084190177,-0.08212884169491191,-0.10335510292134131,-0.13567304880026496,-0.07275271010705911,200
cfg_tuned,cfg_high,16,null,-0.175,-0.235,-0.115,-0.225,-0.295,-0.16,-0.17306129077552668,-0.21507782711479093,-0.13122381984737536,-0.16628347398087498,-0.2063257103380629,-0.12832198366569905,200
cfg_tuned,cfg_high,24,conditional,-0.07,-0.125,-0.02,-0.09,-0.145,-0.035,-0.1291679912052723,-0.16799450539742236,-0.09187456594811955,-0.09058923367294483,-0.12134658741740714,-0.06263186376616797,200
cfg_tuned,cfg_high,24,null,-0.23,-0.3,-0.165,-0.185,-0.255,-0.115,-0.2091059821734325,-0.2556034141071323,-0.16489547138106206,-0.17783512779591548,-0.21437149161067645,-0.13938760468183864,200
cfg_tuned,cfg_high,32,conditional,-0.08,-0.135,-0.03,-0.03,-0.08,0.02,-0.10562230986322901,-0.1430996437341864,-0.06990196860234621,-0.088025797517912,-0.11721994201422058,-0.060163494588407064,200
cfg_tuned,cfg_high,32,null,-0.14,-0.205,-0.08,-0.11,-0.17,-0.05,-0.18273105586233895,-0.22467209550910655,-0.14152431891894696,-0.13980543572652096,-0.17314116565799667,-0.10757309027719204,200
