arm,source_arm,method,handoff,tail,reused,fid,complete,full_calls_per_image,prefix_calls_per_image,sum_batch_gpu_seconds,directory,sfid,inception_score,resnet_p,resnet_top1,convnext_p,convnext_top1,inception_total_variance,inception_within_target_variance,fid_delta_tuned_cfg,sampling_cost_ratio_tuned_cfg,within_target_variance_ratio_tuned_cfg
write_fit,,write_fit,,null,False,45.84142053253322,True,1005.0,0.0,720.0883453772403,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/write_fit,206.1418075193278,61.93354415893555,0.7992469668388367,0.8859999775886536,0.6440452337265015,0.897,162.67577655474417,83.3098220431965,0.1340796207580297,4.233851801819707,0.9676319456963872
guided_write_fit,,guided_write_fit,,null,False,45.84636062528318,True,1005.0,0.0,719.5764787974767,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/guided_write_fit,206.08953563901832,62.016197204589844,0.7992213368415833,0.8859999775886536,0.6437906622886658,0.897,162.7687584849171,83.34624925471579,0.13901971350799158,4.2308422166001485,0.96805504266976
cfg_tuned_null_16,,cfg_tuned,16.0,null,False,100.77048919530978,True,160.0,0.0,139.99060876853764,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/cfg_tuned_null_16,208.16045110696723,20.115421295166016,0.1769341081380844,0.23800000548362732,0.1560981720685959,0.25,204.9429584555404,176.1645696066235,55.06314828353459,0.8230927426856312,2.0461268680040896
cfg_tuned_null_32,,cfg_tuned,32.0,null,False,55.058357295787005,True,192.0,0.0,153.62946370244026,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/cfg_tuned_null_32,206.56820863238352,44.724334716796875,0.600724458694458,0.7310000061988831,0.48215898871421814,0.729,174.6855042097229,116.44002990577738,9.351016384011814,0.9032841399042735,1.3524346821465112
cfg_tuned_null_48,,cfg_tuned,48.0,null,False,45.84108565914653,True,224.0,0.0,176.7143513499759,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/cfg_tuned_null_48,206.46608316353343,59.379730224609375,0.7720144987106323,0.8659999966621399,0.620010256767273,0.877,164.73246536924904,89.40787220121275,0.13374474737133824,1.0390146982291986,1.0384599464607618
cfg_tuned_conditional_32,,cfg_tuned,32.0,conditional,False,47.41786226140738,True,192.0,0.0,153.59684371296316,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/cfg_tuned_conditional_32,206.17938450997167,56.04829025268555,0.7187538743019104,0.8180000185966492,0.5779234766960144,0.824,166.92187328176834,97.25970638420043,1.710521349632188,0.9030923464915491,1.1296579036935877
cfg_high_null_16,,cfg_high,16.0,null,False,78.83832858038107,True,160.0,0.0,143.5842233551666,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/cfg_high_null_16,203.00094066633687,30.27867889404297,0.35458582639694214,0.45399999618530273,0.29916268587112427,0.451,190.19484351768187,145.12417889798704,33.13098766860588,0.8442218606477805,1.6855970658758326
cfg_high_null_32,,cfg_high,32.0,null,False,50.4992513096995,True,192.0,0.0,152.73731935024261,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/cfg_high_null_32,204.7600064751548,60.667964935302734,0.7770141363143921,0.8619999885559082,0.6333394646644592,0.883,166.08599250924237,87.43781686440869,4.791910397924312,0.8980386627384731,1.015578028915759
cfg_high_null_48,,cfg_high,48.0,null,False,53.98437993264781,True,224.0,0.0,176.69528704648837,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/cfg_high_null_48,206.15914702261273,69.98443603515625,0.866954505443573,0.9290000200271606,0.7123094201087952,0.931,162.89003137219262,66.8737880391965,8.277039020872621,1.0389026072112153,0.7767297066473565
cfg_high_conditional_32,,cfg_high,32.0,conditional,False,51.09423883302429,True,192.0,0.0,153.078480259981,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/cfg_high_conditional_32,204.92837501884833,66.17398834228516,0.8261456489562988,0.8970000147819519,0.6788628101348877,0.914,162.87060214462892,76.20890522169077,5.386897921249101,0.9000445620724633,0.8851557887234541
fsg_high_null_16,,fsg_high,16.0,null,False,68.90999529862358,True,172.0,0.0,139.18121177284047,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/fsg_high_null_16,202.6046585871194,38.13344955444336,0.5349763035774231,0.6399999856948853,0.4315774142742157,0.629,179.68395247746437,111.08829317939392,23.202654386848394,0.8183337892174638,1.2902750076399427
