start,base,amount,w,k,horizon,variant,index,displacement_rms,effective_coefficient_per_H,first_order_length_ratio,direction_cos_cfg,finite_error_flow_target,finite_error_own_euler_target,flow_vs_euler_target_relative_difference
0,cfg_tuned,1.25,2.25,8,0.0625,flow_inverse,6,0.031332872807979584,2.036001205444336,0.9048894047737122,0.9184558391571045,4.016200909973122e-05,0.26086312532424927,0.24540884792804718
0,cfg_tuned,1.25,2.25,8,0.0625,flow_inverse,7,0.015347309410572052,2.069462537765503,0.9197611808776855,0.9309524297714233,8.512765634804964e-05,0.23240016400814056,0.22887186706066132
0,cfg_tuned,1.25,2.25,8,0.0625,own_euler_inverse,0,0.009281321428716183,1.855989694595337,0.824884295463562,0.9500254988670349,0.288608193397522,3.709526572492905e-05,0.28860586881637573
0,cfg_tuned,1.25,2.25,8,0.0625,own_euler_inverse,1,0.012267069891095161,1.785032868385315,0.793347954750061,0.9639047980308533,0.3142605423927307,3.5874869354302064e-05,0.3142530024051666
0,cfg_tuned,1.25,2.25,8,0.0625,own_euler_inverse,2,0.006519667338579893,1.5218379497528076,0.6763724088668823,0.9127476811408997,0.3476067781448364,0.0001079804205801338,0.34763196110725403
0,cfg_tuned,1.25,2.25,8,0.0625,own_euler_inverse,3,0.010425718501210213,1.9615710973739624,0.8718093633651733,0.9460734724998474,0.43711617588996887,5.851410242030397e-05,0.43710845708847046
0,cfg_tuned,1.25,2.25,8,0.0625,own_euler_inverse,4,0.00810995977371931,2.0229930877685547,0.8991079926490784,0.9344774484634399,0.4587181508541107,5.7555742387194186e-05,0.4587348997592926
0,cfg_tuned,1.25,2.25,8,0.0625,own_euler_inverse,5,0.012565641663968563,1.8148889541625977,0.8066173195838928,0.9538240432739258,0.36183294653892517,0.0001101559100789018,0.36187058687210083
0,cfg_tuned,1.25,2.25,8,0.0625,own_euler_inverse,6,0.02780548296868801,1.8067923784255981,0.8030188679695129,0.9770467281341553,0.2454184889793396,3.873796958941966e-05,0.24540884792804718
0,cfg_tuned,1.25,2.25,8,0.0625,own_euler_inverse,7,0.014619945548474789,1.9713833332061768,0.8761703968048096,0.9594373106956482,0.2288636714220047,8.1581536505837e-05,0.22887186706066132
0,cfg_tuned,1.25,2.25,8,0.125,euler_fsg,0,0.022913778200745583,2.291038751602173,1.0182394981384277,0.5085514783859253,0.9499832391738892,0.5975035429000854,0.48698922991752625
0,cfg_tuned,1.25,2.25,8,0.125,euler_fsg,1,0.02428475208580494,1.76688814163208,0.785283625125885,0.6766106486320496,0.8238049149513245,0.36753910779953003,0.629472017288208
0,cfg_tuned,1.25,2.25,8,0.125,euler_fsg,2,0.017112581059336662,1.9972319602966309,0.8876585960388184,0.17704734206199646,1.426893711090088,1.007210612297058,0.6972818970680237
0,cfg_tuned,1.25,2.25,8,0.125,euler_fsg,3,0.027208970859646797,2.559647560119629,1.1376211643218994,0.5298312902450562,1.2889626026153564,0.7579283714294434,0.74464350938797
0,cfg_tuned,1.25,2.25,8,0.125,euler_fsg,4,0.022976774722337723,2.8657267093658447,1.2736562490463257,0.45365697145462036,1.1748712062835693,0.7701661586761475,0.6818839907646179
0,cfg_tuned,1.25,2.25,8,0.125,euler_fsg,5,0.034643590450286865,2.501832962036133,1.111925721168518,0.6504140496253967,1.4529534578323364,0.684810996055603,0.6309321522712708
0,cfg_tuned,1.25,2.25,8,0.125,euler_fsg,6,0.04205984249711037,1.366518259048462,0.607341468334198,0.8354533314704895,0.5083764791488647,0.27796876430511475,0.39899203181266785
0,cfg_tuned,1.25,2.25,8,0.125,euler_fsg,7,0.03288305550813675,2.2170093059539795,0.9853374361991882,0.6431771516799927,0.8804219961166382,0.6081092953681946,0.46700721979141235
0,cfg_tuned,1.25,2.25,8,0.125,cfg_equal,0,0.022913778200745583,2.291038751602173,1.0182394981384277,1.0000001192092896,0.806202232837677,0.8549890518188477,0.48698922991752625
0,cfg_tuned,1.25,2.25,8,0.125,cfg_equal,1,0.02428475208580494,1.76688814163208,0.785283625125885,1.0,0.7100982666015625,0.6036977767944336,0.629472017288208
0,cfg_tuned,1.25,2.25,8,0.125,cfg_equal,2,0.01711258292198181,1.99723219871521,0.8876587152481079,0.9999998807907104,0.9088170528411865,1.4487944841384888,0.6972818970680237
0,cfg_tuned,1.25,2.25,8,0.125,cfg_equal,3,0.027208970859646797,2.559647560119629,1.1376211643218994,0.9999998807907104,0.988255500793457,0.8101587295532227,0.74464350938797
0,cfg_tuned,1.25,2.25,8,0.125,cfg_equal,4,0.022976774722337723,2.8657267093658447,1.2736562490463257,1.0,0.5429334044456482,1.2084096670150757,0.6818839907646179
0,cfg_tuned,1.25,2.25,8,0.125,cfg_equal,5,0.034643590450286865,2.501832962036133,1.111925721168518,1.0000001192092896,1.167178750038147,0.7352369427680969,0.6309321522712708
0,cfg_tuned,1.25,2.25,8,0.125,cfg_equal,6,0.04205984249711037,1.366518259048462,0.607341468334198,1.0,0.5680376887321472,0.32451772689819336,0.39899203181266785
0,cfg_tuned,1.25,2.25,8,0.125,cfg_equal,7,0.03288305550813675,2.2170093059539795,0.9853374361991882,1.0,0.7885533571243286,0.6576893329620361,0.46700721979141235
0,cfg_tuned,1.25,2.25,8,0.125,euler_capped,0,0.006250924896448851,0.625,0.2777777910232544,0.5085514783859253,0.8429585695266724,0.7375279068946838,0.48698922991752625
