arm,state_index,mean_spatial_channel_mean,rms_spatial_channel_mean,mean_spatial_channel_second_moment,first1024_squared_feature_difference_from_official,second1024_squared_feature_difference_from_official
candidate,13,0.00013509346850692992,0.06238064706264123,0.9642640297269591,5.217062616084521e-08,1.2486113172961845e-08
candidate,14,0.00013020616943030914,0.06252227878552354,0.9611812772973609,6.173626204886016e-08,1.4706502280777553e-08
candidate,15,0.00012529769712020072,0.06268762505934745,0.9580463027958532,7.257515759400918e-08,1.7151816455912236e-08
candidate,16,0.0001203123251429369,0.06287801521537931,0.9548579607806482,8.458031443923618e-08,1.982991556164611e-08
candidate,17,0.00011523095875751107,0.06309462251602257,0.9516146920517097,9.80492198145423e-08,2.2759996933465568e-08
candidate,18,0.00011001010383600721,0.06333889906016114,0.9483155411818908,1.130366476074732e-07,2.5950447678659117e-08
candidate,19,0.00010468455528973625,0.06361202499960426,0.9449586318142924,1.2918900059622806e-07,2.9401127402593324e-08
candidate,20,9.921695832252638e-05,0.06391571700889019,0.9415429603107215,1.4690372880227482e-07,3.314124073588081e-08
candidate,21,9.364742740142345e-05,0.06425170218157283,0.9380667074988238,1.6674286754299118e-07,3.719690560202692e-08
candidate,22,8.795431668395006e-05,0.06462144820866932,0.934528598437138,1.886634155193157e-07,4.158232502717713e-08
candidate,23,8.21410895210357e-05,0.06502603976065587,0.9309268602276314,2.1279665185061942e-07,4.63137121627735e-08
candidate,24,7.625341022419868e-05,0.06546746388214296,0.9272601444905462,2.388459514952087e-07,5.1385653151697545e-08
candidate,25,7.016816957622442e-05,0.06594773001628235,0.9235266163599847,2.670873913866661e-07,5.6825031766487156e-08
candidate,26,6.393154745850882e-05,0.06646786838941712,0.9197246281608233,2.9768411832379614e-07,6.26534439581322e-08
candidate,27,5.745718464414237e-05,0.06702990692129493,0.915852418907642,3.30940345319668e-07,6.890864975262208e-08
candidate,28,5.081655427638984e-05,0.06763545755461045,0.9119082693306831,3.6743882140526643e-07,7.563644232850825e-08
candidate,29,4.394158497144019e-05,0.06828591313330112,0.9078896612656042,4.0765863729072677e-07,8.293303667277028e-08
candidate,30,3.684289237812345e-05,0.06898373052918007,0.9037953712026825,4.5207621656108473e-07,9.083250372682608e-08
candidate,31,2.9501645860061153e-05,0.06973017645513714,0.8996230653061779,5.010695138357415e-07,9.947276655230408e-08
candidate,32,2.1963269299258735e-05,0.07052738726533399,0.8953707629501422,5.56404869453481e-07,1.0891741481495929e-07
candidate,33,1.4290979730705039e-05,0.07137793924351905,0.8910366399474893,6.184147689005953e-07,1.1918233364140676e-07
candidate,34,6.443300297768984e-06,0.07228338299801443,0.8866179799741343,6.869472264429671e-07,1.3030708952861358e-07
candidate,35,-1.6206391348023486e-06,0.07324592604492422,0.8821131633560453,7.641262336956574e-07,1.4241134745567726e-07
candidate,36,-9.933918435286646e-06,0.07426814351717048,0.8775193939346415,8.498497049738632e-07,1.5556075322720616e-07
candidate,37,-1.835271280379501e-05,0.07535206268272542,0.8728347083350481,9.457676464528616e-07,1.6976035979924492e-07
candidate,38,-2.7006839709954936e-05,0.07649972355575922,0.8680563024296366,1.0514170031445362e-06,1.852197404000602e-07
candidate,39,-3.588438180692226e-05,0.07771298424918531,0.8631819327408412,1.1683645649747908e-06,2.020283391627653e-07
candidate,40,-4.50858718411478e-05,0.07899482905539162,0.858208817973218,1.2972857219145326e-06,2.2017724587292647e-07
candidate,41,-5.4499935255004634e-05,0.08034691687228769,0.8531344705858364,1.4386112237452656e-06,2.400194141900637e-07
candidate,42,-6.405718986489235e-05,0.0817738372417537,0.847955909364274,1.592535021581202e-06,2.6146581196538994e-07
candidate,43,-7.394111003749577e-05,0.08327707325389154,0.8426709346613063,1.759932258452964e-06,2.849720928197532e-07
candidate,44,-8.407042307774357e-05,0.08485925993779289,0.8372762277757482,1.941541096622798e-06,3.101474819377415e-07
candidate,45,-9.47082455179299e-05,0.08652336606908602,0.8317688449998302,2.139778526466339e-06,3.3787054486015006e-07
candidate,46,-0.00010553332151209591,0.08827323965889164,0.8261464474764112,2.3563339261855077e-06,3.6817850367529657e-07
candidate,47,-0.00011673028866402449,0.09011247793750447,0.8204060777115709,2.590842398453225e-06,4.009579607084765e-07
candidate,48,-0.0001282044622223693,0.09204405353909187,0.8145440959054815,2.8450566895903765e-06,4.370231906749462e-07
candidate,49,-0.00013998628783475965,0.09407044986147657,0.8085578459187248,3.1233145367475913e-06,4.764230136952353e-07
candidate,50,-0.00015214786460827264,0.09619521853311849,0.8024438531984002,3.423178367275356e-06,5.1955203419122e-07
