teacher,step_index,t,s,records,target_energy,prediction_energy,cross,risk_gain
candidate_tau0.0,16,0.9767442345619202,0.9750366806983948,100,0.588766480088234,0.0007753506739391014,0.0001583963062148541,-0.00045855806150939314
candidate_tau0.0,17,0.9750366806983948,0.9732937812805176,100,0.5808089104294777,0.000775396308163181,0.00012690573654253968,-0.0005215848350781016
candidate_tau0.0,18,0.9732937812805176,0.9715142250061035,100,0.5677375194430351,0.0007695908634923398,0.00016769440449934336,-0.00043420205449365315
candidate_tau0.0,19,0.9715142250061035,0.9696969985961914,100,0.5620383337140084,0.0007723069429630414,0.00014635252809966915,-0.00047960188676370307
candidate_tau0.0,20,0.9696969985961914,0.9678407311439514,100,0.5638591930270195,0.0007723429147154093,0.00014376213752257172,-0.00048481863967026585
candidate_tau0.0,21,0.9678407311439514,0.9659442901611328,100,0.5332844412326813,0.0007654020859627054,0.00014323285064165247,-0.0004789363846794004
candidate_tau0.0,22,0.9659442901611328,0.964006245136261,100,0.5269327101111412,0.0007631562615279108,0.0001818626189196948,-0.00039943102368852126
candidate_tau0.0,23,0.964006245136261,0.9620253443717957,100,0.5404881882667542,0.0007571313274092972,0.00014971010583394672,-0.0004577111157414038
candidate_tau0.0,24,0.9620253443717957,0.9599999785423279,100,0.4905423429608345,0.0007574571960140019,0.00018152140200982102,-0.0003944143919943599
candidate_tau0.0,25,0.9599999785423279,0.9579287767410278,100,0.5027943339943886,0.0007562299130950123,0.00015763909155793953,-0.0004409517299791332
candidate_tau0.0,26,0.9579287767410278,0.9558101296424866,100,0.48627413392066954,0.0007571768789784983,0.0001823895214147342,-0.0003923978361490299
candidate_tau0.0,27,0.9558101296424866,0.9536424279212952,100,0.48309671491384504,0.0007577772706281394,0.0001637802685945644,-0.00043021673343901056
candidate_tau0.0,28,0.9536424279212952,0.9514237642288208,100,0.47896654546260836,0.0007544004707597196,0.0001907051622765721,-0.00037299014620657546
candidate_tau0.0,29,0.9514237642288208,0.9491525292396545,100,0.4708376055955887,0.0007597615552367643,0.0001711203240120085,-0.00041752090721274725
candidate_tau0.0,30,0.9491525292396545,0.9468267560005188,100,0.47066560298204424,0.0007662294275360182,0.0001864352816119208,-0.0003933588643121766
candidate_tau0.0,31,0.9468267560005188,0.9444444179534912,100,0.4462342050671577,0.0007638354325899855,0.00018241102630781825,-0.00039901337997434895
candidate_tau0.0,32,0.9444444179534912,0.9420035481452942,100,0.4450570321083069,0.0007571073767030611,0.00020182480087896693,-0.00035345777494512733
candidate_tau0.0,33,0.9420035481452942,0.9395017623901367,100,0.45697285860776904,0.0007480495440540836,0.00018676298914215294,-0.00037452356576977763
candidate_tau0.0,34,0.9395017623901367,0.9369369745254517,100,0.4174044069647789,0.0007512336352374405,0.00021229004510132655,-0.00032665354503478737
candidate_tau0.0,35,0.9369369745254517,0.9343065619468689,100,0.432583297342062,0.0007468568184413016,0.00017807797437853877,-0.000390700869684224
candidate_tau0.0,36,0.9343065619468689,0.9316081404685974,100,0.4156114009022713,0.0007463375543011353,0.00019595689152993146,-0.0003544237712412723
candidate_tau0.0,37,0.9316081404685974,0.9288389086723328,100,0.4176344418525696,0.0007453791657462716,0.00019658611632621613,-0.0003522069330938393
candidate_tau0.0,38,0.9288389086723328,0.9259962439537048,100,0.40688205271959305,0.0007401702570496127,0.00020190495068163726,-0.00033636035568633814
candidate_tau0.0,39,0.9259962439537048,0.9230769276618958,100,0.4005366390943527,0.0007415864407084882,0.00019552055218809982,-0.0003505453363322886
candidate_tau0.0,40,0.9230769276618958,0.9200779795646667,100,0.403694429397583,0.000738123799674213,0.00020736154653604898,-0.00032340070660211493
candidate_tau0.0,41,0.9200779795646667,0.9169960021972656,100,0.380344922542572,0.0007332964678062126,0.00020444468003915972,-0.00032440710772789315
candidate_tau0.0,42,0.9169960021972656,0.913827657699585,100,0.383925568908453,0.00073920231545344,0.00022241615369239298,-0.000294370008068654
candidate_tau0.0,43,0.913827657699585,0.9105690717697144,100,0.3881188899278641,0.0007413469348102808,0.00022515980857860994,-0.0002910273176530609
