time,target,beta,query_horizon,weak,strong,guided,weak_query,pfr
0.4332275390625,0.0,1.7,0.03125,3.158093605609637,1.8886267787804387,1.0,2.3439001729880684,2.3841288354566665
0.4334716796875,0.0,1.7,0.03125,3.153067979824602,1.886557403457189,1.0,2.3361829986654414,2.388704467970573
0.4337158203125,0.0,1.7,0.03125,3.1480213263166172,1.8844793696597835,1.0,2.3284447966198645,2.3932801004844797
0.4339599609375,0.0,1.7,0.03125,3.142953645085682,1.882392677388222,1.0,2.3206855668513375,2.397855732998386
0.4342041015625,0.0,1.7,0.03125,3.1378649361317974,1.8802973266425047,1.0,2.312905309359861,2.4024313655122915
0.4344482421875,0.0,1.7,0.03125,3.1327551994549627,1.8781933174226317,1.0,2.305104024145434,2.4070069980261986
0.4346923828125,0.0,1.7,0.03125,3.127624435055178,1.8760806497286027,1.0,2.2972817112080577,2.4115826305401047
0.4349365234375,0.0,1.7,0.03125,3.1224726429324434,1.873959323560418,1.0,2.289438370547731,2.4161582630540117
0.4351806640625,0.0,1.7,0.03125,3.117299823086759,1.8718293389180771,1.0,2.2815740021644544,2.4207338955679174
0.4354248046875,0.0,1.7,0.03125,3.112105975518124,1.8696906958015804,1.0,2.273688606058228,2.425309528081823
0.4356689453125,0.0,1.7,0.03125,3.10689110022654,1.867543394210928,1.0,2.2657821822290516,2.42988516059573
0.4359130859375,0.0,1.7,0.03125,3.1016551972120054,1.8653874341461198,1.0,2.257854730676925,2.4344607931096363
0.4361572265625,0.0,1.7,0.03125,3.0963982664745213,1.8632228156071557,1.0,2.249906251401849,2.4390364256235433
0.4364013671875,0.0,1.7,0.03125,3.091120308014087,1.8610495385940358,1.0,2.241936744403823,2.443612058137449
0.4366455078125,0.0,1.7,0.03125,3.0858213218307027,1.85886760310676,1.0,2.2339462096828466,2.4481876906513556
0.4368896484375,0.0,1.7,0.03125,3.0805013079243686,1.8566770091453282,1.0,2.2259346472389208,2.4527633231652612
0.4371337890625,0.0,1.7,0.03125,3.0751602662950845,1.8544777567097406,1.0,2.2179020570720445,2.457338955679168
0.4373779296875,0.0,1.7,0.03125,3.069798196942851,1.8522698457999973,1.0,2.2098484391822186,2.461914588193075
0.4376220703125,0.0,1.7,0.03125,3.064415099867667,1.8500532764160982,1.0,2.201773793569443,2.466490220706981
0.4378662109375,0.0,1.7,0.03125,3.059010975069533,1.847828048558043,1.0,2.1936781202337166,2.471065853220888
0.4381103515625,0.0,1.7,0.03125,3.0535858225484493,1.845594162225832,1.0,2.185561419175041,2.4756414857347937
0.4383544921875,0.0,1.7,0.03125,3.0481396423044154,1.843351617419465,1.0,2.1774236903934154,2.4802171182487
0.4385986328125,0.0,1.7,0.03125,3.042672434337432,1.8411004141389424,1.0,2.1692649338888397,2.4847927507626064
0.4388427734375,0.0,1.7,0.03125,3.0371841986474983,1.838840552384264,1.0,2.1610851496613144,2.4893683832765126
0.4390869140625,0.0,1.7,0.03125,3.0316749352346144,1.8365720321554293,1.0,2.1528843377108386,2.4939440157904187
0.4393310546875,0.0,1.7,0.03125,3.026144644098781,1.8342948534524393,1.0,2.1446624980374134,2.498519648304325
0.4395751953125,0.0,1.7,0.03125,3.0205933252399975,1.8320090162752931,1.0,2.136419630641038,2.503095280818231
0.4398193359375,0.0,1.7,0.03125,3.0150209786582645,1.829714520623991,1.0,2.1281557355217124,2.507670913332138
0.4400634765625,0.0,1.7,0.03125,3.009427604353581,1.8274113664985334,1.0,2.119870812679437,2.5122465458460446
0.4403076171875,0.0,1.7,0.03125,3.0038132023259476,1.8250995538989196,1.0,2.111564862114212,2.5168221783599507
0.4405517578125,0.0,1.7,0.03125,2.9981777725753647,1.82277908282515,1.0,2.103237883826037,2.5213978108738573
0.4407958984375,0.0,1.7,0.03125,2.9925213151018317,1.8204499532772247,1.0,2.0948898778149116,2.525973443387764
0.4410400390625,0.0,1.7,0.03125,2.9868438299053484,1.8181121652551435,1.0,2.086520844080837,2.5305490759016696
0.4412841796875,0.0,1.7,0.03125,2.9811453169859154,1.8157657187589065,1.0,2.078130782623812,2.5351247084155766
0.4415283203125,0.0,1.7,0.03125,2.9754257763435326,1.8134106137885133,1.0,2.069719693443837,2.5397003409294823
0.4417724609375,0.0,1.7,0.03125,2.9696852079781997,1.8110468503439647,1.0,2.061287576540912,2.5442759734433893
0.4420166015625,0.0,1.7,0.03125,2.963923611889917,1.8086744284252598,1.0,2.0528344319150373,2.548851605957295
0.4422607421875,0.0,1.7,0.03125,2.958140988078684,1.8062933480323993,1.0,2.0443602595662127,2.553427238471201
0.4425048828125,0.0,1.7,0.03125,2.9523373365445016,1.803903609165383,1.0,2.035865059494438,2.558002870985108
0.4427490234375,0.0,1.7,0.03125,2.9465126572873688,1.8015052118242105,1.0,2.0273488316997135,2.562578503499014
