method,kind,sigma,left_seed,right_seed,field_cosine,field_relative_l2,affine_vjp_cosine,affine_vjp_relative_l2
ratio,ratio,0.1,1,2,0.2728376647064259,1.2071328023334091,0.6710015653579219,0.8140886885849639
ratio,ratio,0.3,0,1,0.235856396807877,1.2365615156404743,0.6828396151845441,0.796821710794664
ratio,ratio,0.3,0,2,0.2243287851095546,1.2464165250836665,0.6588462291226809,0.8266087353100025
ratio,ratio,0.3,1,2,0.22823396674436786,1.2425344324731178,0.6451478466225513,0.8424668420222483
ratio,ratio,0.7,0,1,0.19619061196846643,1.2687726734042235,0.6683382907446382,0.8233877333146623
ratio,ratio,0.7,0,2,0.17999345966180338,1.2814840900557016,0.6387934194044568,0.8512751396454343
ratio,ratio,0.7,1,2,0.19177094197384828,1.2714001876630339,0.6703498298243398,0.815271146395522
ratio,ratio,1.5,0,1,0.17621508113658163,1.2888923456558985,0.7034258072790565,0.7723301981921616
ratio,ratio,1.5,0,2,0.15893091417007332,1.2990071111244221,0.7043520092371766,0.7745955693185652
ratio,ratio,1.5,1,2,0.1724977877926532,1.2872155723666583,0.736256433204849,0.7271657015972087
shared_dsm,shared_dsm,0.1,0,1,0.6090873045456243,0.8844651346045611,0.6465840205003877,0.841714282400301
shared_dsm,shared_dsm,0.1,0,2,0.572841884307102,0.930826436777824,0.6340536120526044,0.8686166468194542
shared_dsm,shared_dsm,0.1,1,2,0.6309721834511608,0.869404458779955,0.7086583654398267,0.7877915294795735
shared_dsm,shared_dsm,0.3,0,1,0.6302122985133446,0.8601898777765666,0.6705017069419624,0.8127466994895881
shared_dsm,shared_dsm,0.3,0,2,0.6230504329874251,0.8742059039738335,0.6816632191404848,0.8067610487812767
shared_dsm,shared_dsm,0.3,1,2,0.6683864447546752,0.8234702856675373,0.7356447222593261,0.7447487036106175
shared_dsm,shared_dsm,0.7,0,1,0.5813174923303924,0.9156141131069335,0.6677400113347994,0.8171717924931831
shared_dsm,shared_dsm,0.7,0,2,0.5788332765179163,0.9193624995635356,0.6792867214594169,0.8049196926935733
shared_dsm,shared_dsm,0.7,1,2,0.6266306545855187,0.8684465760873018,0.7291805419746956,0.7490605673882185
shared_dsm,shared_dsm,1.5,0,1,0.4787634875117862,1.0211901265558048,0.6636201162177418,0.821205375585785
shared_dsm,shared_dsm,1.5,0,2,0.4469955534666446,1.0520927336508676,0.6186241800130575,0.8781161166919329
shared_dsm,shared_dsm,1.5,1,2,0.48451764335114533,1.0165519012594861,0.6680059307468026,0.825608507605514
sobolev_ratio_lam0.1,sobolev_ratio,0.0,0,1,0.1621348833941869,1.294703115137132,0.5963436237607189,0.8990005433949847
sobolev_ratio_lam0.1,sobolev_ratio,0.0,0,2,0.172999425918878,1.2860958743348119,0.6187998639170287,0.8732244423354725
sobolev_ratio_lam0.1,sobolev_ratio,0.0,1,2,0.17494078479016695,1.2846768237826296,0.6010098016399927,0.8942279641745327
sobolev_ratio_lam0.1,sobolev_ratio,0.1,0,1,0.15852720288797728,1.297390477421539,0.5949470391352718,0.9001195470861503
sobolev_ratio_lam0.1,sobolev_ratio,0.1,0,2,0.16920712918290146,1.28905863023466,0.6191283104501559,0.873189696747392
sobolev_ratio_lam0.1,sobolev_ratio,0.1,1,2,0.17172292795698926,1.2870932925789114,0.5957809426250598,0.89989422244711
sobolev_ratio_lam0.1,sobolev_ratio,0.3,0,1,0.15382197594814437,1.3012492218409357,0.6129399583094425,0.8799456442558018
sobolev_ratio_lam0.1,sobolev_ratio,0.3,0,2,0.1540006111284561,1.3008038614611228,0.6250145643286726,0.8672749413836629
sobolev_ratio_lam0.1,sobolev_ratio,0.3,1,2,0.15870302615066692,1.2977513703334596,0.6219524635824936,0.8716329374333253
sobolev_ratio_lam0.1,sobolev_ratio,0.7,0,1,0.1884460231888267,1.274467060287916,0.70815551974507,0.7664634956153973
sobolev_ratio_lam0.1,sobolev_ratio,0.7,0,2,0.18068950960174865,1.280783358697708,0.7115127322019774,0.7623963891280011
sobolev_ratio_lam0.1,sobolev_ratio,0.7,1,2,0.19066149107776845,1.2722998939207941,0.7260355756633121,0.7402323000864223
