seed,method,kind,sigma,field_coordinate_rms,field_vector_rms,affine_gradient_norm,baseline_feature_fd,train_seconds,parameter_count,classifier_bce,classifier_accuracy,classifier_auc,real_logit_mean,fake_logit_mean,artifact_path,root
1,sobolev_ratio_lam0.1,sobolev_ratio,0.0,0.5469256043434143,4.3754048347473145,1.2794697284698486,0.8673320568411071,22.73713667097036,152065,0.9578907489776612,0.5638427734375,0.5883294343948364,0.3735517859458923,-0.2441970407962799,fields/seed1/sobolev_ratio_lam0.1/sigma0.npz,/data/users/zhoushunyu/eqvae/experiments/pmf_residual_estimator_audit_5k_20260824/seed1
1,sobolev_ratio_lam0.1,sobolev_ratio,0.1,0.5138330459594727,4.110664367675781,1.145792841911316,0.8673320568411071,22.73713667097036,152065,0.9365217685699464,0.5682373046875,0.5863227248191833,0.3428225815296173,-0.2394123077392578,fields/seed1/sobolev_ratio_lam0.1/sigma0.1.npz,/data/users/zhoushunyu/eqvae/experiments/pmf_residual_estimator_audit_5k_20260824/seed1
1,sobolev_ratio_lam0.1,sobolev_ratio,0.3,0.3068553209304809,2.454842567443848,0.6863101720809937,0.8673320568411071,22.73713667097036,152065,0.7845640778541565,0.56005859375,0.5810251235961914,0.1904022991657257,-0.1696642339229583,fields/seed1/sobolev_ratio_lam0.1/sigma0.3.npz,/data/users/zhoushunyu/eqvae/experiments/pmf_residual_estimator_audit_5k_20260824/seed1
1,sobolev_ratio_lam0.1,sobolev_ratio,0.7,0.1051757261157035,0.8414058089256287,0.2767076790332794,0.8673320568411071,22.73713667097036,152065,0.7020306587219238,0.5467529296875,0.5587604641914368,0.0583727844059467,-0.0638822540640831,fields/seed1/sobolev_ratio_lam0.1/sigma0.7.npz,/data/users/zhoushunyu/eqvae/experiments/pmf_residual_estimator_audit_5k_20260824/seed1
1,sobolev_ratio_lam0.1,sobolev_ratio,1.5,0.0296300239861011,0.2370401918888092,0.0980520024895668,0.8673320568411071,22.73713667097036,152065,0.6912848949432373,0.5364990234375,0.5444971919059753,-0.0178480353206396,-0.0563630126416683,fields/seed1/sobolev_ratio_lam0.1/sigma1.5.npz,/data/users/zhoushunyu/eqvae/experiments/pmf_residual_estimator_audit_5k_20260824/seed1
1,shared_dsm,shared_dsm,0.1,0.1334874480962753,1.0678995847702026,0.9781143069267272,0.8673320568411071,13.744893372058868,172384,,,,,,fields/seed1/shared_dsm/sigma0.1.npz,/data/users/zhoushunyu/eqvae/experiments/pmf_residual_estimator_audit_5k_20260824/seed1
1,shared_dsm,shared_dsm,0.3,0.0948764830827713,0.7590118646621704,0.6964855194091797,0.8673320568411071,13.744893372058868,172384,,,,,,fields/seed1/shared_dsm/sigma0.3.npz,/data/users/zhoushunyu/eqvae/experiments/pmf_residual_estimator_audit_5k_20260824/seed1
1,shared_dsm,shared_dsm,0.7,0.0542294234037399,0.4338353872299194,0.377480536699295,0.8673320568411071,13.744893372058868,172384,,,,,,fields/seed1/shared_dsm/sigma0.7.npz,/data/users/zhoushunyu/eqvae/experiments/pmf_residual_estimator_audit_5k_20260824/seed1
1,shared_dsm,shared_dsm,1.5,0.0251946058124303,0.2015568315982818,0.1467195898294448,0.8673320568411071,13.744893372058868,172384,,,,,,fields/seed1/shared_dsm/sigma1.5.npz,/data/users/zhoushunyu/eqvae/experiments/pmf_residual_estimator_audit_5k_20260824/seed1
1,factorized_dsm_coupled,factorized_dsm_coupled,0.1,0.3540250658988952,2.832200527191162,2.635396718978882,0.8673320568411071,15.04889890900813,184704,,,,,,fields/seed1/factorized_dsm_coupled/sigma0.1.npz,/data/users/zhoushunyu/eqvae/experiments/pmf_residual_estimator_audit_5k_20260824/seed1
1,factorized_dsm_coupled,factorized_dsm_coupled,0.3,0.2113201916217804,1.6905615329742432,1.252606749534607,0.8673320568411071,15.04889890900813,184704,,,,,,fields/seed1/factorized_dsm_coupled/sigma0.3.npz,/data/users/zhoushunyu/eqvae/experiments/pmf_residual_estimator_audit_5k_20260824/seed1
1,factorized_dsm_coupled,factorized_dsm_coupled,0.7,0.1513776183128357,1.2110209465026855,0.7408571839332581,0.8673320568411071,15.04889890900813,184704,,,,,,fields/seed1/factorized_dsm_coupled/sigma0.7.npz,/data/users/zhoushunyu/eqvae/experiments/pmf_residual_estimator_audit_5k_20260824/seed1
1,factorized_dsm_coupled,factorized_dsm_coupled,1.5,0.0915358439087867,0.7322867512702942,0.3230052292346954,0.8673320568411071,15.04889890900813,184704,,,,,,fields/seed1/factorized_dsm_coupled/sigma1.5.npz,/data/users/zhoushunyu/eqvae/experiments/pmf_residual_estimator_audit_5k_20260824/seed1
